,imagefrom,imageto1,imageto2
0,contiv/netplugin-init,bash,1
1,cosmintitei/bash-curl,bash,1
2,darthunix/bats,bash,1
3,decent/kubectl-istioctl,bash,1
4,dpflower/aria2,bash,1
5,ellerbrock/bash-it,bash,1
6,greenwall/kubectl-bash,bash,1
7,happygears/rsyncd,bash,1
8,mercury/interval-list-to-json,bash,1
9,morgantatkins/bitcoin-calculator,bash,1
10,rimelek/test,bash,1
11,roffe/kubectl,bash,1
12,supersoftware/aws-cli,bash,1
13,swineherd/alpine-glibc,bash,1
14,swineherd/oraclejre,swineherd/alpine-glibc,1
15,swineherd/jetty,swineherd/oraclejre,1
16,swineherd/tomcat,swineherd/oraclejre,1
