,imagefrom,imageto1,imageto2
0,0atman/ferret-docker,java,1
1,18092004/javahelloworld_prod,java,1
2,1coheneli/javahelloworld1,java,1
3,21stio/docker-swagger-codegen-git-push,java,1
4,3apag/3ap-status-board,java,1
5,3bdigital/drupal-solr,java,1
6,42score/docker-keybox,java,1
7,4ureli1/hello-ippon,java,1
8,7h3ju57/universal-ftb-server,java,1
9,97ying/iot-kafka,java,1
10,a504082002/prokka,java,1
11,a504082002/seqtool,java,1
12,aalana/javahelloworld-prod,java,1
13,aale725/javahelloworld-prod,java,1
14,aalmero/javameetsdocker,java,1
15,aaltemara/javahelloworld_prod,java,1
16,aarongdocker/docker-joshua-decoder,java,1
17,aaronzirbes/lakitu,java,1
18,aauzolat/javaworld,java,1
19,abernier/docker-sauce-connect,java,1
20,absolootly/docker-sonarqube,java,1
21,abulo/docker-mycat,java,1
22,accesto/gitlab-sonar-runner,java,1
23,accident/blog,java,1
24,accountservices/activemq-postgres-jdbc3-docker,java,1
25,acegear/docker-sbt,java,1
26,acherlyonok/seyren,java,1
27,ackee/elasticsearch,java,1
28,ackee/elasticsearch2,java,1
29,actency/docker-solr,java,1
30,actualys/sonar-scanner,java,1
31,addteq/flyway,java,1
32,adejonge/wildfly,java,1
33,adito/keybox,java,1
34,adobecloud/spring-swagger,java,1
35,adobre/elasticsearch,java,1
36,adopteunops/exec-jar-from-url,java,1
37,adrianofsp/sigma-ms-user,java,1
38,advancedtelematic/datomic,java,1
39,advoretsky/mysql-flyway-docker,java,1
40,aetherie/javahelloworld_prod,java,1
41,aexea/logstash,java,1
42,aexea/sonarscanner,java,1
43,agareau/hello-ippon,java,1
44,agasvina/play-server,java,1
45,agentelinux/pithos-quickstart,java,1
46,agutier/helloworld,java,1
47,ah45/zookeeper,java,1
48,ahmedsoliman/jenkins-slave,java,1
49,ahmedsoliman/kafka,java,1
50,ahromis/bamboo-agent,java,1
51,ahromis/bamboo-agent-java8,java,1
52,ahsanemon/client,java,1
53,ahsanemon/primenumber,java,1
54,ahsanemon/server,java,1
55,aidarko/hellodocker,java,1
56,ajmalch/springdatajparest,java,1
57,ak47/heyajava,java,1
58,akashtiw86/mavenpetcliniproject,java,1
59,akiel/hap-todo,java,1
60,akiel/lens-warehouse,java,1
61,akiel/lens-workbook,java,1
62,akihirosuda/test18180,java,1
63,akihirosuda/zookeeper-dynamic,java,1
64,akra123/javahelloworld_prod,java,1
65,akshshar/pipeline-kafka,java,1
66,alamont/twofish,java,1
67,albertoghedin/spago,java,1
68,albertoghedin/spagobi2,java,1
69,aldrin/docker-kafka,java,1
70,aldrin/dockerfile-nifi-utils,java,1
71,aldrin/nifi-ldap,java,1
72,aleamoro/javahelloword,java,1
73,alenkacz/marathon-rabbitmq-autoscale,java,1
74,alesed/javahelloworld,java,1
75,alessandromenti/javahelloworld_prod,java,1
76,alexanderilyin/docker-phpstorm,java,1
77,alexanderilyin/docker-teamcity-agent,java,1
78,alexanderilyin/docker-teamcity-server,java,1
79,alexanderwink/java-sbt,java,1
80,alexanderwink/typesafe-activator,java,1
81,alexandreesl/microservices-spring-boot-base,java,1
82,alexeykupershtokh/docker-logstash-w-extras,java,1
83,alexglv/es-pusher,java,1
84,alexglv/stravinski,java,1
85,alexj01/ubuntu-gradle-ci,java,1
86,alexjohnson/tesseract-java,java,1
87,alexlukichev/docker-java,java,1
88,alexlukichev/java-fuse,java,1
89,alexrzem/docker-opc-karaf,java,1
90,aliayhan/todomanager,java,1
91,alisonmi/docker-nightwatch,java,1
92,almeida/jetty,java,1
93,alonsodomin/flume,java,1
94,alonsodomin/teamcity-agent,java,1
95,alonsodomin/upsource,java,1
96,aloysiuslim/docker-pentaho-di,java,1
97,alpin3/elk,java,1
98,alpin3/elk-ir,java,1
99,amaret/pollen,java,1
100,amaret/pollen.bundles,java,1
101,amaysim/performance-tester,java,1
102,ambuds/sidewinder,java,1
103,amenezesdocker/javahelloworld_prod,java,1
104,ameytalkatkar/testjavaproject,java,1
105,aminebenabdoun/javahelloworld,java,1
106,amitvyasbms/docker-allure2,java,1
107,ammittal/javahelloworld1,java,1
108,amouat/zookeeper,java,1
109,amritpalkaur/helloword,java,1
110,ananse/kafka,java,1
111,anapsix/solr,java,1
112,anasaso/elasticmq,java,1
113,andreacomo/mule,java,1
114,andreacomo/mule-ee,java,1
115,andreichirinciuc/chuck-norris-client,java,1
116,andreluiznsilva/aem,java,1
117,andrewjones/schemaspy-postgres,java,1
118,andrewjsledge/docker-jmeter,java,1
119,andrewrjones/google-pubsub-emulator,java,1
120,andreybratus/kafka,java,1
121,andromedarabbit/dockerized-mysql-plugin,java,1
122,andromedarabbit/newrelic-mysql-plugin,java,1
123,angry/hello-world,java,1
124,anigo/route-planner,java,1
125,anilbidari/dockerautobuild1,java,1
126,aniljain/javahelloworld_prod,java,1
127,anir37/anirban-mule,java,1
128,antenehrepos/docker-smppsim,java,1
129,anthonydahanne/terracotta-server-oss,java,1
130,antonpatrick/football-teams,java,1
131,antonw/activemq-jmx,java,1
132,anuroopthomas/medicinescheduledocker,java,1
133,aoepeople/sbt-alpine,java,1
134,aomeri/fineract-base,java,1
135,aperepel/nifi,java,1
136,apocheau/hello-ippon,java,1
137,apopelo/solr,java,1
138,appeine/meteor-jenkins-slave,java,1
139,applifier/nomad-prestodb,java,1
140,aratto/jenkins-swarm-slave,java,1
141,arbhoj/dockertest,java,1
142,arbiterofcool/gvm,java,1
143,archetypal/jenkins-node-jnlp,java,1
144,argonqq/jdownloader2,java,1
145,arilot/nis-ssl,java,1
146,ariwaranosai/nozomi,java,1
147,arkii/searchcode-server-community,java,1
148,arlept/javahelloworld_prod,java,1
149,armandobs/docker_openrefine,java,1
150,arnaudck/javahelloworld_prod,java,1
151,aroygreenfeld/bamboo-agent,java,1
152,aroygreenfeld/bamboo-server,java,1
153,arpanchaudhury/scala-sbt,java,1
154,arsalan/javahelloworld2,java,1
155,arthurtsang/breakerbox,java,1
156,articulate/articulate-java,java,1
157,aryulianto/javahelloworld,java,1
158,asami/sos-jobscheduler-docker,java,1
159,asgard/docker-grobid-service,java,1
160,ashkg2001/javaquestions,java,1
161,ashsat/activator-1.3.10,java,1
162,asideas/logstash-s3,java,1
163,aslubsky/collaborator-docker-elsticsearch,java,1
164,asozontov/elasticsearch,java,1
165,associationcocktail/javahelloworld,java,1
166,astrayannouche/javahelloworld-yth,java,1
167,astronomerio/ebth-bid-values-spark,java,1
168,astronomerio/ebth-discovery-rates-spark,java,1
169,astronomerio/kinesis-consumer,java,1
170,ateiag/androiddocker,java,1
171,aterreno/activemq-dockerfile,java,1
