,imagefrom,imageto1,imageto2
0,47167113/logstash-output-jdbc,logstash,1
1,accenture/adop-logstash,logstash,1
2,alukim/chillouthackathon-logstash,logstash,1
3,appliedis/dcos-logstash,logstash,1
4,aristanetworks/logstash,logstash,1
5,armand1m/logstash-sqlserver,logstash,1
6,arthurpham/logstash-scrapy-cluster-docker,logstash,1
7,asynchrony/docker-logstash,logstash,1
8,b2boost/dockstash,logstash,1
9,benjah1/logstash,logstash,1
10,botsunit/logstash,logstash,1
11,caladreas/drove-logstash,logstash,1
12,carpenike/logstash,logstash,1
13,chrootsu/logstash,logstash,1
14,clebeaupin/logstash-test,logstash,1
15,cloudontap/logstash,logstash,1
16,cloudunit/elk-logstash,logstash,1
17,codeontap/logstash,logstash,1
18,collinsongroup/logstash,logstash,1
19,coyoapp/coyo-logstash-elasticsearch,logstash,1
20,crewton/logstash-kinesis,logstash,1
21,cuongdd1/elasticsearch-logstash-dynamodb-streams,logstash,1
22,davidmarquis/docker-logstash-aws-elasticsearch,logstash,1
23,devopsifyinc/elastic_logstash,logstash,1
24,diceone/logstash,logstash,1
25,driveclutch/infra-logstash,logstash,1
26,dstritzke/docker-logstash-development,logstash,1
27,ecthelion77/logstash-filebeats,logstash,1
28,efctx/logstash-cloudwatchlogs,logstash,1
29,equiem/logstash-input-acquia,logstash,1
30,erkkam/tty-logstash,logstash,1
31,evilmarty/mylogstash,logstash,1
32,factual/front-logstash,logstash,1
33,fangcha/logstash,logstash,1
34,fernandobenayas/collector,logstash,1
35,ffray/logstash-kafka-plugin,logstash,1
36,fromq/logstash,logstash,1
37,gaieges/logstash,logstash,1
38,gatehub/logstash,logstash,1
39,geoint/logstash-elastic-ha,logstash,1
40,gici/logstash-rabbitmq-river,logstash,1
41,giorg/logstash,logstash,1
42,goby/logstash,logstash,1
43,helderfarias/logstash,logstash,1
44,herrad/neoscan-logstash,logstash,1
45,heschoon/dockstash,logstash,1
46,heschoon/easydockstash,logstash,1
47,hgerlach/docker-logstash,logstash,1
48,ifintech/logstash,logstash,1
49,intappx/giants-elk-logstash,logstash,1
50,jaehue/logstash-input-kafka,logstash,1
51,jferrogarcia/logstash-kinesis,logstash,1
52,johnchung/logstash-journald,logstash,1
53,kebbish/tty-logstash,logstash,1
54,khezen/logstash,logstash,1
55,klassik/tty-training-logstash,logstash,1
56,klyyssi/tty-logstash,logstash,1
57,lamsaworld/logstash,logstash,1
58,leprechaun/docker-logstash-input-kinesis-output-s3-archiver,logstash,1
59,leprechaun/docker-logstash-input-s3-frontend-output-kinesis,logstash,1
60,leprechaun/logstash-base,logstash,1
61,lomo/logstash-postgresql-output,logstash,1
62,ludekvesely/logstash-json,logstash,1
63,mantika/logstash-dynamodb-streams,logstash,1
64,marechal/logstash,logstash,1
65,merapar/logstash-docker,logstash,1
66,minkonet/logstash,logstash,1
67,mishraakshay91/docker-logstash,logstash,1
68,msh100/s3-access-logstash,logstash,1
69,mterron/logstash-autopilot,logstash,1
70,nakedsoftware/logstash,logstash,1
71,napalm255/docker-skytrack-logstash,logstash,1
72,neblish/cx-logstash,logstash,1
73,neowaylabs/logstash,logstash,1
74,neroinc/elkstack-logstash,logstash,1
75,nickelroll/docker-logstash,logstash,1
76,nolte/logstash,logstash,1
77,nybjorn/docker-logstash,logstash,1
78,ocadotechnology/logstash,logstash,1
79,opensciencegrid/gracc-stash-raw,logstash,1
80,opensciencegrid/gracc-stash-summary,logstash,1
81,orabig/logstash-fixed,logstash,1
82,panperla/logstash-btag,logstash,1
83,pedros007/docker-logging,logstash,1
84,peopleperhour/aws-elasticsearch-migrator,logstash,1
85,pesusieni999/tty-logstash,logstash,1
86,phase2/logstash,logstash,1
87,phirov/docker-logstash,logstash,1
88,popov1024/logstash,logstash,1
89,rahulsom/logstash,logstash,1
90,regius/logstash-zeromq,logstash,1
91,retzkek/gracc-stash-raw,logstash,1
92,retzkek/gracc-stash-raw-auto,logstash,1
93,retzkek/gracc-stash-summary,logstash,1
94,rocketgraph/logstash,logstash,1
95,rooep/palpo-logstash,logstash,1
96,sagacify/logstash-forwarder,logstash,1
97,salalemdockerhub/logstash,logstash,1
98,sampoto/tty-logstash,logstash,1
99,sardegnaturismo/logstash,logstash,1
100,sblemstrom/tty-logstash,logstash,1
101,scoop/logstash-aggregate,logstash,1
102,scottyc/logstash,logstash,1
103,softonic/elk-logstash,logstash,1
104,sohonet/logstash-tester,logstash,1
105,splashblot/docker-logstash,logstash,1
106,tahv0/tty-logstash,logstash,1
107,taylorludwig/rancher-logstash-logs,logstash,1
108,tbartelmess/docker-consul-logstash,logstash,1
109,tcaxias/logstash-kafka,logstash,1
110,technekes/logstash,logstash,1
111,techwong/logstash,logstash,1
112,tegud/tegud-logstash,logstash,1
113,thanksys/logstash,logstash,1
114,the405/tty-training-logstash,logstash,1
115,thingswise/logstash-journald,logstash,1
116,tishin/logstash-docker-dynamodb,logstash,1
117,tkalliom/tty-logstash,logstash,1
118,topochan/logstash-es-aws,logstash,1
119,trueaccord/ta-logstash,logstash,1
120,turmalinow/logstashremoteconfig,logstash,1
121,urbit/logstash,logstash,1
122,vaaralav/palpo-hello-logstash,logstash,1
123,venttola/logstash,logstash,1
124,verdant/logstash-h2r,logstash,1
125,verdant/logstash-r2m,logstash,1
126,verdant/tty-logstash,logstash,1
127,viaeuropa/logstash-beats,logstash,1
128,villevaltonen/tty-logstash,logstash,1
129,wattazoum/logstash,logstash,1
130,webplates/symfony-logstash,logstash,1
131,whiteplus/docker-logstash,logstash,1
132,winkey/logstash-loggly,logstash,1
133,yeasy/logstash,logstash,1
134,yellowblackandwhite/logstash,logstash,1
135,yieldr/logstash,logstash,1
136,yongjhih/logstash-node,logstash,1
137,leprechaun/logstash-input-flowlogs,leprechaun/logstash-base,1
