,imagefrom,imageto1,imageto2
0,actualys/owncloud,owncloud,1
1,bsmithyman/owncloud-ldap,owncloud,1
2,dianplus/owncloud,owncloud,1
3,falsecam/owncloud,owncloud,1
4,holdel/tp-docker-owncloud,owncloud,1
5,improvjaa/owncloud,owncloud,1
6,isi006/owncloud,owncloud,1
7,iteratechh/owncloud_ldap,owncloud,1
8,jangmarker/owncloud,owncloud,1
9,jdavis92/owncloud,owncloud,1
10,kvaps/owncloud-ldap,owncloud,1
11,mrskensington/owncloud-ldap,owncloud,1
12,ndslabs/owncloud,owncloud,1
13,nutsllc/toybox-owncloud,owncloud,1
14,obarisk/dck-owncloud,owncloud,1
15,obedmr/owncloud,owncloud,1
16,puffinrocks/owncloud,owncloud,1
17,robobeerun/owncloud-docker,owncloud,1
18,safematix/owncloud,owncloud,1
19,sebcworks/owncloud,owncloud,1
20,sesceu/owncloud,owncloud,1
21,simonqbs/owncloud,owncloud,1
22,sugusza/owncloud-php,owncloud,1
23,theorician/owncloud,owncloud,1
