,imagefrom,imageto1,imageto2
0,anosnowhong/ros-morse-cpu,ros,1
1,ascendntnu/ros-kinetic,ros,1
2,atwat/cartographer_hokuyo3d,ros,1
3,atwat/ros-docker-gazebo,ros,1
4,austinderic/core,ros,1
5,autharl/autharl_core,ros,1
6,autharl/autharl_slippage,ros,1
7,autharl/ramcip_slippage_detection,ros,1
8,batcha/quadcopter,ros,1
9,davidmball/online_ros,ros,1
10,dragandbot/docker-ros-kinetic-dnb,ros,1
11,droneemployee/developer,ros,1
12,dtur3/ros-tutorials,ros,1
13,glc12125/slamros,ros,1
14,gtoff/icclab_turtlebot,ros,1
15,icra2017/bayesian_object_tracking,ros,1
16,jariza/netatmo2ros,ros,1
17,kairosautomotive/carla-brain,ros,1
18,kukaisir/lwr_docker,ros,1
19,kvijaykrish/capstone,ros,1
20,labellson/rosbridge,ros,1
21,labust/docker-vehicles-sim,ros,1
22,lcasuol/fd_server,ros,1
23,lcasuol/marv-robotics,ros,1
24,mathieula/web-turtlesim,ros,1
25,mezzode/cs3431,ros,1
26,miguelprada/indigo_testbox,ros,1
27,miguelprada/kinetic_testbox,ros,1
28,miguelprada/ros2b2,ros,1
29,mjenz/ros-indigo-perception,ros,1
30,mreichelt/carnd-capstone-docker,ros,1
31,optimmal/rehameta,ros,1
32,otamachan/kobuki-gazebo,ros,1
33,paulruvolo/neato_docker,ros,1
34,personalrobotics/ros-openrave,ros,1
35,pmallozzi/mde_rosjava,ros,1
36,rosindustrial/core,ros,1
37,scazlab/hrc-docker,ros,1
38,shadowrobot/blockly,ros,1
39,shadowrobot/ubuntu-ros-indigo-build-tools,ros,1
40,shadowrobot/ubuntu-ros-kinetic-build-tools,ros,1
41,simbiot54/quad_ctrl,ros,1
42,skenzhegulov/autonomous_exploration,ros,1
43,strands/fd_server,ros,1
44,strands/lcas-docker,ros,1
45,strands/strands-docker,ros,1
46,stronglytyped/ros-rc-kinetic-perception-xenial,ros,1
47,szymonrychu/ros-kinetic-vnc-perception,ros,1
48,teamgalaxis/ros-ci,ros,1
49,thelurps/turtlebot3,ros,1
50,toddsampson/ros-indigo-image_pipeline,ros,1
51,toddsampson/ros-indigo-kinect,ros,1
52,toddsampson/ros-indigo-rviz,ros,1
53,toddsampson/ros-indigo-structure_sensor,ros,1
54,toddsampson/ros-indigo-tutorials,ros,1
55,toddsampson/ros-indigo-usbcam,ros,1
56,unsupervisedai/public_docker,ros,1
57,wridder/docker-ros-indigo-gazebo-7,ros,1
58,mjenz/ros-bumblebee2,mjenz/ros-indigo-perception,1
59,mjenz/ros-datacollection,mjenz/ros-indigo-perception,1
60,mjenz/ros-industrial-calibration,mjenz/ros-indigo-perception,1
61,mjenz/ros-realsense,mjenz/ros-indigo-perception,1
62,optimmal/rehaclient,optimmal/rehameta,1
63,optimmal/rehacore,optimmal/rehameta,1
64,rosindustrial/caffe-cpu,rosindustrial/core,1
65,rosindustrial/noether,rosindustrial/core,1
66,rosindustrial/webtools,rosindustrial/core,1
67,scazlab/baxter_react_controller,scazlab/hrc-docker,1
68,scazlab/human_robot_collaboration,scazlab/hrc-docker,1
69,scazlab/ros_speech2text,scazlab/hrc-docker,1
70,shadowrobot/ramcip-libraries-ubuntu-ros-indigo-build-tools,shadowrobot/ubuntu-ros-indigo-build-tools,1
71,rosindustrial/viz,rosindustrial/webtools,1
72,scazlab/baxter_tictactoe,scazlab/human_robot_collaboration,1
