,imagefrom,imageto1,imageto2
0,42bv/tomcat-volumes-exposed,tomcat,1
1,abalanonline/netflix-eureka,tomcat,1
2,abburi03/springboot-tapestry-cucumber-selenium-testng,tomcat,1
3,abdeldockerid/3dscandocker,tomcat,1
4,abha10/firstgitproj,tomcat,1
5,abzcoding/tomcat-redis,tomcat,1
6,adbourne/geoserver,tomcat,1
7,adimit/view-tomcat,tomcat,1
8,adito/aditomobile,tomcat,1
9,ahmet2mir/booking-mvc,tomcat,1
10,akafra/dubbo-admin,tomcat,1
11,alexanderwink/tomcat-ssl,tomcat,1
12,amesken/artifactory,tomcat,1
13,amubtdx/pic-gitlabci-battlecsn-tomcat,tomcat,1
14,andreluiznsilva/java,tomcat,1
15,andrespp/jaspersrv,tomcat,1
16,angig/axis2,tomcat,1
17,angryquiz77/angryquiz,tomcat,1
18,annat/tomcat,tomcat,1
19,anthonyrawlinsuom/lfmc-geoserver,tomcat,1
20,aonsolutions/aon-application,tomcat,1
21,apurvajo/mariohtml5,tomcat,1
22,aquavitae/libreplan,tomcat,1
23,assist4devops/lucee-base,tomcat,1
24,asynchrony/jnuget-docker,tomcat,1
25,atomgraph/letsencrypt-tomcat,tomcat,1
26,atsistemas/docker-jasperserver-master,tomcat,1
27,aubelsb2/jentrata-msh-docker,tomcat,1
28,ayannah/jasperserver,tomcat,1
29,bandock/banner9-admin,tomcat,1
30,bandock/banner9-selfservice,tomcat,1
31,benjaminrosner/isle-fedora,tomcat,1
32,benjaminrosner/isle-solr,tomcat,1
33,bibbox/irods-cloudbrowser-backend,tomcat,1
34,bibbox/molgenis,tomcat,1
35,bibbox/openspecimen,tomcat,1
36,bibbox/phenotips,tomcat,1
37,bibbox/stategraems,tomcat,1
38,bibbox/xnatweb,tomcat,1
39,bilal/hazelcast-docker,tomcat,1
40,bilal/hazelcast-session-replication,tomcat,1
41,binfalse/caroweb,tomcat,1
42,binfalse/m2cat,tomcat,1
43,binfalse/webcat,tomcat,1
44,bitergia/authzforce,tomcat,1
45,bitergia/cep-proton,tomcat,1
46,bizdevlabs/maven-prod,tomcat,1
47,blanboom/opengrok,tomcat,1
48,blankdots/apache-marmotta,tomcat,1
49,blueur/tomcat,tomcat,1
50,bomura/docker-knowledge,tomcat,1
51,bookingboss/pentapus,tomcat,1
52,boomfish/lucee-tomcat,tomcat,1
53,brunonogareda/appgastos,tomcat,1
54,bsw2/fedoracommons,tomcat,1
55,burberius/osiam-simple,tomcat,1
56,camptocamp/geoserver,tomcat,1
57,camptocamp/tomcat-logback,tomcat,1
58,cannable/tomcat,tomcat,1
59,cardinalsoftwaresolutions/sho-bows-server,tomcat,1
60,carmark/opengrok,tomcat,1
61,castlemock/castlemock,tomcat,1
62,cbeer/docker-fcrepo4,tomcat,1
63,cbeer/fcrepo4,tomcat,1
64,centerx/ohmage,tomcat,1
65,centerx/ohmage7,tomcat,1
66,charleshuber/4trest,tomcat,1
67,chaya56/tomcat,tomcat,1
68,chehao/docker-practice,tomcat,1
69,colorcoding/tomcat,tomcat,1
70,commitea/pruebaconjunta,tomcat,1
71,conductdocker/openam-nightly,tomcat,1
72,containerize/tomcat,tomcat,1
73,corticon/docker,tomcat,1
74,cosmomill/alpine-jasperserverce-oracle,tomcat,1
75,cosmomill/alpine-ords-apex,tomcat,1
76,cottagelabs/fedora,tomcat,1
77,cousins/sample,tomcat,1
78,cranelana/jstorm-ui-2.2.1,tomcat,1
