source,target
0xcaff/forte-core-build,buildpack-deps
4catalyzer/gdcm,buildpack-deps
559labs/simit,buildpack-deps
5monkeys/nginx-streaming,buildpack-deps
adarnimrod/masscan,buildpack-deps
adopteunops/rancher-cli,buildpack-deps
adopteunops/rancher-compose-tools,buildpack-deps
afrith/node-xenial,buildpack-deps
agcosa/oracle-freight,buildpack-deps
airfer/infer,buildpack-deps
aldryn/pypy,buildpack-deps
alexeiled/docker-oracle-xe-11g,buildpack-deps
allmaennitta/dbase,buildpack-deps
anantasty/influxdata-docker,buildpack-deps
andreasleicher/docker-node-6.10.2,buildpack-deps
andreroggeri/docker-node,buildpack-deps
anishpateluk/docker-fsharp,buildpack-deps
apiology/ubuntu-ruby,buildpack-deps
appsvc/kudu,buildpack-deps
appsvctest/kudu,buildpack-deps
arkii/influxdb-auto,buildpack-deps
armc0/hover,buildpack-deps
arndbrugman/middleware,buildpack-deps
arsenstudio/conanclang,buildpack-deps
ashleyw/erlang,buildpack-deps
atlassianlabs/docker-node-jdk-chrome-firefox,buildpack-deps
atreyo/pageres,buildpack-deps
automationwizards/ruby2.3.1,buildpack-deps
autoshift/influxdb-docker,buildpack-deps
bachue/golang,buildpack-deps
badisi/hoodoo,buildpack-deps
bahlo/node-ruby-rsync,buildpack-deps
bahlo/rsync,buildpack-deps
base2/chefdk,buildpack-deps
basestylo/esi-tfg,buildpack-deps
bayugyug/storemeta,buildpack-deps
bdclark/php-fpm-consul,buildpack-deps
bdclark/tomcat-consul,buildpack-deps
berdof/docker-loopback,buildpack-deps
bestus/node-chrome-firefox,buildpack-deps
bjori/clang-docker,buildpack-deps
blacktail/node,buildpack-deps
blinkreaction/drupal-base,buildpack-deps
boobalan1/jekyll-website,buildpack-deps
bopjiang/artanis,buildpack-deps
brandonptucker/docker-node-python,buildpack-deps
bringnow/node,buildpack-deps
budshome/bh-frontend,buildpack-deps
buer/docker-java8-chrome-xvfb,buildpack-deps
bynd/bitbucket-node-python-docker,buildpack-deps
cakebuild/faas,buildpack-deps
calces/drone-rails-postgres-redis-node-and-phantomjs,buildpack-deps
calebzulawski/cotila-base,buildpack-deps
canthefason/go-watcher,buildpack-deps
captncraig/go-tip,buildpack-deps
casestack/nginx-newrelic,buildpack-deps
cattail/docker-srs_ingest_rtmp,buildpack-deps
cedarkuo/docker-python3.6,buildpack-deps
ceecko/app,buildpack-deps
centular/docker-polymer-cli,buildpack-deps
ceroic/python-wheezy,buildpack-deps
ceroic/ruby-wheezy,buildpack-deps
cggplatform/docker-tox,buildpack-deps
chadgrant/terraform,buildpack-deps
chauffer/oauth2-proxy,buildpack-deps
citizensadvice/dockerize,buildpack-deps
cmer/ruby,buildpack-deps
cmiles74/dotnet,buildpack-deps
codeasone/circleci-primary,buildpack-deps
codesthq/docker-images,buildpack-deps
comsgn/docker-chrome,buildpack-deps
comsgn/mipschrome,buildpack-deps
comsgn/xenial,buildpack-deps
costis/ruby,buildpack-deps
coveo/coveohubot,buildpack-deps
crazycode/docbase,buildpack-deps
crazycode/jdk8,buildpack-deps
cultureamp/docker-packer,buildpack-deps
dabosq/circleci-test-runner,buildpack-deps
dailyhotel/superjessie,buildpack-deps
daozhao/glib-android-build-docker,buildpack-deps
daria/spark-github,buildpack-deps
dasudian/riak,buildpack-deps
dasudian/riakcs,buildpack-deps
datepanchang/nodebash,buildpack-deps
dawnorigin/openjdk,buildpack-deps
deepimpact/leda-build,buildpack-deps
deepimpact/stretch-lein-awscli-docker,buildpack-deps
delermando/python2.3-mysql5.5,buildpack-deps
delta143/flow,buildpack-deps
dennyloko/gimme,buildpack-deps
derekja/makerspace_react,buildpack-deps
desantisinc/dewiki,buildpack-deps
designsafeci/portal,buildpack-deps
developro/php_with_nodejs,buildpack-deps
devlead/bitbucket-pipelines-cakecoreclr,buildpack-deps
dmirmilshteyn/dotnet-msbuild-mono,buildpack-deps
dockerautomation/golang-tester,buildpack-deps
donbeave/oracle-server-jre,buildpack-deps
dongjujang/iojs,buildpack-deps
dongjujang/python,buildpack-deps
dothtm/rubynode,buildpack-deps
dpirotte/fpm-cookery,buildpack-deps
driveclutch/circleci-generic,buildpack-deps
driveclutch/circleci-scala,buildpack-deps
driveclutch/circleci-terraform,buildpack-deps
dsprenkels/clean-lang,buildpack-deps
dubee/openwhisk,buildpack-deps
dude1nthemirror/docker-node,buildpack-deps
educatedwarrior/docker-keybase,buildpack-deps
electronuserland/electron-builder,buildpack-deps
elimydlarz/aws-lambda-node,buildpack-deps
emundo/docker-compose-node,buildpack-deps
encode/nginx-rtmp-docker,buildpack-deps
energy1190/tracer,buildpack-deps
engagenexecute/nginx-pagespeed,buildpack-deps
