source,target
5monkeys/elasticsearch,elasticsearch
ackermann/elasticsearch-icu,elasticsearch
advancedthreatanalytics/elasticsearch,elasticsearch
aexea/elasticsearch,elasticsearch
agate/factual-docker-front-elasticsearch,elasticsearch
aggronerd/elasticsearch-ec2,elasticsearch
aghassabian/es-xpack,elasticsearch
akitanak/elasticsearch-kuromoji,elasticsearch
alantang888/elasticsearch,elasticsearch
alexindigo/npm-elasticsearch,elasticsearch
alukim/chillouthackathon-elasticsearch-elk,elasticsearch
alvintz/elasticsearch-logging,elasticsearch
annat/elasticsearch,elasticsearch
aqlx86/elasticsearch-cors,elasticsearch
arsen/elasticsearch-aws,elasticsearch
arsen/elasticsearch-k8s,elasticsearch
arypurnomoz/kubernetes-elasticsearch,elasticsearch
asynchrony/docker-elasticsearch,elasticsearch
babacooll/elasticsearch,elasticsearch
balluundev/elasticsearch,elasticsearch
bergetp/docker-elasticsearch-aws,elasticsearch
bertrandmartel/docker-elasticsearch-shield,elasticsearch
biterika/elasticsearch,elasticsearch
bluetna/drone-elasticsearch,elasticsearch
bondza/docker-elasticsearch-aws-knaps,elasticsearch
brandfolder/elasticsearch,elasticsearch
bryantebeek/elasticsearch-mapper-attachments,elasticsearch
budgetkey/open-budget-elasticsearch,elasticsearch
byteflair/elastic-marvel,elasticsearch
canarduck/docksticsearch,elasticsearch
cargonauts/consul-elasticsearch,elasticsearch
catholabs/elastic-with-marvel,elasticsearch
chialab/elasticsearch,elasticsearch
chocoboxxf/elasticsearch-ik,elasticsearch
chrismacp/elasticsearch-hq-kopf,elasticsearch
chrootsu/elasticsearch,elasticsearch
civicresourcegroup/civic-elasticsearch,elasticsearch
clebeaupin/elasticsearch-marathon,elasticsearch
cloudunit/elk-elasticsearch,elasticsearch
compass/kube-logging-es,elasticsearch
constantijn/consul-elasticsearch,elasticsearch
coorpacademy/elasticsearch,elasticsearch
coyoapp/coyo-elasticsearch,elasticsearch
cpeople/ox-elasticsearch,elasticsearch
cranelana/elasticsearch-head,elasticsearch
cyberreboot/vent-elasticsearch,elasticsearch
dagviggo/elasticsearch-pet,elasticsearch
dakue/elasticsearch-agent-bond,elasticsearch
dammeax/automatedbuild,elasticsearch
daptiv/elasticsearch-ecs,elasticsearch
davidwu226/elasticsearch,elasticsearch
deraru/elasticsearch-with-kuromoji-plugin,elasticsearch
deseretbook/elasticsearch-1.3-aws,elasticsearch
deveeloper/elasticsearch-ingest-attachment,elasticsearch
devopsifyinc/elastic_elasticsearch,elasticsearch
diceone/elasticsearch,elasticsearch
diegomarangoni/elasticsearch,elasticsearch
dimka2014/elasticsearch-docker,elasticsearch
dmfenton/elasticsearch-pet,elasticsearch
driveclutch/infra-elasticsearch,elasticsearch
drupaldocker/elasticsearch,elasticsearch
dsteinkopf/elasticsearch-ingest-attachment,elasticsearch
elangelo/marvel_elasticsearch,elasticsearch
elevate/elasticsearch,elasticsearch
enalean/elasticsearch-tuleap,elasticsearch
erasmolpa/docker-elk-build,elasticsearch
ermaker/elasticsearch,elasticsearch
etna/elasticsearch,elasticsearch
factual/front-elasticsearch,elasticsearch
fahchen/elasticsearch-analysis-ik,elasticsearch
fangcha/swarm-elasticsearch,elasticsearch
fatehwaharpp/elasticsearch,elasticsearch
fghpdf/shimo_es,elasticsearch
findspire/elasticsearch,elasticsearch
firevortex/elasticsearch-filediscovery,elasticsearch
fkattan/elasticsearch-aws-attachment,elasticsearch
fourstacks/zoalsdit-elastic,elasticsearch
frapsoft/elasticsearch-xpack,elasticsearch
fromq/elasticsearch,elasticsearch
geschke/zammad-elasticsearch,elasticsearch
go1com/ci-elasticsearch,elasticsearch
goby/elasticsearch,elasticsearch
grantchen/elasticsearch-ik,elasticsearch
heathrow/elasticsearch,elasticsearch
heepster/docker-elasticsearch-s3-snapshot,elasticsearch
heinx/elasticsearch2.4.6-openshift,elasticsearch
hernandes/elasticsearch,elasticsearch
hgerlach/docker-elasticsearch,elasticsearch
hmmbug/elasticsearch-head,elasticsearch
howgood/elasticsearch,elasticsearch
ideazxy/elasticsearch,elasticsearch
ifintech/swarm-elasticsearch,elasticsearch
ijoy/elasticsearch-marvel,elasticsearch
ilegra/ratio-elasticsearch,elasticsearch
implementsio/elasticsearch,elasticsearch
infoxchange/elasticsearch,elasticsearch
innobyte/magento2-elasticsearch-gitlab-ci,elasticsearch
interactar/elk_headplugin,elasticsearch
inwork/elasticsearch-plugins,elasticsearch
isepp/elasticsearch,elasticsearch
j0hnsmith/elasticsearch-with-plugins,elasticsearch
james/elasticsearch-marathon,elasticsearch
jbrinley/elasticsearch,elasticsearch
jeanberu/elasticsearch-head,elasticsearch
jeffsheng/es_labber_new,elasticsearch
jetstack/elasticsearch-pet,elasticsearch
joecox/docker-elasticsearch-s3-snapshot,elasticsearch
johnjansen/elasticsearch-plugins,elasticsearch
jumpeimano/elasticsearch-image,elasticsearch
karpatil/docker-elasticsearch-1.7-mapper-attachments,elasticsearch
kemko/elastic-russian,elasticsearch
kenchan/elasticsearch-plugin-kibana,elasticsearch
khipu/elasticsearch,elasticsearch
khipu/elasticsearch_x_pack,elasticsearch
ladb/elasticsearch,elasticsearch
lagun4ik/elasticsearch-russian,elasticsearch
lakowske/elasticsearch-cors,elasticsearch
larsla/docker-elasticsearch-marvel,elasticsearch
laurentguilbert/elasticsearch-kopf,elasticsearch
