source,target
a13r/waecm-2018-group-16-bsp-1-backend,gradle
aluc267/infinity-build,gradle
amit688/entities-engine,gradle
assafsh2/engineperformanceprocess,gradle
assafsh2/interfaceconverter,gradle
assafsh2/interfacestream,gradle
assafsh2/publishtodb,gradle
avastsoftware/protobuf-jar-publisher,gradle
baez90/jericho-victim,gradle
ballad/gradle-ami-builder,gradle
bennettl/ggdc,gradle
bennettl/gradle-glibc,gradle
blackwoodseven/kubernetes-configmap-healthcheck,gradle
blackwoodseven/kubernetes-node-slack-notifier,gradle
blackwoodseven/kubernetes-volume-backup,gradle
blockhaineveris/blockchain-middleware,gradle
cmosher01/gedcom-web-view,gradle
conchoid/docker-detekt-cli,gradle
d0ck3rb4z/demobaz,gradle
diamondyuan/fastairport,gradle
enmobile/gradle-node,gradle
fint/audit-admin-mongo,gradle
fint/consumer-organisasjon,gradle
fint/consumer-personal,gradle
fint/consumer-vigokodeverk,gradle
fint/health-adapter,gradle
fint/provider,gradle
fint/springer,gradle
fint/springer-adapter-administrasjon-kodeverk,gradle
fint/springer-adapter-organisasjon,gradle
fint/springer-adapter-personal,gradle
fint/vigokv-adapter,gradle
fuzzle/alpine-jdk_8-gradle_3_5,gradle
gsefanof/gradle,gradle
hanziyuan08/weatherfor,gradle
hasnat/trigger-sonar-scanner,gradle
hmcts/ccd-data-store-api,gradle
hmcts/ccd-definition-store-api,gradle
hmcts/ccd-user-profile-api,gradle
hmcts/cmc-claim-store,gradle
hmcts/em-anno,gradle
hmcts/em-redact,gradle
hmcts/service-auth-provider-app,gradle
hmcts/tribunals-case-api,gradle
jnonino/jenkins-slave-gradle,gradle
jppgks/http,gradle
jrtapsell/jotlin,gradle
jvanoers/ionic2-android,gradle
kayvan/signal-cli,gradle
malczuuu/mtg-core,gradle
marcelmaatkamp/steemit-data-analysis-platform,gradle
maxpha9/testrepot,gradle
monogramm/docker-axelor-development-kit,gradle
monstarlabchengdu/automatic-test-server,gradle
msrd0/gradle,gradle
msrd0/gradle-cross,gradle
nickalie/airsdk,gradle
rsqtechnologiesspzoo/authorization,gradle
sightseeker/javaee-webapp-development-with-docker,gradle
sjones4/n4j,gradle
skyr/gradle-docker,gradle
stobek/docker,gradle
surfsara/evidence-newsreader-k8s-rite,gradle
thoughtworkswuhan/docker-gradle-gitcrypt,gradle
twiliodeved/twilio-api-faker,gradle
tyacbovi/sourcestream,gradle
willyg/gradle,gradle
ymmtmdk/gradle-kotlin,gradle
jppgks/http-client,jppgks/http
jppgks/http-server,jppgks/http
monogramm/docker-axelor-business-suite,monogramm/docker-axelor-development-kit
