source,target
abaez/haskell-vim-now,haskell
adieu/pandoc,haskell
alagiz/net-fortune,haskell
artory/docker-pandoc-plantuml,haskell
artworx/pandoc-docker,haskell
beijaflorio/haskell-language-dockerfile,haskell
biscarch/bot,haskell
biscarch/docker-ghcjs,haskell
bluepeppers/highhockwho,haskell
bomberus/duckling,haskell
bradyt/docker-hledger-build,haskell
brandondyck/brandonweb-docker,haskell
brandonhamilton/haskell-fpm-reprepro,haskell
bthomas/unused,haskell
cameronbrunner/pandoc-docker,haskell
cdrnyx/uiuc-cs421-docker-haskell,haskell
codeclimate/popeye,haskell
conchoid/unused,haskell
dahlia/nicovideo-translator,haskell
darren/postgrest,haskell
dkempf/hadolint,haskell
dmp1ce/yesod,haskell
flowlimited/nmifc-basicauth,haskell
garyritchie/ebooktools,haskell
hamishmack/ghcjs,haskell
hiogawa/haskell,haskell
hjwylde/werewolf-slack-docker,haskell
hongchangwu/haskell-99,haskell
huiwang/haskell-vim-now,haskell
jagregory/pandoc,haskell
jakublopuszanski/optimized-elm-0.16-docker,haskell
jamesmstone/leksah,haskell
janosp/seat_rest_service,haskell
jhedev/campus,haskell
jhedev/sloppy-test,haskell
jmittert/shush,haskell
jonathanbp/elm,haskell
joshuaclayton/unused,haskell
jpbarto/ghci,haskell
jpbernius/pandoc,haskell
kallies/pandoc-docker,haskell
kelu/bnfc,haskell
khazhoyan/haskell,haskell
kirillseva/base-haskell,haskell
kseo/curated-docker-haskell,haskell
kuznero/haskell,haskell
lazamar/silver-magpie-backend,haskell
lemmih/clozecards_backend,haskell
markmandel/ghcshell,haskell
maybach/cruxlang-automated,haskell
morais/elm,haskell
mostalive/ghcjs,haskell
ntwrkguru/pandoc-gitlab-ci,haskell
opensocdebug/doc-converter,haskell
palfrey/pandoc-docker,haskell
pavelkogan/haskell78lts1,haskell
porterjamesj/pandoc,haskell
pstjohn/pandoc,haskell
ptival/peacoq,haskell
qinka/obj805,haskell
raikuro/pandoc-autobuild,haskell
rasa/duckling,haskell
rbelouin/music-suite,haskell
rdesfo/haste-compiler,haskell
rkawajiri/erd,haskell
roberthensing/haskell-servant-docker,haskell
robertjlooby/confsinfo,haskell
rwstauner/haste-compiler,haskell
samtecspg/duckling,haskell
shabbychef/gitit,haskell
sideeffffect/haskell-stackage,haskell
snapforbeginners/barebones,haskell
snapforbeginners/pulsar-postgres,haskell
sordina/snapdocker,haskell
stesta/gameoflife,haskell
strages/pandoc-docker,haskell
taeradan/haskell-sourcegraph,haskell
taeradan/hirc-bot,haskell
tazjin/herbert,haskell
tedneward/haskell,haskell
tetrafolium/unused,haskell
thannan/hakyll-box,haskell
threefx/counter-app,haskell
twalter/pandoc,haskell
vranac/erd,haskell
baconscript/stackage-dev,sideeffffect/haskell-stackage
pavelkogan/project-a,pavelkogan/haskell78lts1
pierodibello/pandoc-italian-docker,jagregory/pandoc
samtecspg/articulate-duckling,samtecspg/duckling
sideeffffect/haskell-stackage-top,sideeffffect/haskell-stackage
pavelkogan/project-a-dev,pavelkogan/project-a
