source,target
0atman/ferret-docker,java
18092004/javahelloworld_prod,java
1coheneli/javahelloworld1,java
21stio/docker-swagger-codegen-git-push,java
3apag/3ap-status-board,java
3bdigital/drupal-solr,java
42score/docker-keybox,java
4ureli1/hello-ippon,java
7h3ju57/universal-ftb-server,java
97ying/iot-kafka,java
a504082002/prokka,java
a504082002/seqtool,java
aalana/javahelloworld-prod,java
aale725/javahelloworld-prod,java
aalmero/javameetsdocker,java
aaltemara/javahelloworld_prod,java
aarongdocker/docker-joshua-decoder,java
aaronzirbes/lakitu,java
aauzolat/javaworld,java
abernier/docker-sauce-connect,java
absolootly/docker-sonarqube,java
abulo/docker-mycat,java
accesto/gitlab-sonar-runner,java
accident/blog,java
accountservices/activemq-postgres-jdbc3-docker,java
acegear/docker-sbt,java
acherlyonok/seyren,java
ackee/elasticsearch,java
ackee/elasticsearch2,java
actency/docker-solr,java
actualys/sonar-scanner,java
addteq/flyway,java
adejonge/wildfly,java
adito/keybox,java
adobecloud/spring-swagger,java
adobre/elasticsearch,java
adopteunops/exec-jar-from-url,java
adrianofsp/sigma-ms-user,java
advancedtelematic/datomic,java
advoretsky/mysql-flyway-docker,java
aetherie/javahelloworld_prod,java
aexea/logstash,java
aexea/sonarscanner,java
agareau/hello-ippon,java
agasvina/play-server,java
agentelinux/pithos-quickstart,java
agutier/helloworld,java
ah45/zookeeper,java
ahmedsoliman/jenkins-slave,java
ahmedsoliman/kafka,java
ahromis/bamboo-agent,java
ahromis/bamboo-agent-java8,java
ahsanemon/client,java
ahsanemon/primenumber,java
ahsanemon/server,java
aidarko/hellodocker,java
ajmalch/springdatajparest,java
ak47/heyajava,java
akashtiw86/mavenpetcliniproject,java
akiel/hap-todo,java
akiel/lens-warehouse,java
akiel/lens-workbook,java
akihirosuda/test18180,java
akihirosuda/zookeeper-dynamic,java
akra123/javahelloworld_prod,java
akshshar/pipeline-kafka,java
alamont/twofish,java
albertoghedin/spago,java
albertoghedin/spagobi2,java
aldrin/docker-kafka,java
aldrin/dockerfile-nifi-utils,java
aldrin/nifi-ldap,java
aleamoro/javahelloword,java
alenkacz/marathon-rabbitmq-autoscale,java
alesed/javahelloworld,java
alessandromenti/javahelloworld_prod,java
alexanderilyin/docker-phpstorm,java
alexanderilyin/docker-teamcity-agent,java
alexanderilyin/docker-teamcity-server,java
alexanderwink/java-sbt,java
alexanderwink/typesafe-activator,java
alexandreesl/microservices-spring-boot-base,java
alexeykupershtokh/docker-logstash-w-extras,java
alexglv/es-pusher,java
alexglv/stravinski,java
alexj01/ubuntu-gradle-ci,java
alexjohnson/tesseract-java,java
alexlukichev/docker-java,java
alexlukichev/java-fuse,java
alexrzem/docker-opc-karaf,java
aliayhan/todomanager,java
alisonmi/docker-nightwatch,java
almeida/jetty,java
alonsodomin/flume,java
alonsodomin/teamcity-agent,java
alonsodomin/upsource,java
aloysiuslim/docker-pentaho-di,java
alpin3/elk,java
alpin3/elk-ir,java
amaret/pollen,java
amaret/pollen.bundles,java
amaysim/performance-tester,java
ambuds/sidewinder,java
amenezesdocker/javahelloworld_prod,java
ameytalkatkar/testjavaproject,java
aminebenabdoun/javahelloworld,java
amitvyasbms/docker-allure2,java
ammittal/javahelloworld1,java
amouat/zookeeper,java
amritpalkaur/helloword,java
ananse/kafka,java
anapsix/solr,java
anasaso/elasticmq,java
andreacomo/mule,java
andreacomo/mule-ee,java
andreichirinciuc/chuck-norris-client,java
andreluiznsilva/aem,java
andrewjones/schemaspy-postgres,java
andrewjsledge/docker-jmeter,java
andrewrjones/google-pubsub-emulator,java
andreybratus/kafka,java
andromedarabbit/dockerized-mysql-plugin,java
andromedarabbit/newrelic-mysql-plugin,java
angry/hello-world,java
anigo/route-planner,java
anilbidari/dockerautobuild1,java
aniljain/javahelloworld_prod,java
animemint/cerebro,ibmjava
anir37/anirban-mule,java
