source,target
4km3/hms-jenkins,jenkins
absolootly/docker-jenkins,jenkins
abstracttechnology/docker-jenkins,jenkins
abulkashimgofur/adop-jenkins,jenkins
aburnett/docker-jenkins-client,jenkins
accountservices/docker-jenkins,jenkins
adityai/jenkinselastic-docker,jenkins
adopteunops/jenkins-with-docker,jenkins
alblee/py3-jenkins,jenkins
alefi87/jenkins-docker,jenkins
alexej/extended-jenkins,jenkins
alexough/aws-services-jenkins,jenkins
alljoynsville/jenkins,jenkins
alucardlevash/jenkins-php-docker,jenkins
amesken/jenkins,jenkins
andreluiznsilva/jenkins,jenkins
andrewgortonuk/dockerjenkinswithgit,jenkins
angeloevaldez/jenkins,jenkins
angola/docker-jenkins,jenkins
anyei/jenkins-to-salesforce,jenkins
appertly/jenkins-hhvm,jenkins
asteris/jenkins-docker,jenkins
asynchrony/docker-jenkins-codecommit,jenkins
asynchrony/docker-jenkins-master,jenkins
atariboy/jenkins-sudo,jenkins
atifsaddique/jenkins,jenkins
augedigital/jenkinsad,jenkins
avastmick/ansible-jenkins,jenkins
axltxl/jenkins-dood,jenkins
bahaika/docker-jenkins,jenkins
barogi/docker-jenkinsci,jenkins
benjvi/jenkins-kubernetes,jenkins
beo4/jenkins-fontforge,jenkins
bhavikk/jenkins-jekyll,jenkins
bitnsc/jenkins-kettle,jenkins
bodom0015/jenkins,jenkins
bonelli/docker-jenkins,jenkins
brisma/jenkins-with-docker,jenkins
buker/jenkins,jenkins
bureaubart/jenkins-php,jenkins
bzon/adop-jenkins,jenkins
centerforopenscience/jenkins,jenkins
chaitalikanetkar/mrapid,jenkins
chessray/jenkins,jenkins
chiefware/jenkins-docker,jenkins
christopotamus/jenkins-docker,jenkins
clementgayvallet/cdb-jenkins,jenkins
cloudsurgeon/landshark-jenkins,jenkins
codecentric/edmp-jenkins,jenkins
coderfi/jenkins-plus,jenkins
collinestes/jenkins-nodejs,jenkins
csanchez/jenkins-for-volumes,jenkins
ctran/jenkins,jenkins
darrylbresland/jenkins_master,jenkins
dclucas/jenkins2-and-compose,jenkins
dekobon/triton-jenkins,jenkins
deltaplusve/jenkins-nodejs-docker,jenkins
deshantm/docker-jenkins-jobs-dsl-gradle-examples,jenkins
devildominator/jenkins_with_android,jenkins
devilxatoms/jenkins-phpunit,jenkins
devopsitguy/gcp-spring-boot-app-master,jenkins
dinocloud/jenkins-master,jenkins
dinoflux/jenkins,jenkins
dirkwenzel/jenkins,jenkins
docksal/jenkins,jenkins
dongsu/jenkins-gitflow,jenkins
drinkingtea/ci,jenkins
dsingh07/adop-jenkins,jenkins
dunkelfrosch/docker-jenkins-php,jenkins
echtigova/jenkins,jenkins
eficode/jenkins,jenkins
eggsunimedia/jenkins-fontforge,jenkins
eggsy84/gcp-jenkins-master-k8s-seed,jenkins
eggsy84/jenkins-maven-git-docker,jenkins
elijahwright/docker-jenkins,jenkins
enelogic/jenkins,jenkins
energy1190/jenkins,jenkins
enieuw/jenkins,jenkins
fabric8/jenkins-docker,jenkins
falsecam/jenkins,jenkins
feedforce/socialplus-jenkins,jenkins
fengxx/jenkins-1x,jenkins
flasheryu/jenkins,jenkins
flub78/jenkins,jenkins
flungo/jenkins-plus,jenkins
frapsoft/jenkins-docker,jenkins
fusionworks/jenkins,jenkins
geezyx/jenkins-rancher-compose,jenkins
geovanasouza/jenkins,jenkins
glefevre/citower,jenkins
gravityplatform/jenkins,jenkins
hanggard/jenkins_docker,jenkins
hearstat/jenkins,jenkins
henryyue/jenkins-php-docker,jenkins
hirenj/docker-jenkins,jenkins
hoangthienan/jenkins-php-docker,jenkins
huksley/jenkins,jenkins
iamluc/jenkins-php,jenkins
ianhinder/jenkins-einsteintoolkit,jenkins
icereed/jenkins4jw,jenkins
ictu/jenkins,jenkins
ifbaeunapolis/simulados,jenkins
imit/jenkins,jenkins
ineva/jenkins-dood,jenkins
infrascloudy/jenkins,jenkins
iteratechh/ansibleci,jenkins
jackhu/jenkins-master-privileged,jenkins
jareddlc/jenkins-with-docker-socket,jenkins
jcmwright80/wright-jenkins,jenkins
jeffchan/rootjenkins,jenkins
jeffutter/jenkins-docker,jenkins
jerry153fish/jenkins-karma,jenkins
jesusperales/jenkinswithchrome,jenkins
jlarriba/kube-ciserver,jenkins
jmargut/adop-jenkins,jenkins
joeyliu616/jenkins,jenkins
jofurst/jenkins-for-volumes-docker,jenkins
johannessteu/deployment,jenkins
johannesw/jenkins-docker-cli,jenkins
johnwu/docker-jenkins,jenkins
jpointsman/jenkins-for-jhipster,jenkins
jtbcgdv/jenkins-leader,jenkins
jtechnologies/continuousdelivery-jenkins,jenkins
judoole/docker-jenkins,jenkins
judoole/jenkins,jenkins
kaigara/jenkins,jenkins
kaikuo/jenkins-gcc,jenkins
keefa/jenkmkdc,jenkins
kevinprince/docker-jenkins,jenkins
kfmaster/jenkins,jenkins
khipu/jenkins,jenkins
kidscannongames/jenkins,jenkins
lastcallmedia/docker-jenkins,jenkins
lbeschastny/jenkins-build-essential,jenkins
leetmo/jenkins,jenkins
lemonrains/jenkins,jenkins
leward/custom-jenkins,jenkins
liang123/jenkins-php,jenkins
limingxinleo/jenkins-php-docker,jenkins
lindeboomio/jenkins,jenkins
linuxmaniac/jenkins-debian-glue-docker,jenkins
logimethods/jenkins,jenkins
lordalbior/jenkinsdocker,jenkins
lotosbin/android-jenkins-docker,jenkins
lotosbin/docker-jenkins-android-react-native,jenkins
lukasweibel/jenkins,jenkins
lukelast/jenkins-master,jenkins
lvlds/jenkins-nginx,jenkins
manee2k6/jenkins-docker,jenkins
manycoding/jenkins-python,jenkins
marechal/dhs,jenkins
marsmike/pharo-jenkins,jenkins
marvambass/jenkins-docker,jenkins
mastermindg/jenkins-mesos,jenkins
mchelen/docker-jenkins-php-minimal,jenkins
merapar/jenkins-container,jenkins
michaelsevilla/jenkins,jenkins
michelesr/jenkins,jenkins
mihailivanov/adop-jenkins,jenkins
mikedougherty/docker-jenkins-master,jenkins
minotaurinc/jenkins,jenkins
mirkohaaser/docker-jenkins,jenkins
misfit/jenkins,jenkins
mizunashi/jenkins,jenkins
mjvdende/jenkins-protractor-chrome,jenkins
mleo/jenkins-docker,jenkins
mmerrick/jenkins,jenkins
modenaf360/jenkins-dind,jenkins
monkeypatch/docker-jenkins,jenkins
morgantatkins/jenkins2,jenkins
mrduguo/public,jenkins
mrsheepuk/jenkins-docker,jenkins
msorg/ippon_jenkinsaws,jenkins
multimediabs/jenkins_ansible,jenkins
nemanjan00/jenkins,jenkins
ngenator/jenkins-master,jenkins
nibo/jenkins,jenkins
nicktgr15/docker-jenkins-ecs,jenkins
noophq/jenkins,jenkins
ocasta/android-jenkins,jenkins
ogirardot/jenkins-docker-extends,jenkins
ohmydocker/ohmyjenkins,jenkins
ononpay/jenkins-jmeter,jenkins
oose/dockerjenkins,jenkins
outrigger/jenkins-docker,jenkins
palmapps/jenkins-docker,jenkins
parrotprediction/jenkins,jenkins
pepkorsea/jenkins,jenkins
phrasebooklearner/jenkins,jenkins
picoded/jenkins,jenkins
pinterb/jenkins-master-k8s,jenkins
polpetta/jenkinswe,jenkins
porphyrio/jenkins-docker,jenkins
privatejenkins/apppulsejenkinsdocker,jenkins
propersoft/uip-ci,jenkins
quentinfa/ecom,jenkins
quiddia/docker-jenkins-master,jenkins
radiorabe/jenkins,jenkins
radishgz/jenkins-withplugins,jenkins
raphaelpr/jenkins,jenkins
rastermedia/jenkins,jenkins
ravenxce/jenkins,jenkins
realityjie/jenkins-for-build-docker,jenkins
redwhitemiko/prefix-jenkins2,jenkins
reflectivecode/docker-jenkins-codecommit,jenkins
reflet/docker-jenkins,jenkins
rfagot/pic,jenkins
ringo/jenkins,jenkins
robertbrem/jenkins,jenkins
rockyhb/docker-jenkins-rockyhb,jenkins
rposkocil/java-compability-test,jenkins
rubenlaubepohto/jenkins-master,jenkins
rudijs/jenkins-build-essential,jenkins
saleskick/jenkins,jenkins
sasol/betelgeuse-devcenter-jenkins,jenkins
sath89/jenkins-kubernetes,jenkins
scoutm/jenkins-with-docker,jenkins
sctrcdr/jenkins,jenkins
seniorgrowth/jenkins,jenkins
senorgdev/jjj,jenkins
sergeyshkolin/jenkins,jenkins
sharpner/jenkins-with-docker,jenkins
shelbert/jenkins-fr-tzparis,jenkins
silintl/appbuilder-jenkins,jenkins
sillsdev/appbuilder-jenkins,jenkins
singen/jenkub,jenkins
slicemenice/jenkins,jenkins
slimgears/jenkins,jenkins
smalltown/coscup_2017,jenkins
socialpoint/jenkins,jenkins
sogilislyon/docker-jenkins,jenkins
sookad/jenkins-bootstrap,jenkins
sora54/dockerbook-code,jenkins
spyl/jenkins-with-latest-awscli,jenkins
starkfell/jenkins,jenkins
stefanprodan/jenkins,jenkins
stocksoftware/jenkins,jenkins
superbin/jenkins-docker,jenkins
synergyx/jenkins-docker,jenkins
synopsis/jenkins,jenkins
takecy/docker.jenkins.withplugins,jenkins
taveek/docker-jenkins-dood,jenkins
taypo/jenkins,jenkins
teodordocker/adop-jenkins,jenkins
ticketfly/jenkins-example-gradle-build,jenkins
ticketfly/jenkins-example-job-dsl,jenkins
tigerseye/jenkins,jenkins
timani/mitre-logger,jenkins
timbodhini/dockerjenkins,jenkins
tnozicka/jenkins,jenkins
