source,target
balaclavalab/jolokia,jetty
bishof/libresonic-alpine,jetty
breizhcamp/callforpapers,jetty
ccaamm/passfault,jetty
cpilsworth/java-ssl,jetty
ebonharme/images,jetty
felix/plantuml-server,jetty
flhosp/mitreid,jetty
flores314/jetty-pwm,jetty
flores314/shibboleth-idp-v3,jetty
g8tor/webprotege-alpine,jetty
happywhaler/simplewebapp,jetty
iide/etf-webapp,jetty
inspectit/jetty,jetty
irfann/docker-jetty-spice,jetty
loubilk/helenos,jetty
lyrasis/blazegraph,jetty
lyrasis/fcrepo,jetty
manorrock/git-repos,jetty
manorrock/issues-webapp,jetty
mcp87/jetty-z3,jetty
metabrainz/search-server,jetty
miheir/blazegraph152,jetty
mroh/chess-tourney-broadcaster,jetty
mrovnanik/jetty,jetty
ndrouin/nlpf-tp2,jetty
ndslabs/fedora-commons,jetty
nikfoundas/etcd-viewer,jetty
noodle05/pwm,jetty
obiba/onyx-demo,jetty
oosidat/docker-blazegraph,jetty
opendashboards/od-shindig-docker,jetty
opennms/oca-check,jetty
riggoh/jetty-alpine-rds,jetty
smallstack/jetty-s3war,jetty
sonecabr/alpine-jetty,jetty
tarent/jetty-alpine-j2v8,jetty
vasanth/kabali-dynamic,jetty
veovis/jolokia,jetty
vismart/digilib,jetty
