source,target
1001pharmadev/kibana,kibana
aexoti/kibana-mavel-sense,kibana
agate/factual-docker-front-kibana,kibana
aghassabian/kibana-xpack,kibana
alukim/chillouthackathon-kibana,kibana
anishm/kibana-docker,kibana
anitabee/sense,kibana
b2boost/sense,kibana
bungoume/kibana4-container,kibana
byteflair/kibana-marvel,kibana
chialab/kibana,kibana
chrootsu/kibana,kibana
cloudunit/elk-kibana,kibana
compass/kube-logging-kibana,kibana
cyberluisda/kibana,kibana
devopsifyinc/elastic_kibana,kibana
ditointernet/docker-kibana-sense,kibana
driveclutch/infra-kibana,kibana
duxet/docker-kibana,kibana
edgelab/kibana,kibana
frapsoft/kibana-xpack,kibana
fromq/kibana,kibana
fxdgear/kibana,kibana
geostant/kibana-sense,kibana
giorg/kibana,kibana
hgerlach/docker-kibana,kibana
hideki/kibana,kibana
infrascielo/kibana-marvel,kibana
intappx/giants-elk-kibana,kibana
jannehietamaki/kibana-logtrail,kibana
khipu/kibana_x_pack,kibana
larsla/docker-kibana-marvel,kibana
linkyard/kibana-logtrail,kibana
ludekvesely/kibana,kibana
makeorg/docker-kibana,kibana
maximede/kibana-sense,kibana
mcascallares/kibana-on-steroids,kibana
meedan/kibana,kibana
neroinc/elkstack-kibana,kibana
newfuture/secure-kibana,kibana
noophq/kibana,kibana
ntfrnzn/kibana-kubernetes-proxy,kibana
omercnet/kibana-marvel,kibana
phase2/kibana,kibana
referup/kibana,kibana
s12v/sense,kibana
serandel/kibana-sense,kibana
shaharil/docker-kibana,kibana
shaharil/kibana,kibana
skbkontur/kibana,kibana
slamhan/kibana-sense-marvel,kibana
snowair/kibana,kibana
stocksoftware/kibana,kibana
sxmichael/kibana,kibana
taishin/kibana,kibana
talkspirit/kibana,kibana
tarantegui/kibana,kibana
thangtd90/kibana-sense,kibana
thebennos/kibana-with-plugins,kibana
tomjobsite/sense,kibana
tzoratto/kibana-shield,kibana
vmlellis/kibana-sense-marvel,kibana
wantmys2000/docker-kibana-sense-marvel,kibana
wtakase/kibana,kibana
wtakase/kibana-imon,kibana
yuzu/docker-kibana,kibana
