source,target
100k/mongo-create-users,mongo
ackee/mongo,mongo
ackee/mongo-backup-to-gs,mongo
ackee/mongo-backup-to-s3,mongo
adityakini/mongo_repl,mongo
admiralobvious/docker-mongodump,mongo
admiralobvious/mongo-stackdriver,mongo
ageapps/googleio-extended-microservices-k8s,mongo
airtidy/mongobackup-s3,mongo
aloha1003/mongo,mongo
altproject/devtest-mongodbackup,mongo
andyceo/mongo-backup,mongo
ars096/mongo-backup,mongo
atifsaddique/navigator,mongo
atsistemas/docker-mongo-replication-configurator,mongo
azukiapp/mongodb,mongo
beenote/mongo-backup-to-s3,mongo
beetaa/mongodb,mongo
bidibi/mongodb,mongo
bigtruedata/mongo,mongo
bigwednesdayio/bestbuy_mongodb,mongo
biogrid/mongo,mongo
boucher/mongo-local-replicaset,mongo
bringhub/mongo-efs,mongo
bureaumoeilijkedingen/mongodb-backup-s3,mongo
callstats/mongo_docker_smallfiles,mongo
camomile/backup,mongo
caperneoignis/learninglockerdockerimage,mongo
catapulte/mongodb,mongo
chrootsu/mongo,mongo
coco/coco-mongodb,mongo
codeskyblue/docker-serverbox-h15,mongo
commandeonline/mongo,mongo
composeio/mlaunch,mongo
concreteplatform/mongo-node-8,mongo
concreteplatform/mongo-redis-node-8,mongo
coolersport/secure-mongo,mongo
coralproject/mongodata,mongo
cuongdd1/mongo-base,mongo
dagoaty/mongorestore-verify,mongo
dan335/mongodb-meteor,mongo
davidwu226/mongo,mongo
dawiddominiak/mongo,mongo
debezium/example-mongodb,mongo
debezium/mongo-initiator,mongo
deenoize/mongodb-backup-s3,mongo
dellfuse/docker-edgex-mongo,mongo
deloitteva/docker-mongodb,mongo
deloitteva/docker-mongodb-client,mongo
derdiedasjojo/mongodb,mongo
dianplus/mongo,mongo
eastviolence/beerbets-db,mongo
ekesken/mongo,mongo
eljascsio/mongo-smallfiles-docker,mongo
ericssoneitte/mongo-replication-utility,mongo
eubrabigsea/aaaaas_db,mongo
fansin/leanote-server,mongo
fasthall/mongodb-for-lowgo,mongo
fentas/mongo-replset,mongo
florianutz/mongo-replica,mongo
franciscpd/mongodb-hacker-docker,mongo
furiousgeorge/leanote-populatedb,mongo
garystafford/spring-music-docker-mongo,mongo
genomenexus/gn-mongo,mongo
gloriajun/my-mongo,mongo
gordonburgett/mongo-locomotive,mongo
grischuksasha/mongodb,mongo
grouptree/mongodump,mongo
grouptree/mongorestore,mongo
halvves/mongodb-backup-s3,mongo
helpdeskservice/mongo,mongo
homeit/homeit-mongodump,mongo
hueby/chread-docker,mongo
icereed/mongodump,mongo
illichso/courses,mongo
illichso/courses_db,mongo
imolko/mongo,mongo
ireceptor/repository-mongodb,mongo
istepanov/mongodump,mongo
itzg/mongo-backups,mongo
jaaaco/mongo-s3-cron-backup-restore,mongo
jfalken/github-commit-crawler,mongo
jrisp/rancher-backup-mongo,mongo
jsoendermann/backup-mongo-to-oss,mongo
jujhars13/dev-test-generalist-mongo,mongo
justinwzy/devops_rocketchatdb,mongo
kalahari/mongo-localhost-alias,mongo
keldaio/mongo,mongo
kisel/mongo-s3-backup,mongo
koding/mongo-auto,mongo
laminko/mongonet,mongo
leftybc/go-mongo,mongo
levino/mongo-rs-setup,mongo
lingo24/mongodb,mongo
lobofbg/docker-api,mongo
lotrfan/prairielearn,mongo
luamas/docker-mongo-local-replicaset,mongo
lucidprogrammer/mongo-bcrypt,mongo
luiscape/rolltime-mongo,mongo
mackay/mongo,mongo
maestrano/mongo,mongo
magnatag/mongo-backup,mongo
magnoxium/mongo,mongo
mapic/mongo,mongo
mhoush/mongo,mongo
miryn/docker-mongodb-worker,mongo
misterfitzy/mongobase,mongo
mondora/mongo-s3-backup,mongo
moss/mongo,mongo
mxab/mongo-s3-backup,mongo
netbulls/mongos-awselasticbeanstalk,mongo
noterik/insync-db,mongo
ocasta/docker-mongo-s3-backup_restore,mongo
ocasta/mongo-init,mongo
owlabs/owg-docker-mongo,mongo
partsunlimitedmrp/db,mongo
