source,target
admik/cobbler_oracle,oraclelinux
alanpeng/oracle-weblogic11g,oraclelinux
alanpeng/oracle-weblogic11g-cluster,oraclelinux
alanpeng/oracledatabase-11g-r2-ee,oraclelinux
alastairhm/nexusrpm,oraclelinux
apriorit/docker-oraclelinux-5.11,oraclelinux
avanttic/firefox,oraclelinux
avanttic/jenkins,oraclelinux
babim/oracledatabase,oraclelinux
bitnami/oraclelinux-extras,oraclelinux
blinkreaction/drupal-mysql,oraclelinux
blorente/mysql-docker,oraclelinux
bofm/oracle12c,oraclelinux
booboobuild/dockermaker,oraclelinux
caffeinatedexpert/docker-oracle7-slim-java8,oraclelinux
cartesoft2/cartesoft_image_git,oraclelinux
dbehnke/centos5-builders,oraclelinux
diceone/docker_mysql-5.5,oraclelinux
diceone/docker_mysql-5.6,oraclelinux
diceone/docker_mysql-5.7,oraclelinux
docksal/mysql,oraclelinux
donkeyx/oel-apache-php,oraclelinux
drud/mysql-docker-local,oraclelinux
edurepo/banner9-admin,oraclelinux
edurepo/banner9-selfservice,oraclelinux
fispact/oraclelinux,oraclelinux
fmwplt/weblogic-operator,oraclelinux
fturizo/oel-java,oraclelinux
fuadar/docker-coursera-dl,oraclelinux
fuzziebrain/svnserver,oraclelinux
hellonuh/ol7base,oraclelinux
hellonuh/subversion,oraclelinux
huhgawz/oraclelinux,oraclelinux
iwanttobefreak/weblogic1036,oraclelinux
jhash/oel-base,oraclelinux
kengurukleo/node_oracledb,oraclelinux
lodatol/liferay-7-docker,oraclelinux
louwersj/apache_httpd_ol6,oraclelinux
louwersj/docker_openjdk_ol6,oraclelinux
mysql/mysql-server,oraclelinux
of05/aswdb,oraclelinux
oracle/glassfish,oraclelinux
oracle/openjdk,oraclelinux
primesign/mysql-router,oraclelinux
publicisworldwide/mesos-base,oraclelinux
publicisworldwide/oracle-core,oraclelinux
randomcoww/mysql_cluster,oraclelinux
rdominguez/oos65-devel,oraclelinux
relevantmedia/s3-mediaserver,oraclelinux
rndmh3ro/docker-oracle6-ansible,oraclelinux
rndmh3ro/docker-oracle7-ansible,oraclelinux
saaadel/oraclelinux-idea-iu-vnc,oraclelinux
samuelyang0129/remoterepos,oraclelinux
sierratecnologia/mysql-server,oraclelinux
stackengine/buildbox,oraclelinux
tobyhferguson/washington,oraclelinux
tramasoli/oraclelinux6-ssh,oraclelinux
tramasoli/oraclelinux7-ssh,oraclelinux
trivadis/tvdbase,oraclelinux
tvierling/oraclelinux,oraclelinux
unbc/tomcatssl,oraclelinux
viniciusapsouza/docker_test,oraclelinux
youbiteme/mysql-docker,oraclelinux
airstylsupport/mysql,mysql/mysql-server
akoller/low-memory-mysql,mysql/mysql-server
braska/minimal-mysql,mysql/mysql-server
bravado/mysql,mysql/mysql-server
caffeinatedexpert/docker-coherence,caffeinatedexpert/docker-oracle7-slim-java8
dataindataout/mysql-replication,mysql/mysql-server
deven1302/passport-db,mysql/mysql-server
espressodev/mysql,mysql/mysql-server
fenixsd/mysql,mysql/mysql-server
huhgawz/oraclelinux-oraclejdk,huhgawz/oraclelinux
jehudson/docker-web-mysql,mysql/mysql-server
jhash/control,jhash/oel-base
maasencioh/glassfish-maven,oracle/glassfish
mistyfiky/mysql,mysql/mysql-server
mottox/mysql-replication,mysql/mysql-server
oracle/nosql,oracle/openjdk
osirixfoundation/kheopsauthorization-database,mysql/mysql-server
pitchanon/docker-mysql,mysql/mysql-server
primesign/mysql-gr,mysql/mysql-server
primesign/mysql-oracle-dump,mysql/mysql-server
publicisworldwide/httpd,publicisworldwide/oracle-core
publicisworldwide/node,publicisworldwide/oracle-core
publicisworldwide/presto,publicisworldwide/oracle-core
publicisworldwide/python-conda,publicisworldwide/oracle-core
publicisworldwide/spark-base,publicisworldwide/mesos-base
sengbatz/websocket-pong-db,mysql/mysql-server
sharpertool/mysql,mysql/mysql-server
ultical/mysql,mysql/mysql-server
up2university/moodle-mysql,mysql/mysql-server
xdelox/citysoundscape-am,oracle/openjdk
xdelox/citysoundscape-noisedata,oracle/openjdk
dkl3in/gist-reveal,publicisworldwide/node
publicisworldwide/data-science-pyspark,publicisworldwide/python-conda
publicisworldwide/data-science-python,publicisworldwide/python-conda
publicisworldwide/php,publicisworldwide/httpd
publicisworldwide/typo3,publicisworldwide/php
