source,target
aggronerd/docker-registry,registry
allingeek/registry,registry
anarcher/docker-registry,registry
andthensome/registry-swift,registry
awellis13/commander-registry,registry
bacongobbler/registry-swift,registry
bentozny/docker-registry,registry
bjoernheneka/dockerregistry-cleanup,registry
coco/coco-registry-up,registry
crashvb/registry,registry
crowleyio/registry-grsec,registry
ct2034/unsave_registry,registry
devsli/cifs-registry,registry
elasticio/docker-registry-ecs,registry
ephemeral972/docker-registry-s3,registry
ephemeral972/s3-registry,registry
hdpe/docker-registry-manifest-cleanup-companion,registry
hideyuki/my-docker-v2-registry-server,registry
home1oss/pull-through-cache,registry
hwchiu/self-signed-docker-registry,registry
innovate/docker-registry-os-swift,registry
josephpage/registry-runabove,registry
lazyfrosch/registry-cleanup,registry
mercury/hgi-docker-registry,registry
meyskens/docker-registry-os-swift,registry
mikesplain/registry,registry
nouchka/registry,registry
nownabe/idcf-registry,registry
openshift/simple-authenticated-registry,registry
pallet/registry-swift,registry
philwinder/dockercache,registry
q2pus/registry,registry
ricardobranco/clean_registry,registry
roberto/private-registry,registry
rpsingh/secure-docker-registry,registry
sigma/vmw-registry,registry
skippy/private-registry,registry
svendowideit/registry-mirror,registry
thatsmrtalbot/docker-registry-proxy,registry
thefitz/universe-base,registry
thumbtack/docker-registry,registry
toshisandbox/registry-docker,registry
tozny/docker-registry,registry
wonderlic/docker-private-registry-etcd,registry
wrapp/registry,registry
xrowgmbh/registry,registry
yammer/registry-azure,registry
