source,target
allenday/frameshift,solr
amazeeio/solr,solr
chatpal/search-standalone,solr
ckan/solr,solr
comses/solr,solr
cottagelabs/solr,solr
datagov/catalog-solr,solr
datosgobar/portal-andino-solr,solr
dudash/openshift-solr,solr
dumclibrary/medspace-solr,solr
earthquakesan/ckan-solr,solr
elcom/solr,solr
elcom/solr-drupal,solr
fairdom/seek-solr,solr
groovycarrot/drupal-solr,solr
hunnordict/solr-cores,solr
hybox/solr-ecs,solr
iucn/ecolex_solr,solr
jamiejackson/solr5-dih-dyn-pwd,solr
lmmdock/dovecot-solr,solr
marklee77/solr-dovecot,solr
melkamar/solr-indexer,solr
miraclecloud/goo.solr,solr
mparker17/solr-apachesolr,solr
mparker17/solr-search-api-solr,solr
noterik/insync-solr,solr
oconnormi/ddf-solr-external,solr
osul/solr,solr
paywith/solr,solr
ruhmesmeile/ext-solr,solr
sbeam/sunspot-solr,solr
scient/solr,solr
slidewiki/solr,solr
ten7/flight-deck-solr,solr
toccoag/openshift-solr,solr
tradesparq/solr,solr
typo3solr/ext-solr,solr
ukwa/webarchive-collections-solr,solr
ukwa/webarchive-discovery-solr,solr
virtualflybrain/docker-vfb-solr,solr
wildscreen/solr,solr
yagajs/solr,solr
