source,target
alexkomrakov/datamagic-telegraf,telegraf
atomney/telegraf,telegraf
benningm/telegraf-netatmo,telegraf
brimstone/telegraf,telegraf
coyoapp/coyo-ee-telegraf,telegraf
dfy3yuposfwigf5/telegraf-dfy3yuposfwigf5,telegraf
diceone/telegraf,telegraf
flowguard/telegraf,telegraf
jacobtomlinson/telegraf-gamedig,telegraf
macheins/telegraf,telegraf
matisq/telegraf,telegraf
mckaynz/telegraf,telegraf
mezz64/telegraf-docker,telegraf
mikroways/telegraf-rancher,telegraf
morleydev/socket-telegraf,telegraf
nightech/telegraf,telegraf
nuntz/telegraf-snmp,telegraf
palp/telegraf,telegraf
perdy/barrenero-telegraf,telegraf
pinked/docker-telegraf-docker,telegraf
pinked/docker-telegraf-mqtt,telegraf
pockost/telegraf-rancher,telegraf
sebastianosuna/statsd-telegraf,telegraf
shelbert/jolokia-to-influxdb,telegraf
slother/telegraf-snmp,telegraf
thuandt/telegraf,telegraf
vpgrp/telegraf,telegraf
webofmars/bleemeo-telegraf,telegraf
yezersky/telegraf-snmp,telegraf
zisk/telegraf-extra,telegraf
prdonut2k7/telegraf-snmp-unifi,nuntz/telegraf-snmp
