source,target
42bv/tomcat-volumes-exposed,tomcat
abalanonline/netflix-eureka,tomcat
abburi03/springboot-tapestry-cucumber-selenium-testng,tomcat
abdeldockerid/3dscandocker,tomcat
abha10/firstgitproj,tomcat
abzcoding/tomcat-redis,tomcat
adbourne/geoserver,tomcat
adimit/view-tomcat,tomcat
adito/aditomobile,tomcat
ahmet2mir/booking-mvc,tomcat
akafra/dubbo-admin,tomcat
alexanderwink/tomcat-ssl,tomcat
amesken/artifactory,tomcat
amubtdx/pic-gitlabci-battlecsn-tomcat,tomcat
andreluiznsilva/java,tomcat
andrespp/jaspersrv,tomcat
angig/axis2,tomcat
angryquiz77/angryquiz,tomcat
annat/tomcat,tomcat
anthonyrawlinsuom/lfmc-geoserver,tomcat
aonsolutions/aon-application,tomcat
apurvajo/mariohtml5,tomcat
aquavitae/libreplan,tomcat
assist4devops/lucee-base,tomcat
asynchrony/jnuget-docker,tomcat
atomgraph/letsencrypt-tomcat,tomcat
atsistemas/docker-jasperserver-master,tomcat
aubelsb2/jentrata-msh-docker,tomcat
ayannah/jasperserver,tomcat
bandock/banner9-admin,tomcat
bandock/banner9-selfservice,tomcat
benjaminrosner/isle-fedora,tomcat
benjaminrosner/isle-solr,tomcat
bibbox/irods-cloudbrowser-backend,tomcat
bibbox/molgenis,tomcat
bibbox/openspecimen,tomcat
bibbox/phenotips,tomcat
bibbox/stategraems,tomcat
bibbox/xnatweb,tomcat
bilal/hazelcast-docker,tomcat
bilal/hazelcast-session-replication,tomcat
binfalse/caroweb,tomcat
binfalse/m2cat,tomcat
binfalse/webcat,tomcat
bitergia/authzforce,tomcat
bitergia/cep-proton,tomcat
bizdevlabs/maven-prod,tomcat
blanboom/opengrok,tomcat
blankdots/apache-marmotta,tomcat
blueur/tomcat,tomcat
bomura/docker-knowledge,tomcat
bookingboss/pentapus,tomcat
boomfish/lucee-tomcat,tomcat
brunonogareda/appgastos,tomcat
bsw2/fedoracommons,tomcat
burberius/osiam-simple,tomcat
camptocamp/geoserver,tomcat
camptocamp/tomcat-logback,tomcat
cannable/tomcat,tomcat
cardinalsoftwaresolutions/sho-bows-server,tomcat
carmark/opengrok,tomcat
castlemock/castlemock,tomcat
cbeer/docker-fcrepo4,tomcat
cbeer/fcrepo4,tomcat
centerx/ohmage,tomcat
centerx/ohmage7,tomcat
charleshuber/4trest,tomcat
chaya56/tomcat,tomcat
chehao/docker-practice,tomcat
colorcoding/tomcat,tomcat
commitea/pruebaconjunta,tomcat
conductdocker/openam-nightly,tomcat
containerize/tomcat,tomcat
corticon/docker,tomcat
cosmomill/alpine-jasperserverce-oracle,tomcat
cosmomill/alpine-ords-apex,tomcat
cottagelabs/fedora,tomcat
cousins/sample,tomcat
cranelana/jstorm-ui-2.2.1,tomcat
crcsi/geoserver,tomcat
crims0n/pgstudio,tomcat
crobia/potage,tomcat
crobiad/potage,tomcat
d4st/oxywebauthor-d4st,tomcat
dacr/dock-primesui,tomcat
dakue/tomcat-agent-bond,tomcat
danielguerra/guacamole-webserver,tomcat
dariah/voyant,tomcat
dartagan/subsonic,tomcat
datagov/catalog-fgdc2iso,tomcat
dawidmalina/pinpoint-collector,tomcat
dawidmalina/pinpoint-web,tomcat
daxid/datalift_with_rdf4j,tomcat
dbsync/cloudworkflow,tomcat
dbsync/salesforce-database-replication,tomcat
dbsync/secured-tomcat,tomcat
de1m0s/tomcat-compose,tomcat
degenerate76/guacamole-webserver,tomcat
deltakarlsruhe/projektron,tomcat
derekha2010/jasperserver,tomcat
desiato/tomcat-ssl,tomcat
deven1302/passport-webapp,tomcat
devtoolindex/calculator-service,tomcat
dianplus/tomcat,tomcat
digitalagendadata/scoreboard.contreg,tomcat
divinelabs/jackrabbit,tomcat
dockergy/downloadfile,tomcat
doctormacky/tomcat-helloworld,tomcat
dodevza/birt-viewer,tomcat
doublebyte/geonetwork-2,tomcat
dsteinkopf/tuerauf-backend-docker,tomcat
dwolla/atlassian-crowd,tomcat
dyogesh78/maven-petclinic-project,tomcat
ebiokit/docker-webapollo,tomcat
eeacms/eea-geonetwork,tomcat
efabcorporate/ehour-app,tomcat
efrecon/guacamole,tomcat
einerlei/tomdock,tomcat
elcodedocle/docker-geoserver,tomcat
eliteconsulting/geonetwork,tomcat
eltercera/docker-jrsce,tomcat
enmobile/obsidian,tomcat
envris/tomcat-jdbc,tomcat
eoberortner/boost-web,tomcat
epaule/docker-apollo,tomcat
erasche/webapollo,tomcat
erasche/webapollo2,tomcat
evanhoucke/svnwebclient,tomcat
explorviz/explorviz-docker,tomcat
fantasy8/tomcat8-ttf,tomcat
fbourigault/subsonic,tomcat
fengal/docker-twproject,tomcat
fic2/content-sharing-docker,tomcat
fikipollo/stategraems,tomcat
filug/plantuml-servlet,tomcat
fishead/docker-tomcat-maven,tomcat
fjudith/draw.io,tomcat
fjudith/squash-tm,tomcat
fkirill/artifactory,tomcat
flare/simple-web-app,tomcat
flowofcontrol/scoping-scopes,tomcat
fogray/apm,tomcat
fogray/itm,tomcat
fogray/just,tomcat
foobot/tomcat,tomcat
freeboot2000/buzhixiangqin-dockertest01,tomcat
freelock/eaglei,tomcat
frostasm/netxms-webui,tomcat
fvigotti/jolokia-proxy,tomcat
fxinnovation/pinpoint-collector,tomcat
fxinnovation/pinpoint-tomcat9,tomcat
fxinnovation/pinpoint-web,tomcat
gantispam/testrepodocker,tomcat
gartneriet/pgsql-studio,tomcat
garystafford/spring-music-docker-tomcat,tomcat
garystafford/twcnip_app,tomcat
gekomad/actoralert_tomcat_docker,tomcat
genexus/javatomcat,tomcat
geoblacklight/geoserver,tomcat
geocat/geonetwork,tomcat
geoceg/geoserver,tomcat
geocontainers/52n-sos,tomcat
geocontainers/52n-sos-alpine,tomcat
geonode/geoserver,tomcat
georgesan/kjwikigdocker,tomcat
geosolutionsit/geoserver-docker,tomcat
giorgioazzinnaro/openmrs-platform,tomcat
gissehel/docker-plantuml-server,tomcat
glyptodon/guacamole,tomcat
gmod/apollo,tomcat
