source,target
dockerenvironment,alpine-glibc
mini-java8,alpine-glibc
alpine-plex,alpine-glibc
teamspeak3,alpine-glibc
hub,alpine-glibc
upsource,alpine-glibc
youtrack,alpine-glibc
btsync,alpine-glibc
yampdocker,alpine-glibc
factorio,alpine-glibc
resilio,alpine-glibc
redis-glibc-slim,alpine-glibc
alpine-oraclejdk8,alpine-glibc
texlive,alpine-glibc
alpine-oracle-instantclient,alpine-glibc
metricbeat,alpine-glibc
topbeat,alpine-glibc
teamspeak,alpine-glibc
docker-dropbox-alpine,alpine-glibc
zulu-openjdk-alpine,alpine-glibc
alpine-glibc-python2,alpine-glibc
factorio,alpine-glibc
docker-teamspeak3,alpine-glibc
battle_snake,alpine-glibc
borg,alpine-glibc
minio,alpine-glibc
java,alpine-glibc
hyperkube,alpine-glibc
java7,alpine-glibc
java8,alpine-glibc
ctl,alpine-glibc
alpine-zulu-jdk9,alpine-glibc
jvmprep,alpine-glibc
zulu9,alpine-glibc
zulu9-minimal,alpine-glibc
alpine-oraclejdk8,alpine-glibc
seaweedfs,alpine-glibc
base,alpine-glibc
android-build,alpine-glibc
alpine-anaconda3-notebook,alpine-glibc
alpine-openjdk,alpine-glibc
factorio,alpine-glibc
alpine-jdk,alpine-glibc
docker-elastic-heartbeat,alpine-glibc
docker-nomad,alpine-glibc
filebeat,alpine-glibc
prometheus-sql,alpine-glibc
java,alpine-glibc
jdk,alpine-glibc
shimmercat,alpine-glibc
factorio-server,alpine-glibc
resilio-sync,alpine-glibc
elk-base,alpine-glibc
pterodactyl-starbound,alpine-glibc
starbound-gamesrv,alpine-glibc
alpine-zulu,alpine-glibc
factorio,alpine-glibc
nomad,alpine-glibc
openshift-client,alpine-glibc
cl-base,alpine-glibc
nomad,alpine-glibc
teamspeak,alpine-glibc
docker-btsync,alpine-glibc
docker-glauth,alpine-glibc
go-nagrapi,alpine-glibc
docker-alpine-oraclejdk8,alpine-glibc
factorio,alpine-glibc
docker-teamspeak,alpine-glibc
alpine-miniconda2,alpine-glibc
alpine-miniconda3,alpine-glibc
alpine-mono,alpine-glibc
alpine-oraclejdk8,alpine-glibc
alpine-oraclejre8,alpine-glibc
factorio,alpine-glibc
windward,alpine-glibc
docker-croney,alpine-glibc
java,alpine-glibc
docker_factorio_server,alpine-glibc
sampnode,alpine-glibc
factorio,alpine-glibc
zulu-openjdk,alpine-glibc
kube-deploy,alpine-glibc
alpine-openjdk8,alpine-glibc
alpine-teamspeak,alpine-glibc
arduino-builder,alpine-glibc
alpine-zulujre,alpine-glibc
stupid-healthcheck,alpine-glibc
ts3server,alpine-glibc
