source,target
homeautomation-backend,apache
homeautomation-frontend,apache
wapt,apache
spectrum-basic-httpd,apache
mediawiki,apache
prestashop,apache
wordpress,apache
server,apache
wordpress,apache
php,apache
4tfront,apache
apache-perl,apache
apache-php,apache
apache-streaming,apache
php,apache
openldap-selfservicepw,apache
hspell.cgi,apache
apache-mellon,apache
docker-lap,apache
apache-php,apache
snorql,apache
apache-copernicus,apache
apache-eea-www,apache
reportek-apache,apache
docker-apache-php5,apache
ejercicio4,apache
code-proxy,apache
apache-php55,apache
apache-php56,apache
hawkular-website,apache
php,apache
php,apache
docker-antragsgruen,apache
redis-workbench,apache
docker,apache
lamp,apache
joomla,apache
symfony,apache
audit-readyclientapp,apache
mii-cc17,apache
ampache,apache
apache-php5,apache
apache-php7,apache
apache-node-docker,apache
apache-php,apache
linotp,apache
openstack-dashboard,apache
docker-moodle,apache
ilias,apache
silverstripe-build-image,apache
silverstripe-docker,apache
apache-php,apache
admin-piratenpartei-ch,apache
phpservermonitor,apache
nextcloud,apache
docker-apache2,apache
inca-nginx,apache
inca-worker,apache
php,apache
anunciosclient,apache
dockerlogviewer,apache
modcluster,apache
nodify-dal,apache
php7,apache
mirror-acid.org,apache
mirror-blacksun.box.sk,apache
mirror-fravia,apache
mirror-milw0rm.com,apache
xdebug,apache
piglatin-fe,apache
webmin,apache
apache-php,apache
apache-joomla-v3-docker,apache
ci-boilerplate,apache
php-apache,apache
apache-php,apache
docker-startbbs,apache
apache-js,apache
apache-php,apache
groovehunter,apache
dockerclass,apache
apache-php,php
php-apache,php
mediawiki,php
php-apache,php
php-apache,php
php7,php
php-apache,php
wordpress,lamp
php7,php
nextcloud,php
php7,php
docker,php
php7,php
apache-php7,php
joomla,php
mediawiki,php
wordpress,php
nextcloud,php
php-apache,php
php7,php
wordpress,php
wordpress,apache-php
nextcloud,php
php-apache,lamp
symfony,apache-php
wordpress,php
lamp,php
server,php
wordpress,php
php-apache,php
php7,php
php-apache,php
apache-php,php
php7,php
php7,php
silverstripe-docker,php
php7,php
symfony,php
mediawiki,php
wordpress,php
wordpress,php
docker,php
wordpress,php
wordpress,php
wordpress,apache-php56
nextcloud,php
nextcloud,php
wordpress,php
prestashop,php
docker,php
wordpress,php
symfony,php
wordpress,php
php-apache,php
wordpress,php
symfony,php
wordpress,php
joomla,apache-php
php7,php
wordpress,php
docker-moodle,php
wordpress,php
nextcloud,php
wordpress,php
php7,php
wordpress,php
lamp,php
mediawiki,php
wordpress,php
mediawiki,php
docker,php
mediawiki,php
wordpress,php
php-apache,php
apache-php,php
wordpress,lamp
nextcloud,php
wordpress,php
wordpress,php
php7,php
php-apache,php
php7,php
prestashop,php
php7,php
wordpress,php
wordpress,php
apache-php,php
php7,php
wordpress,php
php-apache,php
php7,php
php7,php
apache-php7,php
wordpress,php
symfony,php
docker,php
apache-php,php
php7,php
apache-php,php
mediawiki,php
docker,php
wordpress,php
php-apache,php
wordpress,php
nextcloud,php
wordpress,php
apache-php,php
php-apache,php
php7,php
php7,php
php7,php
ampache,php
symfony,php
php7,php
symfony,php
docker-moodle,php
php-apache,php
apache-php,php
wordpress,php
nextcloud,php
mediawiki,php
apache-php,php
php7,php
prestashop,php
php-apache,php
php-apache,php
wordpress,php
apache-php,php
nextcloud,php
php-apache,php
server,php
apache-php,php
wordpress,php
mediawiki,php
mediawiki,php
mediawiki,php
php7,php
symfony,php
symfony,php
apache-php,php
wordpress,php
wordpress,php
mediawiki,php
php-apache,php
php-apache,php
wordpress,php
mediawiki,php
prestashop,php
joomla,php
php7,php
apache-php5,php
apache-php,php
php-apache,php
php-apache,php
server,php
wordpress,php
php-apache,php
symfony,php
mediawiki,php
wordpress,php
wordpress,php
wordpress,php
php7,php
nextcloud,php
