source,target
keycloak-http-proxy,base-jdk
push-network-proxies,base-jdk
simplepush,base-jdk
eap,base-jdk
docker-liferay-dxp-wildfly,base-jdk
keycloak,base-jdk
docker.file,base-jdk
wildfly,base-jdk
docker-liferay-6.2,base-jdk
base-redhat,base-jdk
jboss-as,base-jdk
keycloak-proxy,base-jdk
java,base-jdk
lang-java,base-jdk
jboss-fuse-6.3,base-jdk
jboss-fuse-6.3-ssh,base-jdk
nginx,base-jdk
chat-server,base-jdk
exo,base-jdk
exo-community,base-jdk
exo-trial,base-jdk
jmeter,base-jdk
java-jboss-openjdk8-jdk,base-jdk
jetty-7,base-jdk
jetty-8,base-jdk
jetty-9,base-jdk
karaf-2.4,base-jdk
karaf-3,base-jdk
karaf-4,base-jdk
nexus,base-jdk
tomcat-7,base-jdk
tomcat-8,base-jdk
zookeeper,base-jdk
hawkular-services,base-jdk
fabric8-tomcat,base-jdk
plataforma,base-jdk
jboss4,base-jdk
centos-java,base-jdk
jgroups-gossip,base-jdk
jaqpot-core,base-jdk
jboss-fuse-dev,base-jdk
aerogear-simplepush-server,base-jdk
forge,base-jdk
hawkular-aio,base-jdk
hawkular-apm-server,base-jdk
hawkular-btm,base-jdk
jgroups-gossip,base-jdk
jts-transaction-service,base-jdk
keycloak,base-jdk
keycloak-examples,base-jdk
keycloak-proxy,base-jdk
liveoak-server,base-jdk
torquebox,base-jdk
wildfly,base-jdk
windup,base-jdk
developer,base-jdk
keycloak-openshift,base-jdk
keycloak-yii,base-jdk
wildfly8-jdk7,base-jdk
apache-artemis,base-jdk
keycloak,base-jdk
wildfly,base-jdk
docker-lnls-development,base-jdk
wildfly,base-jdk
wildfly-admin-postgres,base-jdk
push-network-proxies,base-jdk
zookeeper-docker-infispector,base-jdk
centos-java,base-jdk
wildfly,base-jdk
keycloak-sqlserver,base-jdk
wildfly,base-jdk
docker-wildfly-mon,base-jdk
teste-bank-system,base-jdk
jboss-eap,base-jdk
docker-eap,base-jdk
wildfly-ha-example,base-jdk
keycloak-openshift,base-jdk
wildfly,base-jdk
sonarqube,base-jdk
infinispan-server-domain-docker,base-jdk
keycloak,base-jdk
build-base,base-jdk
clicktoshare-keycloak,base-jdk
wildfly,java
zookeeper,java
zookeeper,java
nexus,java
forge,java
zookeeper,java
zookeeper,java
zookeeper,java
zookeeper,java
zookeeper,java
jmeter,java
zookeeper,java
forge,java
zookeeper,java
zookeeper,java-jboss-openjdk8-jdk
keycloak,java-jboss-openjdk8-jdk
zookeeper,java
zookeeper,java
zookeeper,java
jmeter,java
wildfly,java
zookeeper,java
jmeter,java
zookeeper,java
nexus,java
wildfly,java
sonarqube,java
sonarqube,java
zookeeper,java
zookeeper,java
zookeeper,java
keycloak-openshift,keycloak
zookeeper,java
wildfly,java
zookeeper,java
zookeeper,java
keycloak,java
zookeeper,java
zookeeper,java
zookeeper,java
wildfly,java
sonarqube,java
wildfly,java
zookeeper,java
zookeeper,java
sonarqube,java
wildfly,java
nexus,java
keycloak-sqlserver,keycloak
zookeeper,java
jmeter,java
jmeter,java
zookeeper,java
nexus,java
zookeeper,java
zookeeper,java
zookeeper,java
