source,target
crontab,centos7
devmongodb,centos7
mariadb,centos7
mongodb,centos7
nginx,centos7
node.js,centos7
openjdk,centos7
redis,centos7
sshcentos7,centos7
centos7-tomcat,centos7
oshinko-webui,centos7
oshinko-webui-concreate,centos7
golang,centos7
crontab,centos7
mariadb,centos7
memcached,centos7
mongodb,centos7
nginx,centos7
nginx-https,centos7
node.js,centos7
openjdk,centos7
redis,centos7
rsync,centos7
sshcentos7,centos7
puppetserver,centos7
rpm-buildhost-el7,centos7
centos7_gcc5_3,centos7
docker-nginx,centos7
fileserver,centos7
nginx,centos7
radius,centos7
tic-tac-toe,centos7
spark,centos7
balancer,centos7
java8,centos7
pgbouncer,centos7
python3,centos7
squash-tm,centos7
static-nginx,centos7
wsgi-proxy,centos7
python2.7-baseline,centos7
centos7-java,centos7
docker-nginx,centos7
mongo,centos7
confluence,centos7
stash,centos7
dcmheat,centos7
oshinko-webui,centos7
rpmbuild-centos7,centos7
beautifulsoup,centos7
centos7-powershell,centos7
centos7-systemd,centos7
hmmer-3.1b2,centos7
kille-complete,centos7
trimmomatic-0.36,centos7
trinityrnaseq-2.2.0,centos7
trinotate-3.0.1,centos7
centos7-apachemodphp,centos7
centos7-elk,centos7
centos7-gunicorn,centos7
centos7-sshd,centos7
ansible-test,centos7
docker-cacti-enhance,centos7
jenkinsagent,centos7
elasticsearch,centos7
fluentd-k8s,centos7
graylog,centos7
haproxy,centos7
java,centos7
mongo,centos7
mongo-rs-initializer,centos7
openshift-client,centos7
postgres,centos7
centos7-dev,centos7
centos7-go,centos7
centos7-nginx,centos7
centos7-nodejs,centos7
centos7-phantomjs,centos7
centos7-python,centos7
elasticsearch,java
elasticsearch,java
docker-nginx,nginx
docker-nginx,nginx
elasticsearch,java
spark,openjdk
elasticsearch,java
stash,java
stash,postgres
mongodb,mongo
elasticsearch,java
elasticsearch,java
spark,java
docker-nginx,nginx
mongodb,mongo
mongodb,mongo
confluence,java
balancer,nginx
confluence,java
elasticsearch,java
static-nginx,nginx
mongodb,mongo
elasticsearch,java
stash,java
elasticsearch,java
elasticsearch,openjdk
java,openjdk
redis,golang
elasticsearch,java
java,openjdk
confluence,openjdk
elasticsearch,java
elasticsearch,java8
elasticsearch,java
mongodb,mongo
elasticsearch,openjdk
elasticsearch,java
java8,centos7-systemd
elasticsearch,java
docker-nginx,nginx
java,openjdk
docker-nginx,nginx
java,openjdk
elasticsearch,java
confluence,java
confluence,java
elasticsearch,java
docker-nginx,nginx
docker-nginx,nginx
elasticsearch,java
java,openjdk
docker-nginx,nginx
elasticsearch,java
spark,java
elasticsearch,java
spark,openjdk
spark,openjdk
elasticsearch,java
graylog,openjdk
graylog,openjdk
mongodb,mongo
elasticsearch,java
fileserver,golang
elasticsearch,java
confluence,java
fileserver,golang
elasticsearch,java
elasticsearch,openjdk
spark,java
elasticsearch,openjdk
docker-nginx,nginx
elasticsearch,java
elasticsearch,openjdk
elasticsearch,openjdk
graylog,openjdk
spark,openjdk
pgbouncer,golang
elasticsearch,java
elasticsearch,openjdk
elasticsearch,java
docker-nginx,nginx
spark,openjdk
mongodb,mongo
elasticsearch,java
confluence,openjdk
elasticsearch,openjdk
elasticsearch,java
elasticsearch,java
confluence,centos7-java
docker-nginx,nginx
elasticsearch,java
elasticsearch,java
docker-nginx,nginx
elasticsearch,java
elasticsearch,java
elasticsearch,java
elasticsearch,java8
spark,java8
balancer,haproxy
elasticsearch,java
docker-nginx,nginx
elasticsearch,java
elasticsearch,java
docker-nginx,nginx
confluence,java
balancer,nginx
nginx-https,nginx
elasticsearch,java
java,openjdk
elasticsearch,openjdk
spark,openjdk
spark,java
elasticsearch,java
elasticsearch,openjdk
java,openjdk
mongodb,mongo
confluence,openjdk
spark,openjdk
graylog,java
elasticsearch,java
docker-nginx,nginx
spark,java
elasticsearch,java
elasticsearch,java
spark,java
elasticsearch,openjdk
elasticsearch,java
spark,java
spark,openjdk
mongodb,mongo
mongo,java
elasticsearch,java
elasticsearch,java
spark,java
confluence,java
mongodb,mongo
java,openjdk
java8,openjdk
docker-nginx,nginx
elasticsearch,java
elasticsearch,java
confluence,java
stash,java
mongodb,mongo
elasticsearch,openjdk
spark,openjdk
docker-nginx,nginx
mongodb,mongo
confluence,java
static-nginx,nginx
elasticsearch,openjdk
