source,target
spocs,gcc
docker-do-oom,gcc
drafter,gcc
cpp-dev,gcc
reproducible-builds,gcc
drafter,gcc
docker_demo,gcc
sem2ls,gcc
arm-none-eabi-utils,gcc
rsem-prepare,gcc
process-fun,gcc
llvm-docker,gcc
tbb,gcc
docker-criterion,gcc
powerpc-binutils,gcc
buildcontainers,gcc
propeller-gcc,gcc
ceedling,gcc
gcc-cmake,gcc
ace,gcc
aceplus,gcc
dockerpractice,gcc
synthalloc,gcc
docker-gcc48-icecream,gcc
gcc-criterion,gcc
tdm-pump,gcc
comp350b,gcc
gcc-cmake,gcc
hello-world-c,gcc
libswift,gcc
icecream,gcc
ipxe_script_embed,gcc
dsi-studio-docker,gcc
burst-miner-docker,gcc
dnf-automated,gcc
helloworld,gcc
ibex-env,gcc
nano11y-gwb,gcc
tesseract,gcc
docker-science-stack,gcc
kelp-engines,gcc
test-automatic-build-cpp,gcc
libswift,gcc
ostiary,gcc
retroshare-build,gcc
watchman,gcc
do-oom,gcc
leekscript-builder,gcc
dbwolfe,gcc
px-fuse,gcc
hydra2,gcc
helloworld,gcc
in_class_se_test,gcc
gcc-cmake,gcc
cbexp,gcc
gcc-cmake,gcc
protobuf,gcc
litmus,gcc
asterisk-testsute-baseimage,gcc
earlyoom,gcc
ipxe_builder,gcc
demo,gcc
ooc,gcc
openord,gcc
mingw64,gcc
nasm,gcc
inclasstest,gcc
gccpython,gcc
dip-ci,gcc
docker-picolisp,gcc
astyle,gcc
docker_ci_starter,gcc
interp,gcc
spectre,gcc
inferno-os,gcc
