source,target
minideb-cci,minideb-extras
apache,minideb-extras
cassandra,minideb-extras
codeigniter,minideb-extras
debian-base-buildpack,minideb-extras
discourse,minideb-extras
dokuwiki,minideb-extras
dreamfactory,minideb-extras
drupal,minideb-extras
elasticsearch,minideb-extras
express,minideb-extras
ghost,minideb-extras
jasperreports,minideb-extras
java-play,minideb-extras
jenkins,minideb-extras
joomla,minideb-extras
kafka,minideb-extras
kibana,minideb-extras
laravel,minideb-extras
magento,minideb-extras
mariadb,minideb-extras
matomo,minideb-extras
mediawiki,minideb-extras
memcached,minideb-extras
mongodb,minideb-extras
moodle,minideb-extras
mysql,minideb-extras
nginx,minideb-extras
odoo,minideb-extras
opencart,minideb-extras
orangehrm,minideb-extras
osclass,minideb-extras
owncloud,minideb-extras
parse,minideb-extras
parse-dashboard,minideb-extras
phabricator,minideb-extras
phpbb,minideb-extras
phpmyadmin,minideb-extras
piwik,minideb-extras
postgresql,minideb-extras
prestashop,minideb-extras
rabbitmq,minideb-extras
rails,minideb-extras
redis,minideb-extras
redis-sentinel,minideb-extras
redmine,minideb-extras
solr,minideb-extras
suitecrm,minideb-extras
swift,minideb-extras
tensorflow-inception,minideb-extras
tensorflow-serving,minideb-extras
testlink,minideb-extras
tomcat,minideb-extras
wildfly,minideb-extras
wordpress,minideb-extras
zookeeper,minideb-extras
df-docker,minideb-extras
bitnami-docker-redis,minideb-extras
non-root-kafka,minideb-extras
zookeeper,minideb-extras
deezloader,minideb-extras
testload,minideb-extras
comanage,minideb-extras
redis,minideb-extras
deezloader,minideb-extras
cloudapp,minideb-extras
pocketpe,minideb-extras
kafka,zookeeper
mediawiki,apache
prestashop,apache
wordpress,apache
kibana,nginx
redis-sentinel,redis
redis-sentinel,redis
kibana,nginx
discourse,rails
wordpress,apache
kibana,nginx
redis-sentinel,redis
opencart,mysql
discourse,rails
discourse,rails
redis-sentinel,redis
rabbitmq,nginx
kibana,nginx
redis-sentinel,redis
owncloud,nginx
wordpress,nginx
redis-sentinel,redis
piwik,nginx
redis-sentinel,redis
kibana,nginx
redis-sentinel,redis
joomla,apache
redis-sentinel,redis
redis-sentinel,redis
kibana,nginx
wordpress,nginx
redis-sentinel,redis
rails,nginx
kibana,nginx
piwik,nginx
redis-sentinel,redis
redis-sentinel,redis
phpmyadmin,nginx
redis-sentinel,redis
nginx,kafka
drupal,nginx
discourse,rails
owncloud,nginx
elasticsearch,mysql
rabbitmq,mysql
jenkins,tomcat
redis-sentinel,redis
redis-sentinel,redis
