source,target
phppgadmin,nginx-php
adminer,nginx-php
littleship,nginx-php
nginx-php-ssmtp,nginx-php
roadiz,nginx-php
roadiz-standard-edition,nginx-php
nginx-php-plus,nginx-php
dokuwiki,nginx-php
matomo,nginx-php
nextcloud,nginx-php
nextcloud12-tempfix,nginx-php
h5ai,nginx-php
orocrm,nginx-php
grav,nginx-php
php-babel-scss,nginx-php
scp,nginx-php
neos-bare,nginx-php
nc-scripts,nginx-php
oc-scripts,nginx-php
docker-piwik,nginx-php
freshrss,nginx-php
qraidcode,nginx-php
matomo,nginx-php
nextcloud,nginx-php
privatebin,nginx-php
shaarli,nginx-php
walle-web,nginx-php
docker-pgadmin,nginx-php
selfoss,nginx-php
php-app-ssh,nginx-php
sachart,nginx-php
docker-dev-flow-neos,nginx-php
docker-dev-typo3,nginx-php
paperwork,nginx-php
nextcloud,nginx-php
redaxo5,nginx-php
pgadmin,nginx-php
roundcube-postfixadmin,nginx-php
adminer,nginx-php
phpmyadmin,nginx-php
tiny-tiny-rss,nginx-php
grav,nginx-php
tiny-tiny-rss,nginx-php
php-app-ssh,nginx-php
php-testing,nginx-php
typo3-flow-neos-abstract,nginx-php
nextcloud,nginx-php
nextcloud,nginx-php
ubuntu-nginx-php-ssmtp,nginx-php
ssl-decoder,nginx-php
cacti,nginx-php
wordpress-nginx-upload_max_filesize,nginx-php
docker-flarum-china,nginx-php
phpmyadmin,nginx-php
roadiz,nginx-php
standard-edition,nginx-php
processmaker,nginx-php
solder,nginx-php
nginx-processmaker,nginx-php
mediawiki,nginx-php
cacti,nginx-php
docker-nextcloud,nginx-php
docker-walle,nginx-php
cacti,nginx-php
soul-soldiers,nginx-php
gentilis,nginx-php
paperwork,nginx-php
drupal,nginx-php
symfony,nginx-php
criteria,nginx-php
flow-neos-abstract,nginx-php
analytics,nginx-php
freshrss,nginx-php
matomo,nginx-php
mediawiki,nginx-php
nextcloud,nginx-php
privatebin,nginx-php
ic-airborne-app,nginx-php
freshrss,nginx-php-plus
