source,target
cobbler_oracle,oraclelinux
oracle-weblogic11g,oraclelinux
oracle-weblogic11g-cluster,oraclelinux
oracledatabase-11g-r2-ee,oraclelinux
nexusrpm,oraclelinux
docker-oraclelinux-5.11,oraclelinux
firefox,oraclelinux
jenkins,oraclelinux
oracledatabase,oraclelinux
oraclelinux-extras,oraclelinux
drupal-mysql,oraclelinux
mysql-docker,oraclelinux
oracle12c,oraclelinux
dockermaker,oraclelinux
docker-oracle7-slim-java8,oraclelinux
cartesoft_image_git,oraclelinux
centos5-builders,oraclelinux
docker_mysql-5.5,oraclelinux
docker_mysql-5.6,oraclelinux
docker_mysql-5.7,oraclelinux
mysql,oraclelinux
oel-apache-php,oraclelinux
mysql-docker-local,oraclelinux
banner9-admin,oraclelinux
banner9-selfservice,oraclelinux
weblogic-operator,oraclelinux
oel-java,oraclelinux
docker-coursera-dl,oraclelinux
svnserver,oraclelinux
ol7base,oraclelinux
subversion,oraclelinux
oraclelinux-oraclejdk,oraclelinux
weblogic1036,oraclelinux
oel-base,oraclelinux
node_oracledb,oraclelinux
liferay-7-docker,oraclelinux
apache_httpd_ol6,oraclelinux
docker_openjdk_ol6,oraclelinux
mysql-server,oraclelinux
aswdb,oraclelinux
glassfish,oraclelinux
openjdk,oraclelinux
mysql-router,oraclelinux
mesos-base,oraclelinux
oracle-core,oraclelinux
mysql_cluster,oraclelinux
oos65-devel,oraclelinux
s3-mediaserver,oraclelinux
docker-oracle6-ansible,oraclelinux
docker-oracle7-ansible,oraclelinux
oraclelinux-idea-iu-vnc,oraclelinux
remoterepos,oraclelinux
mysql-server,oraclelinux
buildbox,oraclelinux
washington,oraclelinux
oraclelinux6-ssh,oraclelinux
oraclelinux7-ssh,oraclelinux
tvdbase,oraclelinux
tomcatssl,oraclelinux
docker_test,oraclelinux
mysql-docker,oraclelinux
mysql,mysql-server
glassfish,openjdk
drupal-mysql,mysql
jenkins,openjdk
mysql-docker,mysql
mysql,mysql-server
jenkins,openjdk
jenkins,openjdk
glassfish,openjdk
mysql,mysql-server
mysql,mysql-server
jenkins,openjdk
mysql-server,mysql
glassfish,openjdk
jenkins,openjdk
mysql,mysql-server
glassfish,openjdk
jenkins,openjdk
mysql,mysql-server
jenkins,openjdk
glassfish,openjdk
mysql,mysql-server
