source,target
fastai,tensorflow
docker-tensorflow-opencv,tensorflow
deeplearning-workbench,tensorflow
tensorflow-keras-gpu,tensorflow
dva-auto,tensorflow
crayon,tensorflow
tensorflow-notebooks,tensorflow
mln201711,tensorflow
imagenet-tensorflow,tensorflow
universe-rl,tensorflow
singularity_zoo,tensorflow
deep-tweet,tensorflow
syntaxnet-docker,tensorflow
tensorflow-models,tensorflow
dm-mnist-example,tensorflow
jupyter-keras-tensorflow-tools,tensorflow
docker-tensorflow,tensorflow
mobilenet-ssd,tensorflow
ml-swiss-army-knife,tensorflow
tensorflow-service,tensorflow
tensorflow-image-classifier,tensorflow
fcrn-depthprediction,tensorflow
darkflow-docker,tensorflow
jupyterhub-single,tensorflow
docker-tensorflow-object-detection,tensorflow
tensorflow-object-detection,tensorflow
flasktest,tensorflow
sonnet-docker,tensorflow
tensorflow-py3-cv2,tensorflow
foobot-words,tensorflow
tensorpython,tensorflow
openai-gym,tensorflow
doompcgml,tensorflow
jupyter-tensorflow-gpu-vim,tensorflow
tensorflow_chessbot,tensorflow
dlnb,tensorflow
docker-tensorflow-opencv,tensorflow
machine-learning,tensorflow
datascience-tools,tensorflow
mu-tf-image-classifier,tensorflow
scavangerimagenet,tensorflow
jupyterflow_cpu,tensorflow
jupyterflow_gpu,tensorflow
facets_source,tensorflow
ml-gpu,tensorflow
keras-cpu,tensorflow
keras-gpu,tensorflow
tf-pose-estimation,tensorflow
tensorspark,tensorflow
cetene,tensorflow
keras-retinanet-docker,tensorflow
tensorflow-watson,tensorflow
eagle_eye,tensorflow
ros-tensorflow,tensorflow
tflearn-cifar-10,tensorflow
tensorflow-object-detection,tensorflow
nobrainer,tensorflow
gtd,tensorflow
retrain-images,tensorflow
gpu-monitoring,tensorflow
tensorflow-image-retraining,tensorflow
predict_api2,tensorflow
tensorflow-haskell-ihaskell,tensorflow
magenta,tensorflow
bdh_docker,tensorflow
tensorflow-object-detection,tensorflow
docker-starcraft,tensorflow
keras-tensorflow,tensorflow
docker-tensorflow,tensorflow
ml-base,tensorflow
keras,tensorflow
bathml,tensorflow
python3-tensorflow-gpu,tensorflow
keras,tensorflow
machinelearning-dev,tensorflow
compswr,tensorflow
pccl,tensorflow
tensorflow-model,tensorflow
birdy,tensorflow
dockerfile,tensorflow
httpd,tensorflow
tensorflow-docker,tensorflow
docker_magenta,tensorflow
keras,tensorflow
keras,tensorflow
jupyter-gym-vnc,tensorflow
fathom,tensorflow
lu-dl-course,tensorflow
keras,tensorflow
sonnet,tensorflow
g-python3-keras,tensorflow
tensorflow-keras-py3,tensorflow
englishspeechupsampler,tensorflow
keras-gpu,tensorflow
tensorflow-gpu,tensorflow
pixelcnn_keras,tensorflow
codelab,tensorflow
tensorflow_noroot,tensorflow
model-player,tensorflow
python-keras-matplotlib-numpy-pyfftw-soundfile-theano-youtube_dl-docker,tensorflow
docker,tensorflow
keras,tensorflow
boneage,tensorflow
gcr-io-tensorflow,tensorflow
gcr-io-tensorflow-hdfs,tensorflow
gcr-io-tensorflow-withmnist,tensorflow
gcr-tensorflow,tensorflow
tensorboard,tensorflow
tensorflow-hdfs,tensorflow
tensorflow-hdfs-test,tensorflow
tensorflow-hdfs-with-mnist,tensorflow
tensorflow-tensorboard,tensorflow
deepimaging,tensorflow
dncnn,tensorflow
tensorflow-opencv,tensorflow
tensor-guess,tensorflow
video_detection,tensorflow
colaboratory-tensorflow,tensorflow
