source,target
openjdk-build-base,alpine-base
openjdk-jre-base,alpine-base
alpine-supervisor,alpine-base
alpine-haproxy,alpine-supervisor
haproxy-consul,alpine-haproxy
banditio.engine,alpine-base
ts-nzbget,alpine-base
alpine-aptly,alpine-base
alpine-base-glibc,alpine-base
alpine-softether,alpine-base-glibc
alpine-fluentd,alpine-base
alpine-haproxy,alpine-base
alpine-mumble,alpine-base
alpine-netdata,alpine-base
alpine-newsboat,alpine-base
alpine-nginx-php5,alpine-base
alpine-nginx-rainloop,alpine-nginx-php5
alpine-nginx-php7,alpine-base
alpine-drupal8,alpine-nginx-php7
alpine-nodejs,alpine-base
docker-alpine-mailtrain,alpine-nodejs
alpine-openfire,alpine-base
alpine-posty-webui,alpine-base
alpine-prosody,alpine-base
alpine-spiderfoot,alpine-base
alpine-virtualmail,alpine-base
alpine-weechat,alpine-base
alpine-php7,alpine-base
caddy-php,alpine-php7
miniflux,caddy-php
alpine-runit,alpine-base
caddy,alpine-runit
phpliteadmin,caddy
nextcloud-fpm,alpine-base
panel,alpine-base
python2.7-gunicorn,alpine-base
alpine-glibc,alpine-base
dockerenvironment,alpine-glibc
alpine-redis,alpine-base
agent-base,alpine-base
dataloop-docker,agent-base
alpine-php5,alpine-base
alpine-php5-phalcon2,alpine-base
alpine-ansible,alpine-base
apache2,alpine-ansible
apache2-php,apache2
apache2-php-extra,apache2-php
alpine-awscli,alpine-base
alpine-filebeat,alpine-base
alpine-logstash,alpine-base
logstash-consul,alpine-logstash
alpine-logstash-cloudwatch,alpine-base
alpine-nodejs,alpine-base
alpine-nodejs-weecloud,alpine-nodejs
alpine-packer,alpine-base
alpine-statsd-proxy,alpine-base
alpine-terraform,alpine-base
alpine-sshd,alpine-base
docker-sshd,alpine-sshd
alpine-aria2,alpine-base
alpine-influxdb,alpine-base
alpine-nginx,alpine-base
snapjob-web,alpine-nginx
alpine-nodejs,alpine-base
alpine-kibana,alpine-nodejs
kibana-x-pack,alpine-kibana
alpine-php,alpine-base
alpine-nginx-phpfpm-pgsql-libiconv,alpine-php
alpine-python,alpine-base
ansible-inventory-puppetdb,alpine-python
alpine-redis,alpine-base
alpine-ruby,alpine-base
codeclimate,alpine-ruby
codeclimate-with-phpcodesniffer-drupal,codeclimate
alpine-syncthing,alpine-base
alpine-sshd,alpine-base
alpine-ghost,alpine-sshd
alpine-php,alpine-base
cops,alpine-php
alpine-petsc,alpine-base
precis,alpine-base
duplicity,alpine-base
heketi-backup,duplicity
mumbleserver,alpine-base
mumblesoundboard,alpine-base
webserverbase,alpine-base
docker-wordpress,webserverbase
wcsb-nginx,docker-wordpress
kapacitor,alpine-base
alpine-monit,alpine-base
alpine-traefik,alpine-monit
traefik-alpine,alpine-traefik
ampache,alpine-base
ampache-mysql,ampache
deluge,alpine-base
