source,target
dockerenvironment,alpine-glibc
mini-java8,alpine-glibc
mini-tomcat7,mini-java8
alpine-plex,alpine-glibc
teamspeak3,alpine-glibc
hub,alpine-glibc
selenium-hub,hub
upsource,alpine-glibc
openshift-upsource,upsource
youtrack,alpine-glibc
btsync,alpine-glibc
yampdocker,alpine-glibc
factorio,alpine-glibc
agones-factorio,factorio
resilio,alpine-glibc
redis-glibc-slim,alpine-glibc
alpine-oraclejdk8,alpine-glibc
elasticsearch,alpine-oraclejdk8
elastic,elasticsearch
texlive,alpine-glibc
latexmk,texlive
alpine-oracle-instantclient,alpine-glibc
metricbeat,alpine-glibc
metricbeat-docker,metricbeat
topbeat,alpine-glibc
teamspeak,alpine-glibc
teamspeak-sql,teamspeak
docker-dropbox-alpine,alpine-glibc
zulu-openjdk-alpine,alpine-glibc
identio-server,zulu-openjdk-alpine
alpine-glibc-python2,alpine-glibc
factorio,alpine-glibc
gcsfuse-factorio,factorio
docker-teamspeak3,alpine-glibc
battle_snake,alpine-glibc
borg,alpine-glibc
minio,alpine-glibc
minio-docker,minio
java,alpine-glibc
ferret-docker,java
hyperkube,alpine-glibc
quay.io.coreos.hyperkube,hyperkube
java7,alpine-glibc
cassandra,java7
cassandra-svc,cassandra
java8,alpine-glibc
ot-java-jprofiler-linux,java8
ctl,alpine-glibc
quay.io.calico.ctl,ctl
alpine-zulu-jdk9,alpine-glibc
java9-whydah-all-in-one,alpine-zulu-jdk9
jvmprep,alpine-glibc
alpine-zulu-jdk8,jvmprep
aws-configservice-dashboard,alpine-zulu-jdk8
zulu9,alpine-glibc
zulu9-minimal,alpine-glibc
alpine-oraclejdk8,alpine-glibc
play25-runner,alpine-oraclejdk8
seaweedfs,alpine-glibc
base,alpine-glibc
backup-fetch-files,base
android-build,alpine-glibc
android-redex-docker,android-build
alpine-anaconda3-notebook,alpine-glibc
alpine-openjdk,alpine-glibc
alpine-gradle,alpine-openjdk
alpine-orcas,alpine-gradle
factorio,alpine-glibc
alpine-jdk,alpine-glibc
docker-alpine-jenkins,alpine-jdk
docker-elastic-heartbeat,alpine-glibc
docker-nomad,alpine-glibc
filebeat,alpine-glibc
docker-filebeat-consul,filebeat
prometheus-sql,alpine-glibc
java,alpine-glibc
javahelloworld_prod,java
jdk,alpine-glibc
androidsdk,jdk
shimmercat,alpine-glibc
factorio-server,alpine-glibc
resilio-sync,alpine-glibc
elk-base,alpine-glibc
elasticsearch-consul,elk-base
pterodactyl-starbound,alpine-glibc
starbound-gamesrv,alpine-glibc
alpine-zulu,alpine-glibc
factorio,alpine-glibc
nomad,alpine-glibc
nomad-client,nomad
