source,target
grails,baseimage
grails-yeoman-docker,grails
elk-docker,baseimage
nadecker,baseimage
dockergui-slimjet,baseimage
nominatim,baseimage
docker-nominatim,nominatim
openstreetmap-tiles-docker,baseimage
wallabag,baseimage
wallabag-openshift,wallabag
subversion,baseimage
oracle-java8,baseimage
activator,oracle-java8
sortingoffice,activator
hs100-smartthings-bridge,baseimage
bind,baseimage
igludockerprojectdns,bind
postgres,baseimage
postgres-db,postgres
deluge,baseimage
docker-deluge,deluge
plex,baseimage
plex-norelay,plex
smb40-ad-dc,baseimage
docker-motioneye,baseimage
coldfusion2016,baseimage
coldfusion2016-node-grunt,coldfusion2016
a8_base_image,baseimage
a8_dev,a8_base_image
nginx-s3-proxy,baseimage
elk,baseimage
elk-udp,elk
ubuntu-openjdk7,baseimage
baseimage-apache,baseimage
baseimage-apache-extras,baseimage-apache
xeoma,baseimage
vpnet,baseimage
homebridge-docker,baseimage
docker-subsonic-http,baseimage
dockergui,baseimage
desktop-docker-retroshare,dockergui
unraid-qbittorrent,baseimage
unraid-vanilla,baseimage
web-monitor-python,baseimage
extendedinetperson-ldap-memberof,baseimage
base-microimage,baseimage
author_affiliation_service,base-microimage
itester,baseimage
docker-nginx-rtmp,baseimage
trinity-dockerfile,baseimage
trinotate-dockerfile,baseimage
lam,baseimage
slapd,baseimage
slapd-dcm4chee,slapd
slapd-for-dcm4chee,slapd-dcm4chee
tmate-docker,baseimage
dey-base,baseimage
docker-dey,dey-base
bgpanel,baseimage
grails,baseimage
keypathwayminer-web,grails
sniproxy,baseimage
grav-php-nginx,baseimage
aiida_core_base,baseimage
torquessh_base,baseimage
graphite-cluster-base,baseimage
graphite-cluster-node,graphite-cluster-base
urbackup_auto,baseimage
dockervpc,baseimage
network-automation,baseimage
quagga_docker_gns3,baseimage
docker-nginx-php7.1,baseimage
redfoxbot,docker-nginx-php7.1
cloud9ide,baseimage
hermescomponents,baseimage
ehb2,baseimage
leocards,baseimage
pocketmine,baseimage
ventrilo,baseimage
vagrant-run-docker,baseimage
ttrss,baseimage
ttrssdb,ttrss
rancher-nginx,baseimage
nsi-rabbitmq,baseimage
tvspy,baseimage
dude,baseimage
lamp,baseimage
lamp-testbed,lamp
predictionio,baseimage
ur,predictionio
predictionio-eventserver,baseimage
datamagic-baseimage,baseimage
workspace,baseimage
workspace-php,workspace
workspace-phalcon,workspace-php
allan-docker-dev-python,baseimage
docker-dev-rust,baseimage
mapproxy,baseimage
docker-mapproxy,mapproxy
nominatim,baseimage
alpharpc,baseimage
phusion-icinga2,baseimage
rexster,baseimage
graphite,baseimage
carbon-cache,graphite
cups-cloud-print,baseimage
perforce-uber,baseimage
layerzero,baseimage
broadwayd,baseimage
dokcer-luigid,baseimage
ssreflect,baseimage
mythtv-server,baseimage
gitmask,baseimage
grav-dokerized,baseimage
airsonos,baseimage
turtlecoin-base,baseimage
turtlecoind,turtlecoin-base
thoughtworks-email-signature-generator,baseimage
docker-vcpe,baseimage
elixir-docker-ci-example,baseimage
python-dev,baseimage
django-dev,python-dev
marathon-ec2-mongodb-replicaset,baseimage
docker-honeypot,baseimage
ngs-base,baseimage
openstreetmap-tiles-docker,baseimage
dist2self,baseimage
epitopeselector,baseimage
lenstools-ubuntu,baseimage
countly,baseimage
docker-terminal,baseimage
php5.6-docker,baseimage
graphite,baseimage
graphite-statsd,graphite
docker-graphite-statsd-efs,graphite-statsd
docker-amazon-echo-ha-bridge,baseimage
docker-calibre,baseimage
docker-duckdns,baseimage
docker-duckdns-dev,baseimage
docker-openremote,baseimage
docker-plexrequests,baseimage
docker-zoneminder,baseimage
docker-zoneminder-dev,baseimage
guacamole,baseimage
guacamole-docker,guacamole
home-automation-bridge,baseimage
nginx-letsencrypt,baseimage
zoneminder-1.29,baseimage
ffmpeg,baseimage
php53,ffmpeg
memcached,baseimage
memcached-verbose,memcached
flatline-baseimage,baseimage
flatline-jenkins,baseimage
jenkins-dind-master,baseimage
arb-laravel-docker-development,baseimage
workspace,baseimage
docker-bitrix-workspace,workspace
warrior-dockerfile,baseimage
ssr-fs-svr-debain-docker,baseimage
git-ssh,baseimage
sftp,baseimage
storage-manager,sftp
docker-dashd,baseimage
chrome-headless,baseimage
chrome-headless-chromedriver-java8,chrome-headless
docker-adbind,baseimage
docker-pixlserv,baseimage
scrapy,baseimage
crawler,scrapy
timemachine,baseimage
liquidsoap,baseimage
liquidsoap-example,liquidsoap
squeezelite,baseimage
pipelign,baseimage
ctf-xinetd,baseimage
ctf-box,baseimage
appshield,baseimage
baseimage-jdk,baseimage
stash,baseimage-jdk
algo-dev-git,stash
postgresql,baseimage
docker-postgres,postgresql
docker-papertrail-postgres,docker-postgres
demo,baseimage
monasca-anomaly-docker,demo
cloudstack-simulator-4.4,baseimage
cloudstack-simulator-4.4.1,baseimage
ansible-target,baseimage
capistrano-deploy,baseimage
percona-server,baseimage
percona5.7-dev,percona-server
subsonic,baseimage
freenas-subsonic,subsonic
matterhorn,baseimage
crashplan,baseimage
owncloud,baseimage
owncloud-ldap,owncloud
transmission,baseimage
freenas-transmission,transmission
hostapd-wpe,baseimage
docker-luigi,baseimage
docker-pycsw,baseimage
docker-riak-explorer,baseimage
docker-riakts,baseimage
gdam,baseimage
gutils,baseimage
vsftpd,baseimage
docker-deluge,baseimage
wisemapping,baseimage
docker-snapraid,baseimage
vestacp,baseimage
varnish-basic-auth,baseimage
docker-node,baseimage
microduino-forum,docker-node
hwuethrich-bamboo-docker-image,baseimage
consul,baseimage
