source,target
abyss,biocontainers
allpathslg,biocontainers
bamtools,biocontainers
augustus,bamtools
bcftools,biocontainers
bedtools,biocontainers
blast,biocontainers
bowtie,biocontainers
bowtie2,biocontainers
bismark,bowtie2
bwa,biocontainers
bwa-samtools,bwa
cava,biocontainers
clustal-omega,biocontainers
comet,biocontainers
crux,biocontainers
mksslcrt,crux
denovogui,biocontainers
dia-umpire,biocontainers
emboss,biocontainers
domainatrix,emboss
fastqc,biocontainers
trim-galore,fastqc
fastxtools,biocontainers
msamanda,biocontainers
novor,biocontainers
pepnovop,biocontainers
peptideprophet,biocontainers
peptideshaker,biocontainers
percolator,biocontainers
pia,biocontainers
pia-web-server,biocontainers
picard,biocontainers
drop-seq-tools,picard
progressivecactus,biocontainers
proteinprophet,biocontainers
proteowizard,biocontainers
saintq,biocontainers
samtools,biocontainers
superenhancer,samtools
searchgui,biocontainers
soapdenovo,biocontainers
spectra-cluster-cli,biocontainers
toppas,biocontainers
tpp,biocontainers
vcftools,biocontainers
xtandem,biocontainers
automaticworkflowcomposition,biocontainers
optitype,biocontainers
disambiguate,biocontainers
disambiguateplus,biocontainers
platypus-nf,biocontainers
vt-nf,biocontainers
salmon,biocontainers
salmon_de,salmon
bedtools,biocontainers
manta,biocontainers
picard,biocontainers
flow-optitype,biocontainers
commonscripts,biocontainers
pindel,biocontainers
regulatorygermline,biocontainers
vcf_concordance,biocontainers
cufflinks,biocontainers
manta,biocontainers
netmhc,biocontainers
somatic_sv_workflow,biocontainers
ssv,biocontainers
