source,target
dind-testing,dind
riboproanalysis,dind
dind-golang,dind
mesos,dind
mesos-slave,mesos
fixed-mesos-slave,mesos-slave
gocd-agent,dind
gocd-agent-mvn,gocd-agent
dokku,dind
machine,dind
gitlab-dind-node-yarn,dind
fiboid,dind
swarm-test-env,dind
dind-java8,dind
dind-java8-jenkins-swarm,dind-java8
mesos-slave-dind,dind
dind-aws,dind
dind-ipython-notebook,dind
megal,dind
riboproanalysis,dind
webhook-docker-deploy,dind
mesos-master,dind
mesos-master-autodisc,mesos-master
docker,dind
ci,docker
release,ci
docker-gitlab-ci-multi-runner,dind
gitlab-ci-gcp,dind
dind-nodejs,dind
ubuntu-dind,dind
docker-jenkins-slave-dind,ubuntu-dind
try-2-learn,dind
kitchen-docker,dind
jenkins-slave-dind,dind
gitlab-dind-maven,dind
dind-java,dind
dind-maven,dind-java
ma-pipeline-docker-dind,dind
jenkins,dind
hms-jenkins,jenkins
inception-kitchen,dind
test-kitchen-runner,dind
drydock,dind
docker-on-demand,dind
dockerhost-on-demand,dind
gitlab-java-oracle,dind
dind-ssh,dind
ubuntu14.04-dind,dind
docker-tutorial,dind
buildbot-slave,dind
dosd,dind
chefdk,dind
license_scout,chefdk
vagrant-dind,dind
docker-in-docker-shellinabox,dind
gocd-agent-dind,dind
boatyard,dind
gitlab-dind-awscli,dind
drone-docker,dind
docker-jenkins-slave,dind
docker-jenkins-slave-jvm-build-tools,docker-jenkins-slave
megal,dind
