source,target
gea-waves,fedora
docker-automated-build,fedora
fooswan,fedora
nettools,fedora
ansible-fedora21,fedora
docker-asciidoctor,fedora
asciidoctor,docker-asciidoctor
foreman,fedora
committed,foreman
jenkins,fedora
hms-jenkins,jenkins
docker-influxdb-grafana,fedora
freeipa-client,fedora
keycloak-sssd-integration-tests,freeipa-client
freeipa-server,fedora
freenas-freeipa,freeipa-server
restraining_order_demo_server,fedora
email-reports,fedora
emergis-copy,fedora
firebase-push,fedora
inventory-api,fedora
purchasing-api,fedora
purchasing-backend,fedora
telus-copy,fedora
telus-copy-customers,fedora
keepalived,fedora
asciidoctor,fedora
stress,fedora
docker,fedora
ci,docker
release,ci
rhq-4.12.0,fedora
builder,fedora
test,builder
carbon-c-relay,fedora
riemann,fedora
riemann-kafka,riemann
tmpwatch,fedora
volume-backup,fedora
docker,fedora
drone-kitchen,docker
docker-rpm-builder-configurations,fedora
fwd-fedora-rawhide,fedora
dockerfile-flatpak,fedora
gnome-todo,dockerfile-flatpak
fedora-flatpak-runtimes,fedora
activemq,fedora
messaging-server,activemq
kafka,fedora
prometheus-kafka-consumer-group-exporter,kafka
libvirt-client,fedora
noc,fedora
osv-builder,fedora
postgres,fedora
postgres-db,postgres
pyremedy,fedora
rpmbuilder-fedora,fedora
secure-registry,fedora
systemd,fedora
libvirtd,systemd
docker-images,libvirtd
stellar-notifier,docker-images
zookeeper,fedora
zookeeper-rancher,zookeeper
openbox-desktop-vnc,fedora
calibre_srv_headless,fedora
folding-at-home,fedora
kamailio-latest-stable,fedora
coreos-ansible-toolbox,fedora
containerized-xorg-spice,fedora
fedora-ansible-test,fedora
data-archiving-service,fedora
wine-fedora-docker,fedora
docker-trial,fedora
ansiblecheck,fedora
client,fedora
agent,client
buildkite_agent_deis_client,agent
client_gssapi,fedora
kerberos,fedora
ldap,fedora
ldap_gssapi,fedora
ldap_producer,fedora
ldap_replica,fedora
ldap_replica_gssapi,fedora
ldap_replica_simple,fedora
ldap_sssd,fedora
ldap_supervisor,fedora
ldap_zabbix,fedora
gjs-docs-site,fedora
docker-build-fedora,fedora
nem-docker,fedora
openshift-exo-jmeter,fedora
epitech-c-cpp-plain,fedora
s3tools-docker,fedora
mock-rpmbuilder,fedora
empire,fedora
krakenceph,fedora
go,fedora
grpc,go
protoc,grpc
protoc-gen-gotemplate,protoc
nginx,fedora
dockerized-nginx-tester,nginx
uatframework,fedora
fedora-gcc,fedora
bubbleprofiler-ci-fedora,fedora-gcc
libnss-resolver,fedora
acme-mqtt-tester,fedora
asciinurse,fedora
docker-automated-build,fedora
frails,fedora
saml-proxy,fedora
dogtagpki-test-essentials-container,fedora
linchpin_container,fedora
boinc,fedora
calibre,fedora
calibre-cops,calibre
docker-fedora25-ansible,fedora
docker-javacontainer,fedora
fedora-arm-embedded,fedora
devassistant,fedora
prez,fedora
docker-automated-build,fedora
aalto-speech-diarizer,fedora
cmu-sphinx4,fedora
cmu-sphinx4-transcriber,cmu-sphinx4
ibm-watson-stt,fedora
nfs-ganesha-docker,fedora
deploy-tools,fedora
autorebootwg1200hp,fedora
checksakuravpsmaintenans,fedora
crawler,fedora
h2o-docker,fedora
chrome-print-nginx,fedora
chrome-print-php-fpm,fedora
chrome-print-xvfb-pool,chrome-print-php-fpm
chrome-print-storage,fedora
chrome-print-xvfb,fedora
docker-fedora27-ansible,fedora
bl4s-viewer,fedora
docker-automated-build,fedora
efl-ready-docker-fedora,fedora
bugengine,fedora
icanhaz,fedora
devbox,fedora
fijibox,devbox
jenkins-slave-fedora,fedora
itk-base,jenkins-slave-fedora
itk-bin,itk-base
build-essential,fedora
libcangjie,build-essential
pycangjie,libcangjie
compilation_service_router,fedora
sc,fedora
lem,fedora
mpm,fedora
geard,fedora
geard-githost,fedora
vgologuz-v2,fedora
fpm-fedora,fedora
travis_fedora,fedora
venv_fedora,fedora
docker-automated-build1,fedora
fedora-devtools,fedora
docker-wordpress,fedora
wcsb-nginx,docker-wordpress
heketi,fedora
devel,fedora
arch-cmake-gtest-lcov,devel
