source,target
httpd-fcgi,httpd
awstats-multisite-summary,httpd
ir,httpd
docker-apache-markdown,httpd
php,httpd
docker-magento-php-fpm-alpine,php
dashboards,httpd
live-docs,httpd
php-api-base,httpd
xsede-system-status-check-api,php-api-base
stats-dashboard,httpd
docker-httpd,httpd
dld-present-snorql,httpd
haproxy-lb-to-apache,httpd
httpd-with-curl,httpd
wodocker,httpd
httpd-proxy-federate,httpd
openidc-proxy,httpd
memento-front,httpd
rails-tutor,httpd
ogc-preview,httpd
pictopage,httpd
splunk-ta-akamaidocker,httpd
rdfsurveyor,httpd
angular-beatbox,httpd
aliciapp,httpd
tzurl,httpd
linkeddatacontentnegotation,httpd
vodap-dcatap-validation,httpd
dps-apache,httpd
galaksio,httpd
galaxy-galaksio,httpd
irods-cloudbrowser,httpd
httpd-php5-java8,httpd
docker-aws-deploy-test,httpd
osticket-docker,httpd
apache,httpd
homeautomation-backend,apache
htaccess-tester,httpd
reminder,httpd
centos7-php7-node9,httpd
0001_besentient_2015,httpd
0001_besentient_2015-2,httpd
docker-http-withmodjk,httpd
doopsplash,httpd
apache-cosign,httpd
codex-frontend,httpd
howtoalienvault,httpd
softwareengineering,httpd
httpd-for-typo3,httpd
2017fall,httpd
splitwizard,httpd
website,httpd
httpd-rproxy-ldap,httpd
apache2-alpine,httpd
local-webmail-sink,httpd
centos7-php-7.1,httpd
centos7-php56,httpd
k8s-spinnaker-apache2,httpd
pgadmin4,httpd
php,httpd
koel,php
apache-ldap-file-proxy,httpd
logogen,httpd
docker-training,httpd
woodytoys-apache-proxy,httpd
woodytoys-intranet,httpd
woodytoys-www,httpd
web,httpd
runconduit-web,web
beerbets-client,httpd
subversion-ldap-httpd,httpd
apache,httpd
homeautomation-frontend,apache
glossary-apache,httpd
tty-frontend,httpd
httpd-dev,httpd
labelmeannotationtool,httpd
docksalio,httpd
draw.io,httpd
galaksio,httpd
paintomics3,httpd
apachegau,httpd
dockerized-docs-chef,httpd
dockerized-docs-gluster,httpd
dockerized-docs-postgresql,httpd
dockerized-docs-rundeck,httpd
dockerized-docs-wiredtiger,httpd
percona-server,httpd
percona5.7-dev,percona-server
docker-geniva,httpd
102062615-lab3,httpd
posty-webui,httpd
ogc-preview,httpd
blog,httpd
barra.govbr,httpd
w3c-validator,httpd
web,httpd
owncloud,web
owncloud-ldap,owncloud
hello-world,httpd
docker-hub-initial-tag-push-repro,hello-world
studiosquid.website,httpd
expert_indic_webpage,httpd
httpd-cgi,httpd
dynatrace-problems-grafana-source,httpd-cgi
httpd-mod_jk,httpd
docker-httpd-ifix,httpd
masuda-app-cara,httpd
masuda-app-coroa,httpd
httpd-php5,httpd
httpd-ssl,httpd
solidity-dash,httpd
httpd_with_imagemagick_incl_webp,httpd
mod_dims,httpd_with_imagemagick_incl_webp
httpd-site-improving,httpd
httpd-site-recrutamento,httpd
httpd-ssl,httpd
ezmaster,httpd
ezmaster-globs,httpd
davite,httpd
amazon-ecs-bitbucket-pipelines-python,httpd
httpd24,httpd
httpd-php,httpd
roundcube,httpd-php
roundcubemail-carddav-caldav-ical-managesieve,roundcube
shell-microservice-exposer,httpd
livingwater,httpd
apache,httpd
wapt,apache
renga,httpd
httpd-alpine-rewrite,httpd
apache-php,httpd
docker-silex,apache-php
potree,httpd
2017-hdc-workshop,httpd
vvvvv,httpd
xkcd-new-tab,httpd
react-demo,httpd
front-end,httpd
solidity,httpd
nobleprog_training,httpd
docker-test,httpd
ocr-gt-tools,httpd
http-php,httpd
drupal-apache,http-php
xhprof,drupal-apache
jangouts,httpd
tty-training-front,httpd
tty-frontend,httpd
tetris,httpd
docker_kopf,httpd
apachedocker,httpd
httpd-centos-alpine,httpd
httpd-fpm,httpd
template-html-webapp,httpd
draw.io,httpd
apache,httpd
spectrum-basic-httpd,apache
httpd-php,httpd
https-redirecter,httpd
pulp,httpd
snap,httpd
intelsdi-x-snap-docker,snap
docs-docker,httpd
demo-ver1,httpd
demo-ver2,httpd
pydat,httpd
appserviceperl-mojo,httpd
mod_proxy,httpd
apache-proxy-auth-ldap,httpd
widgets,httpd
httpd-ssi,httpd
mkdocs,httpd
nilbus.com,httpd
toybox-apache2,httpd
apache2.2-php5.2.17,httpd
apache24-fpm,httpd
reviewboard,httpd
awstats,httpd
landing_pages,httpd
alpine-3.6-x3d-component-editor,httpd
pxe-docker,httpd
apache,httpd
mediawiki,apache
mediawiki-ldap,mediawiki
tty-frontend,httpd
ourmemory,httpd
calendar-board,httpd
httpd-php,httpd
pbfront,httpd
privacypatterns-web,httpd
website,httpd
webdav,httpd
apache_module_compiler,httpd
php,httpd
docker-images,php
stellar-notifier,docker-images
28upgradetest,httpd
docker-fileserverwelcome,httpd
proxy-for-docker-containers,httpd
linux,httpd
spinnaker,httpd
www,httpd
www-devel,www
httpd24,httpd
uug-travis-demo,httpd
hdp-yum-mirror-docker,httpd
mirror,httpd
rundeck-httpd,httpd
semaphore-httpd,httpd
palpo-frontend,httpd
httpd-alpine-htpasswd,httpd
proxy-apache,httpd
http-header-docker-compose,httpd
pipelinestest,httpd
tty-frontend,httpd
automated-build-test,httpd
jbrowse_httpd,httpd
jbrowse_httpd_bionano,jbrowse_httpd
tty-frontend,httpd
lodmilla-frontend,httpd
apache,httpd
prestashop,apache
docker-prestashop,prestashop
reveal-js-wrapper,httpd
app-index,httpd
kubernetes,httpd
aws-ip-list-service-cache-server,httpd
skilld-docker-apache,httpd
multi-platform-todoapp,httpd
atl-web,httpd
client,httpd
agent,client
buildkite_agent_deis_client,agent
httpd-letsencrypt,httpd
apache,httpd
wordpress,apache
morro-de-sao-paulo,wordpress
apache-backend-eg,httpd
httpd-subversion,httpd
