source,target
ferret-docker,java
javahelloworld_prod,java
javahelloworld1,java
docker-swagger-codegen-git-push,java
3ap-status-board,java
drupal-solr,java
ant,java
docker-ant,ant
docker-keybox,java
hello-ippon,java
universal-ftb-server,java
iot-kafka,java
prokka,java
seqtool,java
javahelloworld-prod,java
javahelloworld-prod,java
javameetsdocker,java
javahelloworld_prod,java
flyway-mysql,java
docker-joshua-decoder,java
lakitu,java
javaworld,java
java-maven,java
docker-sauce-connect,java
spagobi,java
wisemapping,java
taxiproducer,java
docker-sonarqube,java
docker-mycat,java
gitlab-sonar-runner,java
blog,java
activemq-postgres-jdbc3-docker,java
docker-sbt,java
greeter-service-example,docker-sbt
seyren,java
elasticsearch,java
elastic,elasticsearch
elasticsearch2,java
docker-solr,java
solr-mongo-connector,docker-solr
sonar-scanner,java
sonar-scanner-ts,sonar-scanner
vertx3-info-server,java
flyway,java
flyway-postgres,flyway
wildfly,java
keycloak-quickstarts,wildfly
keybox,java
spring-swagger,java
elasticsearch,java
elasticsearch-icu,elasticsearch
exec-jar-from-url,java
sigma-ms-user,java
confluent-kafka-base,java
confluent-kafka-rest,java
confluent-schema-registry,java
datomic,java
mysql-flyway-docker,java
javahelloworld_prod,java
logstash,java
logstash-output-jdbc,logstash
sonarscanner,java
hello-ippon,java
play-server,java
pithos-quickstart,java
docker-mirthconnect,java
helloworld,java
zookeeper,java
kafka,zookeeper
prometheus-kafka-consumer-group-exporter,kafka
cdh5-docker,java
jenkins-slave,java
jenkins-typesafe-activator,jenkins-slave
kafka,java
kafka-prometheus,kafka
bamboo-agent,java
bamboo-agent-java8,java
client,java
agent,client
buildkite_agent_deis_client,agent
primenumber,java
server,java
couchbase_repl,server
hellodocker,java
redpen,java
redpen-server,java
springdatajparest,java
heyajava,java
mavenpetcliniproject,java
hap-todo,java
lens-warehouse,java
lens-workbook,java
test18180,java
zookeeper-dynamic,java
zookeeper-bug01,zookeeper-dynamic
javahelloworld_prod,java
pipeline-kafka,java
twofish,java
minecraft,java
minecraft-forge,minecraft
minecraft-modded,minecraft-forge
dind-jenkins-slave,java
dind-slave-java8,dind-jenkins-slave
dind-slave-jdk8-android,dind-slave-java8
spago,java
spagobi2,java
docker-kafka,java
dockerfile-nifi-utils,java
nifi-ldap,java
sonatype-nexus-docker,java
javahelloword,java
marathon-rabbitmq-autoscale,java
stubby4j-docker,java
javahelloworld,java
javahelloworld_prod,java
docker-phpstorm,java
docker-teamcity-agent,java
docker-teamcity-server,java
java-sbt,java
typesafe-activator,java
microservices-spring-boot-base,java
docker-logstash-w-extras,java
es-pusher,java
stravinski,java
ubuntu-gradle-ci,java
tesseract-java,java
backend-demo,java
docker-java,java
docker-geoserver,docker-java
java-fuse,java
docker-opc-karaf,java
todomanager,java
ant,java
docker-ant-env,ant
docker-nightwatch,java
hermes-consumers,java
hermes-frontend,java
hermes-management,java
jetty,java
cas-overlay,jetty
flume,java
sc6-flume,flume
teamcity-agent,java
teamcity-agent-docker-ivy,teamcity-agent
upsource,java
openshift-upsource,upsource
docker-pentaho-di,java
elk,java
elk-udp,elk
elk-ir,java
pollen,java
pollen.bundles,java
performance-tester,java
sidewinder,java
javahelloworld_prod,java
testjavaproject,java
javahelloworld,java
docker-allure2,java
javahelloworld1,java
zookeeper,java
zookeeper-rancher,zookeeper
helloword,java
kafka,java
kafka-compact,kafka
solr,java
liresolr,solr
elasticmq,java
elasticmq-saboteur,elasticmq
elasticsearch-lire,java
mule,java
bunnyorderservice,mule
mule-ee,java
chuck-norris-client,java
aem,java
schemaspy-postgres,java
docker-jmeter,java
google-pubsub-emulator,java
kafka,java
kubernetes-kafka,kafka
dockerized-mysql-plugin,java
newrelic-mysql-plugin,java
hello-world,java
docker-hub-initial-tag-push-repro,hello-world
route-planner,java
dockerautobuild1,java
javahelloworld_prod,java
anirban-mule,java
