source,target
hms-jenkins,jenkins
jenkins-docker,jenkins
jenkins-dockerize,jenkins-docker
jenkins-docker,jenkins
docker-jenkins,jenkins
jenkins-net-projects,docker-jenkins
docker-jenkins,jenkins
jenkinsmononode,docker-jenkins
adop-jenkins,jenkins
docker-jenkins-client,jenkins
adop-jenkins,jenkins
docker-jenkins,jenkins
jenkins2-docker,jenkins
jenkinselastic-docker,jenkins
jenkins-with-docker,jenkins
py3-jenkins,jenkins
jenkins-docker,jenkins
jenkins-docker,jenkins
extended-jenkins,jenkins
aws-services-jenkins,jenkins
handyjenkins,jenkins
jenkins-php-docker,jenkins
git-sync-jenkins,jenkins
adop-jenkins,jenkins
dockerjenkinswithgit,jenkins
docker-jenkins,jenkins
jenkins-to-salesforce,jenkins
jenkins-hhvm,jenkins
docker-alpine-jenkins,jenkins
cd-jenkins-pipeline,jenkins
jenkins-php,jenkins
drunkins,jenkins
jenkins-docker,jenkins
docker-jenkins-codecommit,jenkins
docker-jenkins-master,jenkins
docker-jenkins-s3,jenkins
jenkins-sudo,jenkins
jenkinsad,jenkins
ansible-jenkins,jenkins
jenkins-dood,jenkins
jenkins-kubernetes,jenkins
docker-jenkins,jenkins
docker-jenkinsci,jenkins
my-jenkins,jenkins
jenkins-docker,jenkins
jenkins-kubernetes,jenkins
jenkins-fontforge,jenkins
jenkins-jekyll,jenkins
docker-jenkins,jenkins
jenkins-sde,jenkins
insta-jenkins,jenkins
jenkins-kettle,jenkins
jenkins-master,jenkins
docker-images,jenkins
stellar-notifier,docker-images
jenkins2,jenkins
docker-jenkins,jenkins
jenkins-with-docker,jenkins
jenkins-php,jenkins
adop-jenkins,jenkins
jenkins-master-k8s,jenkins
jenkins-master-changed-uid-gid,jenkins
demo_cdemo_jenkins,jenkins
demo_conjur_docker_jenkins,jenkins
docker_admin_jenkins,jenkins
docker_jenkins_conjur,jenkins
mrapid,jenkins
jenkins-chatops,jenkins
jenkins-docker,jenkins
jenkins-docker,jenkins
docker-jenkins,jenkins
cdb-jenkins,jenkins
landshark-jenkins,jenkins
edmp-jenkins,jenkins
jenkins-with-docker,jenkins
jenkins-plus,jenkins
jenkins-nodejs,jenkins
jenkins-static-website,jenkins-nodejs
