source,target
logstash-output-jdbc,logstash
logstash-in-a-box,logstash
adop-logstash,logstash
chillouthackathon-logstash,logstash
dcos-logstash,logstash
logstash-sqlserver,logstash
logstash-scrapy-cluster-docker,logstash
docker-logstash,logstash
icingash,docker-logstash
dockstash,logstash
docker-elk,logstash
drove-logstash,logstash
redis-logstash-elasticsearch,logstash
logstash-test,logstash
elk-logstash,logstash
coyo-logstash-elasticsearch,logstash
logstash-kinesis,logstash
elasticsearch-logstash-dynamodb-streams,logstash
docker-logstash-aws-elasticsearch,logstash
elastic_logstash,logstash
persister,logstash
infra-logstash,logstash
docker-logstash-development,logstash
logstash-filebeats,logstash
logstash-cloudwatchlogs,logstash
logstash-input-acquia,logstash
tty-logstash,logstash
mylogstash,logstash
logstash-docker,logstash
front-logstash,logstash
collector,logstash
sumologic-collector-ab,collector
logstash-kafka-plugin,logstash
carbon-logstash,logstash
logstash-elastic-ha,logstash
logstash-input-cloudhub,logstash
logstash-rabbitmq-river,logstash
logstash-winston,logstash
neoscan-logstash,logstash
dockstash,logstash
easydockstash,logstash
docker-logstash,logstash
logstash-solr-beats,logstash
logstash-beats,logstash
giants-elk-logstash,logstash
uc_logstash,logstash
logstash-input-kafka,logstash
logstash-kinesis,logstash
logstash-journald,logstash
docker-logstash-input-mariadb,logstash
tty-logstash,logstash
tty-training-logstash,logstash
tty-logstash,logstash
docker-logstash-input-kinesis-output-s3-archiver,logstash
docker-logstash-input-s3-frontend-output-kinesis,logstash
logstash-base,logstash
logstash-input-flowlogs,logstash-base
logstash4logging,logstash
logstash-postgresql-output,logstash
logstash-json,logstash
logstash-dynamodb-streams,logstash
logstash-docker,logstash
docker-logstash,logstash
persister,logstash
docker-logstash-journald,logstash
logstash-pre-processor,logstash
logstash-processor,logstash
s3-access-logstash,logstash
logstash-autopilot,logstash
docker-skytrack-logstash,logstash
cx-logstash,logstash
elkstack-logstash,logstash
docker-logstash,logstash
docker-logstash,logstash
gracc-stash-raw,logstash
gracc-stash-summary,logstash
logstash-fixed,logstash
logstash-btag,logstash
docker-logging,logstash
aws-elasticsearch-migrator,logstash
tty-logstash,logstash
docker-logstash,logstash
logstash-pubsub,logstash
logstash-for-logspout,logstash
logstash-for-syslog,logstash
elk,logstash
elk-udp,elk
logger,logstash
ls-indexer,logstash
monster,logstash
logstash-zeromq,logstash
gracc-stash-raw,logstash
gracc-stash-raw-auto,logstash
gracc-stash-summary,logstash
palpo-logstash,logstash
logstash-forwarder,logstash
logstash-forwarder-docker,logstash-forwarder
elk-monitoring,logstash
tty-logstash,logstash
tty-logstash,logstash
logstash-input-cloudhub,logstash
logstash-aggregate,logstash
dockerfile4k8s,logstash
slant6-logstash,logstash
elk-logstash,logstash
logstash-tester,logstash
docker-logstash,logstash
logstash-with-consul-template,logstash
organist,logstash
tty-logstash,logstash
rancher-logstash-logs,logstash
docker-consul-logstash,logstash
logstash-kafka,logstash
tegud-logstash,logstash
tty-training-logstash,logstash
logstash-journald,logstash
logstash-docker-dynamodb,logstash
tty-logstash,logstash
logstash-es-aws,logstash
ta-logstash,logstash
logstashremoteconfig,logstash
palpo-hello-logstash,logstash
logstash-h2r,logstash
logstash-r2m,logstash
tty-logstash,logstash
logstash-beats,logstash
tty-logstash,logstash
events-logstash,logstash
voltha-logstash,logstash
docker-logstash-with-plugins,logstash
symfony-logstash,logstash
docker-logstash,logstash
logstash-output-amazon-es,logstash
logstash-loggly,logstash
logstash-node,logstash
