source,target
che-mariadb,mariadb
mariadb-amazon-backup,mariadb
mysql-backup-to-gs,mariadb
mysql-backup-to-s3,mariadb
docker-mariadb-utf8,mariadb
galera,mariadb
rap3-db,mariadb
k8s-mariadb-cluster,mariadb
azuracast_db,mariadb
mariadb-cluster,mariadb
drone-mariadb,mariadb
mysql-backup-s3-gpg,mariadb
keystone,mariadb
mariadb-galera-swarm,mariadb
docker-adapted-mariadb,mariadb
mariadb_galera,mariadb
mariadb-galera,mariadb
irods-provider-galera,mariadb-galera
k8s-mariadb-cluster,mariadb
mariadb-utf8,mariadb
marathon-galera,mariadb
mariadb-cf-cli-swisscom-plugin,mariadb
mariadb-docker,mariadb
mariadb_insecure,mariadb
docker-lamp,mariadb
docker-humhub,docker-lamp
cacti-db,mariadb
fcc-mariadb55,mariadb
k8s-mariadb,mariadb
mariadb-docker,mariadb
tokudb,mariadb
mariadb-cluster,mariadb
mariadb-galera-swarm,mariadb
mariadb-wildcard,mariadb
myaas-mysql,mariadb
docker-workspace-mariadb,mariadb
fabric.nlp.docker.mysql,mariadb
fabric.realtime.mysql,mariadb
db,mariadb
homeit-mysqldump,mariadb
kubernetes-galera,mariadb
mariadb-minimal,mariadb
mariadb-docksal,mariadb
ecolex_maria,mariadb
mariadb-replication,mariadb
mariadb-pmm,mariadb
mariadb-utf8,mariadb
mariadb-execsql,mariadb
otrs-mariadb,mariadb
mariadb-galera,mariadb
huge-db,mariadb
mariadb-encrypted-backup,mariadb
mariadb_backup,mariadb
mariadb_create,mariadb
mda-mariadb,mariadb
database,mariadb
guacamole-db,mariadb
phabricator-mariadb,mariadb
docker-images,mariadb
stellar-notifier,docker-images
mariadb_bu,mariadb
docker-guacamole-db,mariadb
ta,mariadb
baghira-db,mariadb
docker-flyway-mariadb,mariadb
powerdns,mariadb
powerdns-master,powerdns
mariadb-backup,mariadb
toybox-mariadb,mariadb
galera,mariadb
mariadb-galera,mariadb
otrs-db,mariadb
mariadb-backup,mariadb
mariadb-lowmemory,mariadb
sakiladb,mariadb
mariadb-swarm,mariadb
mariadb-example-databases,mariadb
pinba-server,mariadb
rugion-pinba-server,pinba-server
mariadb-ansible,mariadb
uv-mariadb,mariadb
db,mariadb
simply-nzedb-mariadb,mariadb
mangosbuild,mariadb
mangoszero,mariadb
mariadb-galera,mariadb
unified-views-mariadb,mariadb
tempdb,mariadb
database,mariadb
mariadb-cluster,mariadb
db,mariadb
mysql-backup,mariadb
mysql-backup-gcs,mysql-backup
mariadb-cluster,mariadb
galera-mariadb,mariadb
docker-mariadb-replication,mariadb
mariadb-utf8mb4,mariadb
docker-laravel-mariadb,mariadb
mariadb-backup,mariadb
