source,target
bitnami-erlang,minideb
nginx-verbose,minideb
php-fpm,minideb
php-fpm-xdebug,php-fpm
php-fpm-xdebug-dev,php-fpm-xdebug
minideb-base,minideb
connect-docker,minideb
docker-nginx-fpm-caches-wordpress,minideb
kubecfg-updater,minideb
rust-musl-cpp,minideb
javai,minideb
narchy,javai
spimedb,narchy
extended-base-image,minideb
acmesolver,minideb
alertmanager,minideb
prometheus-alertmanager-docker,alertmanager
heapster,minideb
heapster-v1.2.0,heapster
ingress-shim,minideb
kube-state-metrics,minideb
quay.io,kube-state-metrics
node,minideb
thesis,node
open-service-broker-azure,minideb
pushgateway,minideb
ruby,minideb
outletbox-rails,ruby
service-catalog,minideb
mapserver,minideb
mapserver-ecw,mapserver
executor-app,minideb
minimalscheduler,minideb
pymesos-frameworks,minideb
webpages,minideb
carplate,minideb
wordpress-nginx-fpm-caches,minideb
texlive,minideb
latexmk,texlive
bats-core,minideb
shellcheck,minideb
cli-4-ds,minideb
drupal,minideb
drupal-kitematic,drupal
redmine,minideb
docker-redmine-timesheet,redmine
docker_xelatex_google-fonts,minideb
minideb-rclone,minideb
docker-nmea-sensorhub,minideb
docker-pyocd,minideb
docker-rtl-ais,minideb
carma-base-runtime,minideb
minideb-supervisord,minideb
siege,minideb
darknet,minideb
minion-darknet,darknet
dwi-ivim,minideb
vagrant-ansible,minideb
docker-rclone,minideb
instabot.py-docker,minideb
basedeb,minideb
minideb-builder,minideb
dataiku-dss-core,minideb
dataiku-anode,dataiku-dss-core
watchman,minideb
nuclide-remote,watchman
asmfish,minideb
komodo,minideb
stockfish,minideb
haskell-yesod-docker-debian-minimal,minideb
lava-docker,minideb
lava-docker-v2,lava-docker
lava-slave-docker,minideb
lava-slave-docker-v2-lab-tbaker,minideb
rendezvous,minideb
caddy_proxy,minideb
minideb_php7,minideb
ibm-bluemix-mosquitto,minideb
node-container,minideb
docker-espurna-builder,minideb
unifi,minideb
unifi-entertain,unifi
flameshot,minideb
knewser,minideb
signal-desktop,minideb
opencl,minideb
scallion,opencl
kube-hostpath-provisioner,minideb
mysql-workbench,minideb
sslh,minideb
flexget-docker,minideb
bitnami-docker-redmine,minideb
latex,minideb
docker-latex-pygments,latex
docker-nginx-fpm-caches-wordpress,minideb
scrapinghub-image-casperjs,minideb
docker-lampstack,minideb
harpjs,minideb
mongomini,minideb
base,minideb
backup-fetch-files,base
docker_caddy,minideb
docker_dartlang,minideb
docker_python3,minideb
epicbox-base,minideb
epicbox-python,epicbox-base
multichain,minideb
texttop,minideb
docker-nginx-fpm-caches-wordpress,minideb
