source,target
zonemaster-gui,opensuse
blinux,opensuse
blinux-jenkins-slave,blinux
dialog,opensuse
ceph-docker,opensuse
docker-backup,opensuse
docker-backup-s3,docker-backup
openvpn-route-self,opensuse
source-broadcast-proxy,opensuse
source-server-fake,opensuse
opensuse42.1_ibm8_liberty16.0.0.3,opensuse
blinux,opensuse
blinux-bash,blinux
docker-php-opensuse,opensuse
base,opensuse
backup-fetch-files,base
nspawn-toolbox,opensuse
powersuse,opensuse
blinux,opensuse
blinux-make,blinux
epitech-norm-docker,blinux-make
docker-owncloud-client-win32,opensuse
opensuse-leap,opensuse
sauerbraten,opensuse
teeworlds,opensuse
java,opensuse
ferret-docker,java
opensuse-base-minion,opensuse
espresso-opensuse,opensuse
ashscan,opensuse
docker-owncloud-client-win32,opensuse
owncloud-client-win32,opensuse
caasp,opensuse
trial,opensuse
docker-opensuse-java,opensuse
guestbook,opensuse
k8s-guestbook-go-v3,guestbook
terragear,opensuse
ansible,opensuse
ansible-roles,ansible
docker-owncloud-client-win32,opensuse
phabricator,opensuse
docker-phabricator-sprint,phabricator
systemd-none,opensuse
docker-phabricator,systemd-none
teamviewer,opensuse
znc,opensuse
znc-docker,znc
docker-yast2-devel,opensuse
wsman,opensuse
hana-express,opensuse
mythsuse,opensuse
playground,opensuse
cvim,playground
docker-coala-base,opensuse
mono-hosting-wcf,opensuse
ansible,opensuse
ansible-molecule-gce,ansible
bash,opensuse
netplugin-init,bash
bind,opensuse
igludockerprojectdns,bind
curl,opensuse
influx-grafana,curl
docker,opensuse
ci,docker
release,ci
git,opensuse
spring-boot-rest-example,git
go,opensuse
grpc,go
protoc,grpc
protoc-gen-gotemplate,protoc
mono,opensuse
mono-complete,mono
nginx,opensuse
dockerized-nginx-tester,nginx
openjdk,opensuse
distriapplici,openjdk
python,opensuse
flashcards13,python
ruby,opensuse
outletbox-rails,ruby
wget,opensuse
dockercraft,wget
xmllint,opensuse
openstack-health-subunit2sql,opensuse
opensuse-ci,opensuse
opensuse-go,opensuse
fetch-golang-sources,opensuse-go
machinery,opensuse
cs-engine-downloader,opensuse
suse12-build,opensuse
suse12-elixir,suse12-build
shadowsocks-libev,opensuse
shadowsocks-rinetd,shadowsocks-libev
mariadb,opensuse
che-mariadb,mariadb
nginx,opensuse
nginx-mod-http-headers-more,nginx
mmex_build_env,opensuse
zonemaster-gui,opensuse
zonemaster-gui-main,opensuse
docker-hana,opensuse
updated_13_2,opensuse
opensuse_go,updated_13_2
base,opensuse
backup-fetch-mariadb,base
etcd,opensuse
calico_etcd,etcd
salt-api,opensuse
salt-master,opensuse
salt-master-docs,salt-master
salt-full,salt-master-docs
salt-minion,opensuse
beaver-formula,salt-minion
vetulus,opensuse
kitex,opensuse
ldap-client,opensuse
cups,ldap-client
cups-canon-ufr,cups
ldap-docker,opensuse
munin-docker,opensuse
opensuse-gfortran,opensuse
gearsongallium-docker,opensuse
obsworker,opensuse
phabricator,opensuse
phabricatory,phabricator
leap-systemd,opensuse
leap-control,leap-systemd
glassfish,opensuse
usersms_back,glassfish
samba,opensuse
samba-iso,samba
squid,opensuse
docker-squid-cache-all,squid
nih-fmrif-rtafni,opensuse
nginx-docker,opensuse
coprhd-runtime,opensuse
opendavinci-opensuse-13.2,opensuse
opendavinci-opensuse-42.1,opensuse
containers,opensuse
featurecounts_1.5.3,containers
pandoc-opensuse,opensuse
lilypond,opensuse
agent,opensuse
buildkite_agent_deis_client,agent
web,opensuse
runconduit-web,web
opensuse-nonsystemd,opensuse
phabricator-docker,opensuse-nonsystemd
docker-gcc-bisect,opensuse
docker-docbook,opensuse
npm-angular,opensuse
phabricator,opensuse
opensuse-development,opensuse
dshell-docker,opensuse
coprhd-base,opensuse
coprhd-controller,coprhd-base
packpack,opensuse
doc,packpack
doc-jenkins,doc
couchbase-query-workbench,opensuse
opensuse42.1_ibm8_liberty16.0.0.3,opensuse
phabricator,opensuse
