source,target
maker_aedplot,shiny
irapui,shiny
dnalandscaper,shiny
langenau,shiny
mitoatac,shiny
peakchopper,shiny
schemer,shiny
shiny-tune,shiny
shiny_climbeando,shiny
blackspot,shiny
schemenet,shiny
tcr,shiny
shiny-object,shiny
shiny-loaded,shiny
traffic-dynamics,shiny
traffic-dynamics-analyze,traffic-dynamics
codemog-shiny-server,shiny
shinydockerfile,shiny
r-base,shiny
bookdown,r-base
flowshiny,shiny
eol2app-gie,shiny
eolapp-gie,shiny
geoexplorer-gie,shiny
hrapp-gie,shiny
map_plot-gie,shiny
region-gie,shiny
rstudio-shiny,shiny
dada2-shiny-devel,shiny
shiny_dashboard,shiny
tidyviz-shiny,shiny
ballgown_shinyapp,shiny
gender-predictor,shiny
openprimer,shiny
hitseekr,shiny
rmiracle,shiny
neolithicr,shiny
shinybase,shiny
broadsea-shiny,shiny
eutradeflows,shiny
shiny_demo,shiny
docker-shiny,shiny
yap-tm,docker-shiny
fat_shiny,shiny
shiny_statup,shiny
shiny-erasta_statup,shiny_statup
eutradeflows,shiny
traitvis-webapp,shiny
grein,shiny
docker-wallace,shiny
wallace-galaxy-ie,docker-wallace
ga4gh-shiny,shiny
ggplotwithyourdata-docker,shiny
shinykmeans,shiny
tag,shiny
tw-r-shiny,shiny
