source,target
docker-spark,spark
docker-spark-sbt,docker-spark
spark-anaconda,spark
caffeonspark_auto,spark
griffin-base-env,spark
griffin-env,griffin-base-env
apache-zeppelin,spark
pyspark,spark
jupyterhub,pyspark
scientific-notebook,jupyterhub
spark-cassandra,spark
zeppelin,spark
nds-zeppelin,zeppelin
auger-ml-builder,spark
auger-job-server,auger-ml-builder
docker-zeppelin-r,spark
zeppelin,spark
zeppelin-mesos,zeppelin
docker-eclairjs,spark
outlierdetection,spark
avocado,spark
zeppelin,spark
zeppelin-mnist-demo-dl4j,zeppelin
logisland,spark
pybase,spark
pyalgo,pybase
bio,spark
bowtie,spark
sparkit-learn-docker,spark
zeppelin,spark
google_zeppelin,zeppelin
spark-anaconda,spark
gnocchi,spark
kylo_docker,spark
spark-anaconda,spark
executor,spark
shuffle,spark
spark-shell,spark
iot-demo,spark
docker-zeppelin,spark
docker-zeppelin-test,docker-zeppelin
spark-jobserver-0.6.2,spark
zeppelin,spark
zeppelin-nbk,zeppelin
nssift,spark
docker-zeppelin,spark
becky,spark
pyspark,spark
pyspark-pytest,pyspark
spark-mongo-client,spark
spark-mongo-master,spark
spark-mongo-worker,spark
adam,spark
zeppelin,spark
livy,spark
rancher-zeppelin,spark
docker-zeppelin,spark
provesense-ingest,spark
zeppelin,spark
zeppelin,spark
spark-1.5.2_v1,spark
zeppelin,spark
jupyter.notebook,spark
jupyter.with-spark-packages,jupyter.notebook
spark.with-packages,spark
zeppelin-docker,spark
zeppelin,spark
mesos,spark
mesos-slave,mesos
fixed-mesos-slave,mesos-slave
spark-drools,spark
kylin,spark
