source,target
tomcat-volumes-exposed,tomcat
netflix-eureka,tomcat
springboot-tapestry-cucumber-selenium-testng,tomcat
3dscandocker,tomcat
firstgitproj,tomcat
tomcat-redis,tomcat
guacamole-docker,tomcat
geoserver,tomcat
geoserver-postgis,geoserver
view-tomcat,tomcat
view-build,view-tomcat
aditomobile,tomcat
java-api-base,tomcat
booking-mvc,tomcat
dubbo-admin,tomcat
tomcat-ssl,tomcat
piggydb-ssl,tomcat-ssl
artifactory,tomcat
artifactory-with-mysql,artifactory
pic-gitlabci-battlecsn-tomcat,tomcat
java,tomcat
ferret-docker,java
jaspersrv,tomcat
openidconnect,tomcat
axis2,tomcat
angryquiz,tomcat
lfmc-geoserver,tomcat
aon-application,tomcat
geoserver,tomcat
geoserver-geofence,geoserver
docker-guacamole,tomcat
mariohtml5,tomcat
libreplan,tomcat
dlt-target,tomcat
lucee-base,tomcat
jnuget-docker,tomcat
letsencrypt-tomcat,tomcat
docker-jasperserver-master,tomcat
jentrata-msh-docker,tomcat
jasperserver,tomcat
alpine-tomcat,tomcat
alpine-gitbucket,alpine-tomcat
banner9-admin,tomcat
banner9-selfservice,tomcat
clavin-compile,tomcat
isle-fedora,tomcat
isle-solr,tomcat
guacamole-docker,tomcat
irods-cloudbrowser-backend,tomcat
molgenis,tomcat
openspecimen,tomcat
phenotips,tomcat
stategraems,tomcat
xnatweb,tomcat
docker-logicaldoc,tomcat
hazelcast-docker,tomcat
hazelcast-session-replication,tomcat
caroweb,tomcat
m2cat,tomcat
webcat,tomcat
webserver,tomcat
hk-maintenance,webserver
authzforce,tomcat
cep-proton,tomcat
maven-prod,tomcat
opengrok,tomcat
apache-marmotta,tomcat
spring-petclinic,tomcat
docker-knowledge,tomcat
custom-knowledge,docker-knowledge
pentapus,tomcat
lucee-tomcat,tomcat
lucee-nginx,lucee-tomcat
farcry-lucee,lucee-nginx
idsw-portal,tomcat
appgastos,tomcat
fedoracommons,tomcat
osiam-simple,tomcat
geoserver,tomcat
sglk-geoserver,geoserver
tomcat-logback,tomcat
xwiki,tomcat
fits_webservice,tomcat
sho-bows-server,tomcat
opengrok,tomcat
castlemock,tomcat
docker-fcrepo4,tomcat
fcrepo4,tomcat
ohmage,tomcat
ohmage7,tomcat
4trest,tomcat
docker-practice,tomcat
incubator-guacamole-client,tomcat
dubbo-admin,tomcat
pruebaconjunta,tomcat
openam-nightly,tomcat
docker,tomcat
ci,docker
release,ci
alpine-jasperserverce-oracle,tomcat
alpine-ords-apex,tomcat
fedora,tomcat
gea-waves,fedora
sample,tomcat
eureka,tomcat
eurekaproj,eureka
jstorm-ui-2.2.1,tomcat
geoserver,tomcat
docker-geoserver-postgis,geoserver
pgstudio,tomcat
potage,tomcat
potage,tomcat
oxywebauthor-d4st,tomcat
dock-primesui,tomcat
tomcat-agent-bond,tomcat
plantuml,tomcat-agent-bond
sample-tomcat,tomcat
core-jsp-petclinic,sample-tomcat
guacamole-webserver,tomcat
voyant,tomcat
subsonic,tomcat
freenas-subsonic,subsonic
catalog-fgdc2iso,tomcat
guacamole-docker,tomcat
