source,target
aeroocker,ubuntu-debootstrap
chefdk,ubuntu-debootstrap
license_scout,chefdk
docker-kitchen,ubuntu-debootstrap
lightweight-mailcatcher,ubuntu-debootstrap
trusty,ubuntu-debootstrap
docker-test-ui,trusty
buildpack_deps,ubuntu-debootstrap
nodejs,buildpack_deps
ssr-with-net-speeder,nodejs
adminer,ubuntu-debootstrap
sqladminer,adminer
gearman-server,ubuntu-debootstrap
laravel-php-fpm,ubuntu-debootstrap
laravel-php-fpm-debug,laravel-php-fpm
laravel-php-fpm-ssh,laravel-php-fpm-debug
mapserver-osm-mapnik-reunion,ubuntu-debootstrap
node-ubuntu,ubuntu-debootstrap
canvas-ubuntu,node-ubuntu
deis-builder-nossl,ubuntu-debootstrap
ubuntu-s6-base,ubuntu-debootstrap
vdr-headless,ubuntu-s6-base
adminer,ubuntu-debootstrap
adminer-editor,adminer
b3,ubuntu-debootstrap
btsync,ubuntu-debootstrap
mediawiki-nginx,ubuntu-debootstrap
mini-dinstall,ubuntu-debootstrap
nfs-server,ubuntu-debootstrap
autonfs,nfs-server
openvas,ubuntu-debootstrap
owncloud,ubuntu-debootstrap
owncloud-ldap,owncloud
rsyslog,ubuntu-debootstrap
rsyslog-relay-mysql,rsyslog
squid,ubuntu-debootstrap
docker-squid-cache-all,squid
uhub,ubuntu-debootstrap
verlihub,ubuntu-debootstrap
wordpress-nginx,ubuntu-debootstrap
ansible,ubuntu-debootstrap
ansible-roles,ansible
omaha-server-base,ubuntu-debootstrap
omaha-server,omaha-server-base
openhab2,ubuntu-debootstrap
ubuntu-awscli-java,ubuntu-debootstrap
adminer,ubuntu-debootstrap
igludockerprojectadminer,adminer
cedarish32bit,ubuntu-debootstrap
cedarish,ubuntu-debootstrap
dokku-alt-buildstep,cedarish
kontena-loadbalancer,ubuntu-debootstrap
emdocker,ubuntu-debootstrap
emdocker-test,emdocker
openhab-docker,ubuntu-debootstrap
openhab-docker,ubuntu-debootstrap
cedar,ubuntu-debootstrap
heroku,cedar
privmx,heroku
mopidy,ubuntu-debootstrap
docker-jackett,ubuntu-debootstrap
openhab2-docker,ubuntu-debootstrap
cedar,ubuntu-debootstrap
heroku-node,cedar
base,ubuntu-debootstrap
backup-fetch-files,base
riemann-tools,ubuntu-debootstrap
cedar,ubuntu-debootstrap
sftp-upload-http-api,cedar
openhab-docker,ubuntu-debootstrap
docker-nodejs,ubuntu-debootstrap
docker-ember,docker-nodejs
mruby-cli,ubuntu-debootstrap
android-emulator,ubuntu-debootstrap
segmenter,ubuntu-debootstrap
streamer,ubuntu-debootstrap
ubuntu-pii,ubuntu-debootstrap
duplicity,ubuntu-debootstrap
heketi-backup,duplicity
docker-brocade-vtm,ubuntu-debootstrap
docker-ubuntu-s6-base,ubuntu-debootstrap
cedarish,ubuntu-debootstrap
slugbuilder,cedarish
node-base,ubuntu-debootstrap
docker-selenium,node-base
selenithon,docker-selenium
redis,ubuntu-debootstrap
redis-amazon-backup,redis
adminer,ubuntu-debootstrap
adminer-subdir,adminer
jackett,ubuntu-debootstrap
jackett1,jackett
aeroocker,ubuntu-debootstrap
cedarish,ubuntu-debootstrap
slugrunner,cedarish
adminer,ubuntu-debootstrap
docker-ubuntu-open-exchange,ubuntu-debootstrap
docker-ubuntu-sharelatex,ubuntu-debootstrap
dcm-convert,ubuntu-debootstrap
nifti-montage,dcm-convert
dockersupervisorgearman,ubuntu-debootstrap
lodbrok,ubuntu-debootstrap
lodbrok-docker-haproxy,ubuntu-debootstrap
docker-ubuntubase,ubuntu-debootstrap
docker-odoobase,docker-ubuntubase
base-platform,ubuntu-debootstrap
cordova,base-platform
docker-cordova-grunt,cordova
puzzle,ubuntu-debootstrap
scientific-python-3.5,ubuntu-debootstrap
scientific-python-3.5-mkl,ubuntu-debootstrap
retroarch,ubuntu-debootstrap
waifu2x,ubuntu-debootstrap
fingertips_dockerfile,ubuntu-debootstrap
dcm-convert,ubuntu-debootstrap
mcr-v81,ubuntu-debootstrap
mcr-v82,ubuntu-debootstrap
afq,mcr-v82
mcr-v84,ubuntu-debootstrap
mcr-v90,ubuntu-debootstrap
gannet_bin,mcr-v90
cedarish,ubuntu-debootstrap
slugtester,cedarish
rbenv,ubuntu-debootstrap
gitlab,rbenv
docker-gitlab,gitlab
docker-ubuntu-open-exchange-imap,ubuntu-debootstrap
