,imagefrom,imageto1,imageto2
0,apnarm/mksslcrt,crux,1
1,crux/base,crux,1
2,crux/dind,crux,1
3,prologic/mosquitto,crux,1
4,prologic/redis-cli,crux,1
5,romster/crux-base,crux,1
6,shinsterneck/docker-crux31,crux,1
7,crux/bitlbee,crux/base,1
8,crux/go,crux/base,1
9,crux/gtk,crux/base,1
10,crux/iso,crux/base,1
11,crux/python,crux/base,1
12,circuits/circuits,crux/python,1
13,crux/devpi,crux/python,1
14,crux/xchat,crux/gtk,1
15,prologic/autodock-autoscale,crux/python,1
16,prologic/charla,crux/python,1
17,prologic/circuits,crux/python,1
18,prologic/hipachectl,crux/python,1
19,prologic/ircnotifier,crux/python,1
20,prologic/kdb,crux/python,1
