,imagefrom,imageto1,imageto2
0,4km3/hms-jenkins,jenkins,1
1,absolootly/docker-jenkins,jenkins,1
2,abstracttechnology/docker-jenkins,jenkins,1
3,abulkashimgofur/adop-jenkins,jenkins,1
4,aburnett/docker-jenkins-client,jenkins,1
5,accountservices/docker-jenkins,jenkins,1
6,adityai/jenkinselastic-docker,jenkins,1
7,adopteunops/jenkins-with-docker,jenkins,1
8,alblee/py3-jenkins,jenkins,1
9,alefi87/jenkins-docker,jenkins,1
10,alexej/extended-jenkins,jenkins,1
11,alexough/aws-services-jenkins,jenkins,1
12,alljoynsville/jenkins,jenkins,1
13,alucardlevash/jenkins-php-docker,jenkins,1
14,amesken/jenkins,jenkins,1
15,andreluiznsilva/jenkins,jenkins,1
16,andrewgortonuk/dockerjenkinswithgit,jenkins,1
17,angeloevaldez/jenkins,jenkins,1
18,angola/docker-jenkins,jenkins,1
19,anyei/jenkins-to-salesforce,jenkins,1
20,appertly/jenkins-hhvm,jenkins,1
21,asteris/jenkins-docker,jenkins,1
22,asynchrony/docker-jenkins-codecommit,jenkins,1
23,asynchrony/docker-jenkins-master,jenkins,1
24,atariboy/jenkins-sudo,jenkins,1
25,atifsaddique/jenkins,jenkins,1
26,augedigital/jenkinsad,jenkins,1
27,avastmick/ansible-jenkins,jenkins,1
28,axltxl/jenkins-dood,jenkins,1
29,bahaika/docker-jenkins,jenkins,1
30,barogi/docker-jenkinsci,jenkins,1
31,benjvi/jenkins-kubernetes,jenkins,1
32,beo4/jenkins-fontforge,jenkins,1
33,bhavikk/jenkins-jekyll,jenkins,1
34,bitnsc/jenkins-kettle,jenkins,1
35,bodom0015/jenkins,jenkins,1
36,bonelli/docker-jenkins,jenkins,1
37,brisma/jenkins-with-docker,jenkins,1
38,buker/jenkins,jenkins,1
39,bureaubart/jenkins-php,jenkins,1
40,bzon/adop-jenkins,jenkins,1
41,centerforopenscience/jenkins,jenkins,1
42,chaitalikanetkar/mrapid,jenkins,1
43,chessray/jenkins,jenkins,1
44,chiefware/jenkins-docker,jenkins,1
45,christopotamus/jenkins-docker,jenkins,1
46,clementgayvallet/cdb-jenkins,jenkins,1
47,cloudsurgeon/landshark-jenkins,jenkins,1
48,codecentric/edmp-jenkins,jenkins,1
49,coderfi/jenkins-plus,jenkins,1
50,collinestes/jenkins-nodejs,jenkins,1
51,csanchez/jenkins-for-volumes,jenkins,1
52,ctran/jenkins,jenkins,1
53,darrylbresland/jenkins_master,jenkins,1
54,dclucas/jenkins2-and-compose,jenkins,1
55,dekobon/triton-jenkins,jenkins,1
56,deltaplusve/jenkins-nodejs-docker,jenkins,1
57,deshantm/docker-jenkins-jobs-dsl-gradle-examples,jenkins,1
58,devildominator/jenkins_with_android,jenkins,1
59,devilxatoms/jenkins-phpunit,jenkins,1
60,devopsitguy/gcp-spring-boot-app-master,jenkins,1
61,dinocloud/jenkins-master,jenkins,1
62,dinoflux/jenkins,jenkins,1
63,dirkwenzel/jenkins,jenkins,1
64,docksal/jenkins,jenkins,1
65,dongsu/jenkins-gitflow,jenkins,1
66,drinkingtea/ci,jenkins,1
67,dsingh07/adop-jenkins,jenkins,1
68,dunkelfrosch/docker-jenkins-php,jenkins,1
69,echtigova/jenkins,jenkins,1
70,eficode/jenkins,jenkins,1
71,eggsunimedia/jenkins-fontforge,jenkins,1
72,eggsy84/gcp-jenkins-master-k8s-seed,jenkins,1
73,eggsy84/jenkins-maven-git-docker,jenkins,1
74,elijahwright/docker-jenkins,jenkins,1
75,enelogic/jenkins,jenkins,1
76,energy1190/jenkins,jenkins,1
77,enieuw/jenkins,jenkins,1
78,fabric8/jenkins-docker,jenkins,1
79,falsecam/jenkins,jenkins,1
80,feedforce/socialplus-jenkins,jenkins,1
81,fengxx/jenkins-1x,jenkins,1
82,flasheryu/jenkins,jenkins,1
83,flub78/jenkins,jenkins,1
84,flungo/jenkins-plus,jenkins,1
85,frapsoft/jenkins-docker,jenkins,1
86,fusionworks/jenkins,jenkins,1
87,geezyx/jenkins-rancher-compose,jenkins,1
88,geovanasouza/jenkins,jenkins,1
89,glefevre/citower,jenkins,1
90,gravityplatform/jenkins,jenkins,1
91,hanggard/jenkins_docker,jenkins,1
92,hearstat/jenkins,jenkins,1
93,henryyue/jenkins-php-docker,jenkins,1
94,hirenj/docker-jenkins,jenkins,1
95,hoangthienan/jenkins-php-docker,jenkins,1
96,huksley/jenkins,jenkins,1
97,iamluc/jenkins-php,jenkins,1
98,ianhinder/jenkins-einsteintoolkit,jenkins,1
99,icereed/jenkins4jw,jenkins,1
100,ictu/jenkins,jenkins,1
101,ifbaeunapolis/simulados,jenkins,1
102,imit/jenkins,jenkins,1
103,ineva/jenkins-dood,jenkins,1
104,infrascloudy/jenkins,jenkins,1
105,iteratechh/ansibleci,jenkins,1
106,jackhu/jenkins-master-privileged,jenkins,1
107,jareddlc/jenkins-with-docker-socket,jenkins,1
108,jcmwright80/wright-jenkins,jenkins,1
109,jeffchan/rootjenkins,jenkins,1
110,jeffutter/jenkins-docker,jenkins,1
111,jerry153fish/jenkins-karma,jenkins,1
112,jesusperales/jenkinswithchrome,jenkins,1
113,jlarriba/kube-ciserver,jenkins,1
114,jmargut/adop-jenkins,jenkins,1
115,joeyliu616/jenkins,jenkins,1
116,jofurst/jenkins-for-volumes-docker,jenkins,1
117,johannessteu/deployment,jenkins,1
118,johannesw/jenkins-docker-cli,jenkins,1
119,johnwu/docker-jenkins,jenkins,1
120,jpointsman/jenkins-for-jhipster,jenkins,1
121,jtbcgdv/jenkins-leader,jenkins,1
122,jtechnologies/continuousdelivery-jenkins,jenkins,1
123,judoole/docker-jenkins,jenkins,1
124,judoole/jenkins,jenkins,1
125,kaigara/jenkins,jenkins,1
126,kaikuo/jenkins-gcc,jenkins,1
127,keefa/jenkmkdc,jenkins,1
128,kevinprince/docker-jenkins,jenkins,1
129,kfmaster/jenkins,jenkins,1
130,khipu/jenkins,jenkins,1
131,kidscannongames/jenkins,jenkins,1
132,lastcallmedia/docker-jenkins,jenkins,1
133,lbeschastny/jenkins-build-essential,jenkins,1
134,leetmo/jenkins,jenkins,1
135,lemonrains/jenkins,jenkins,1
136,leward/custom-jenkins,jenkins,1
137,liang123/jenkins-php,jenkins,1
138,limingxinleo/jenkins-php-docker,jenkins,1
139,lindeboomio/jenkins,jenkins,1
140,linuxmaniac/jenkins-debian-glue-docker,jenkins,1
141,logimethods/jenkins,jenkins,1
142,lordalbior/jenkinsdocker,jenkins,1
143,lotosbin/android-jenkins-docker,jenkins,1
144,lotosbin/docker-jenkins-android-react-native,jenkins,1
145,lukasweibel/jenkins,jenkins,1
146,lukelast/jenkins-master,jenkins,1
147,lvlds/jenkins-nginx,jenkins,1
148,manee2k6/jenkins-docker,jenkins,1
149,manycoding/jenkins-python,jenkins,1
150,marechal/dhs,jenkins,1
151,marsmike/pharo-jenkins,jenkins,1
152,marvambass/jenkins-docker,jenkins,1
153,mastermindg/jenkins-mesos,jenkins,1
154,mchelen/docker-jenkins-php-minimal,jenkins,1
155,merapar/jenkins-container,jenkins,1
156,michaelsevilla/jenkins,jenkins,1
157,michelesr/jenkins,jenkins,1
158,mihailivanov/adop-jenkins,jenkins,1
159,mikedougherty/docker-jenkins-master,jenkins,1
160,minotaurinc/jenkins,jenkins,1
161,mirkohaaser/docker-jenkins,jenkins,1
162,misfit/jenkins,jenkins,1
163,mizunashi/jenkins,jenkins,1
164,mjvdende/jenkins-protractor-chrome,jenkins,1
165,mleo/jenkins-docker,jenkins,1
166,mmerrick/jenkins,jenkins,1
167,modenaf360/jenkins-dind,jenkins,1
168,monkeypatch/docker-jenkins,jenkins,1
169,morgantatkins/jenkins2,jenkins,1
170,mrduguo/public,jenkins,1
171,mrsheepuk/jenkins-docker,jenkins,1
172,msorg/ippon_jenkinsaws,jenkins,1
173,multimediabs/jenkins_ansible,jenkins,1
174,nemanjan00/jenkins,jenkins,1
