,imagefrom,imageto1,imageto2
0,balaclavalab/jolokia,jetty,1
1,bishof/libresonic-alpine,jetty,1
2,breizhcamp/callforpapers,jetty,1
3,ccaamm/passfault,jetty,1
4,cpilsworth/java-ssl,jetty,1
5,ebonharme/images,jetty,1
6,felix/plantuml-server,jetty,1
7,flhosp/mitreid,jetty,1
8,flores314/jetty-pwm,jetty,1
9,flores314/shibboleth-idp-v3,jetty,1
10,g8tor/webprotege-alpine,jetty,1
11,happywhaler/simplewebapp,jetty,1
12,iide/etf-webapp,jetty,1
13,inspectit/jetty,jetty,1
14,irfann/docker-jetty-spice,jetty,1
15,loubilk/helenos,jetty,1
16,lyrasis/blazegraph,jetty,1
17,lyrasis/fcrepo,jetty,1
18,manorrock/git-repos,jetty,1
19,manorrock/issues-webapp,jetty,1
20,mcp87/jetty-z3,jetty,1
21,metabrainz/search-server,jetty,1
22,miheir/blazegraph152,jetty,1
23,mroh/chess-tourney-broadcaster,jetty,1
24,mrovnanik/jetty,jetty,1
25,ndrouin/nlpf-tp2,jetty,1
26,ndslabs/fedora-commons,jetty,1
27,nikfoundas/etcd-viewer,jetty,1
28,noodle05/pwm,jetty,1
29,obiba/onyx-demo,jetty,1
30,oosidat/docker-blazegraph,jetty,1
31,opendashboards/od-shindig-docker,jetty,1
32,opennms/oca-check,jetty,1
33,riggoh/jetty-alpine-rds,jetty,1
34,smallstack/jetty-s3war,jetty,1
35,sonecabr/alpine-jetty,jetty,1
36,tarent/jetty-alpine-j2v8,jetty,1
37,vasanth/kabali-dynamic,jetty,1
38,veovis/jolokia,jetty,1
39,vismart/digilib,jetty,1
