,imagefrom,imageto1,imageto2
0,caduvieira/plonegovbridg,plone,1
1,digitalagendadata/scoreboard.plone,plone,1
2,eeacms/daviz,plone,1
3,eeacms/kgs,plone,1
4,eeacms/plone-test,plone,1
5,unixelias/plone.idg,plone,1
6,digitalagendadata/scoreboard.plone.devel,digitalagendadata/scoreboard.plone,1
7,digitalagendadata/scoreboard.plone.staging,digitalagendadata/scoreboard.plone,1
8,eeacms/eea.docker.plone-climateadapt,eeacms/kgs,1
9,eeacms/eea.docker.plone.bise,eeacms/kgs,1
10,eeacms/kgs-devel,eeacms/kgs,1
11,eeacms/plone-copernicus-insitu,eeacms/kgs,1
12,eeacms/plone-copernicus-land,eeacms/kgs,1
13,eeacms/plone-emrt,eeacms/kgs,1
14,eeacms/plone-emrt-necd,eeacms/kgs,1
15,eeacms/plone-wise,eeacms/kgs,1
16,eeacms/www,eeacms/kgs,1
17,ipetchesi/eea.docker.plone-climateadapt,eeacms/kgs,1
18,ipetchesi/eea.docker.plone.bise,eeacms/kgs,1
19,eeacms/plone-eni-seis,eeacms/kgs-devel,1
20,eeacms/plone-esdrt,eeacms/kgs-devel,1
21,eeacms/www-devel,eeacms/www,1
