,imagefrom,imageto1,imageto2
0,aggronerd/docker-registry,registry,1
1,allingeek/registry,registry,1
2,anarcher/docker-registry,registry,1
3,andthensome/registry-swift,registry,1
4,awellis13/commander-registry,registry,1
5,bacongobbler/registry-swift,registry,1
6,bentozny/docker-registry,registry,1
7,bjoernheneka/dockerregistry-cleanup,registry,1
8,coco/coco-registry-up,registry,1
9,crashvb/registry,registry,1
10,crowleyio/registry-grsec,registry,1
11,ct2034/unsave_registry,registry,1
12,devsli/cifs-registry,registry,1
13,elasticio/docker-registry-ecs,registry,1
14,ephemeral972/docker-registry-s3,registry,1
15,ephemeral972/s3-registry,registry,1
16,hdpe/docker-registry-manifest-cleanup-companion,registry,1
17,hideyuki/my-docker-v2-registry-server,registry,1
18,home1oss/pull-through-cache,registry,1
19,hwchiu/self-signed-docker-registry,registry,1
20,innovate/docker-registry-os-swift,registry,1
21,josephpage/registry-runabove,registry,1
22,lazyfrosch/registry-cleanup,registry,1
23,mercury/hgi-docker-registry,registry,1
24,meyskens/docker-registry-os-swift,registry,1
25,mikesplain/registry,registry,1
26,nouchka/registry,registry,1
27,nownabe/idcf-registry,registry,1
28,openshift/simple-authenticated-registry,registry,1
29,pallet/registry-swift,registry,1
30,philwinder/dockercache,registry,1
31,q2pus/registry,registry,1
32,ricardobranco/clean_registry,registry,1
33,roberto/private-registry,registry,1
34,rpsingh/secure-docker-registry,registry,1
35,sigma/vmw-registry,registry,1
36,skippy/private-registry,registry,1
37,svendowideit/registry-mirror,registry,1
38,thatsmrtalbot/docker-registry-proxy,registry,1
39,thefitz/universe-base,registry,1
40,thumbtack/docker-registry,registry,1
41,toshisandbox/registry-docker,registry,1
42,tozny/docker-registry,registry,1
43,wonderlic/docker-private-registry-etcd,registry,1
44,wrapp/registry,registry,1
45,xrowgmbh/registry,registry,1
46,yammer/registry-azure,registry,1
