,imagefrom,imageto1,imageto2
0,allenday/frameshift,solr,1
1,amazeeio/solr,solr,1
2,chatpal/search-standalone,solr,1
3,ckan/solr,solr,1
4,comses/solr,solr,1
5,cottagelabs/solr,solr,1
6,datagov/catalog-solr,solr,1
7,datosgobar/portal-andino-solr,solr,1
8,dudash/openshift-solr,solr,1
9,dumclibrary/medspace-solr,solr,1
10,earthquakesan/ckan-solr,solr,1
11,elcom/solr,solr,1
12,elcom/solr-drupal,solr,1
13,fairdom/seek-solr,solr,1
14,groovycarrot/drupal-solr,solr,1
15,hunnordict/solr-cores,solr,1
16,hybox/solr-ecs,solr,1
17,iucn/ecolex_solr,solr,1
18,jamiejackson/solr5-dih-dyn-pwd,solr,1
19,lmmdock/dovecot-solr,solr,1
20,marklee77/solr-dovecot,solr,1
21,melkamar/solr-indexer,solr,1
22,miraclecloud/goo.solr,solr,1
23,mparker17/solr-apachesolr,solr,1
24,mparker17/solr-search-api-solr,solr,1
25,noterik/insync-solr,solr,1
26,oconnormi/ddf-solr-external,solr,1
27,osul/solr,solr,1
28,paywith/solr,solr,1
29,ruhmesmeile/ext-solr,solr,1
30,sbeam/sunspot-solr,solr,1
31,scient/solr,solr,1
32,slidewiki/solr,solr,1
33,ten7/flight-deck-solr,solr,1
34,toccoag/openshift-solr,solr,1
35,tradesparq/solr,solr,1
36,typo3solr/ext-solr,solr,1
37,ukwa/webarchive-collections-solr,solr,1
38,ukwa/webarchive-discovery-solr,solr,1
39,virtualflybrain/docker-vfb-solr,solr,1
40,wildscreen/solr,solr,1
41,yagajs/solr,solr,1
