,imagefrom,imageto1,imageto2
0,accenture/adop-sonar,sonarqube,1
1,aiwin/sonarqube-plugins,sonarqube,1
2,amesken/sonarqube,sonarqube,1
3,bahatelos/adop-sonar,sonarqube,1
4,birlibirloque/sonar-sde,sonarqube,1
5,ciandtsoftware/sonar,sonarqube,1
6,cirepo/sonarqube,sonarqube,1
7,compartia/ktadvance-h2-empty-sq,sonarqube,1
8,csaa/sonar,sonarqube,1
9,datoga/sonarqubecxxplugin,sonarqube,1
10,defreitas/sonarqube,sonarqube,1
11,dolphintwo/sonarqube-cn,sonarqube,1
12,fabianhauser/sonarqube-angular,sonarqube,1
13,flusso/drove-sonarqube,sonarqube,1
14,flypenguin/sonarqube,sonarqube,1
15,hellgate75/ansible-machines,sonarqube,1
16,ictu/sonar,sonarqube,1
17,kestreltechnology/ktadvance-h2-empty-sq,sonarqube,1
18,leadware/sonarqube,sonarqube,1
19,luisgros/sonarqube,sonarqube,1
20,mbirkner/docker-sonarqube-qualityprofiles,sonarqube,1
21,mmcgarr/adop-sonar,sonarqube,1
22,pp2l/sonarqube,sonarqube,1
23,prathnam/kumarcode,sonarqube,1
24,primetoninc/sonar,sonarqube,1
25,qaprosoft/sonarqube,sonarqube,1
26,rebelthor/sonarqube-bitbucket,sonarqube,1
27,recuencojones/sonarqube-docker-setup,sonarqube,1
28,sasol/betelgeuse-devcenter-sonar,sonarqube,1
29,scandio/sonarsource-sonarqube,sonarqube,1
30,sdase/sonarqube-base-image,sonarqube,1
31,softwarecraftsmen/sonarqube-server,sonarqube,1
32,stefanreuter/sonarqube,sonarqube,1
33,supremotribunalfederal/sonarqube,sonarqube,1
34,techinline/images,sonarqube,1
35,thanadmaqecom/sonarqube-php,sonarqube,1
36,vast0906/sonarqube_zh,sonarqube,1
37,willemvd/sonarqube-unprivileged,sonarqube,1
38,wisecity/sonarqube,sonarqube,1
39,wizbii/docker-sonar,sonarqube,1
40,zbozzo/docker-sonarqube-gitlab,sonarqube,1
