,imagefrom,imageto1,imageto2
0,alexkomrakov/datamagic-telegraf,telegraf,1
1,atomney/telegraf,telegraf,1
2,benningm/telegraf-netatmo,telegraf,1
3,brimstone/telegraf,telegraf,1
4,coyoapp/coyo-ee-telegraf,telegraf,1
5,dfy3yuposfwigf5/telegraf-dfy3yuposfwigf5,telegraf,1
6,diceone/telegraf,telegraf,1
7,flowguard/telegraf,telegraf,1
8,jacobtomlinson/telegraf-gamedig,telegraf,1
9,macheins/telegraf,telegraf,1
10,matisq/telegraf,telegraf,1
11,mckaynz/telegraf,telegraf,1
12,mezz64/telegraf-docker,telegraf,1
13,mikroways/telegraf-rancher,telegraf,1
14,morleydev/socket-telegraf,telegraf,1
15,nightech/telegraf,telegraf,1
16,nuntz/telegraf-snmp,telegraf,1
17,palp/telegraf,telegraf,1
18,perdy/barrenero-telegraf,telegraf,1
19,pinked/docker-telegraf-docker,telegraf,1
20,pinked/docker-telegraf-mqtt,telegraf,1
21,pockost/telegraf-rancher,telegraf,1
22,sebastianosuna/statsd-telegraf,telegraf,1
23,shelbert/jolokia-to-influxdb,telegraf,1
24,slother/telegraf-snmp,telegraf,1
25,thuandt/telegraf,telegraf,1
26,vpgrp/telegraf,telegraf,1
27,webofmars/bleemeo-telegraf,telegraf,1
28,yezersky/telegraf-snmp,telegraf,1
29,zisk/telegraf-extra,telegraf,1
30,prdonut2k7/telegraf-snmp-unifi,nuntz/telegraf-snmp,1
