source,target
alexlukichev/cassandra,cassandra
aluxian/cassandra-svc,cassandra
argussecurity/cassandra-prometheus,cassandra
argussecurity/cassandra2s3,cassandra
arhea/cassandra,cassandra
audris/cassandra,cassandra
benchflow/cassandra,cassandra
benjah1/cassandra-cluster,cassandra
bholt/cassandra,cassandra
centerforopenscience/cassandra,cassandra
cihatgenc/cassandra_executor,cassandra
crobox/cassandra,cassandra
dawidnowak/spark-cassandra,cassandra
dirceu/docker-cassandra-migration-applier,cassandra
fourstacks/cassandra,cassandra
giovannipaologibilisco/cassandraserver,cassandra
hawkular/apm-example-polyglot-zipkin-cassandra,cassandra
hawkularqe/cassandra,cassandra
it4poster/cassandra_weather_app,cassandra
jnummelin/weave-cassandra,cassandra
kashcorp/min_cassandra,cassandra
monostream/cassandra,cassandra
nohhyun/cassandra,cassandra
novembereleven/cassandra,cassandra
objectpartners/rancher-cassandra,cassandra
palantirtechnologies/docker-cassandra-atlasdb,cassandra
pbesson/jhipster-cassandra-migration,cassandra
reactivehub/cassandra,cassandra
rebyn/cassandra,cassandra
revinate/cassandra-lucene,cassandra
risdenk/ycsb-testing,cassandra
ryanwalls/cassandra-prometheus,cassandra
sharkcell/cassandra-stratio-lucene,cassandra
someonesgarden/cassandra_cluster,cassandra
talberto/cassandra-lucene-index,cassandra
thingswise/cassandra,cassandra
thinkin/cassandra,cassandra
tonnerre/cassandra,cassandra
vcoelho1994/docker-cassandra-reddit-populating,cassandra
vegah/cassandra_swarm,cassandra
webscam/cassandra,cassandra
xiao345/cassandra-stratio-lucene,cassandra
