source,target
ai212983/lein-doo-karma,clojure
akiel/lens-auth,clojure
akiel/lens-clojure,clojure
akiel/lens-ws-cmd,clojure
akiel/takelist,clojure
asciinema/asciicast2gif,clojure
asciinema/asciinema-server,clojure
asmundg/oilbot-clj,clojure
ayato/clojure-for-wercker,clojure
beetleman/scene,clojure
botique/duckling-rest,clojure
boundlessgeo/spatialconnect-server,clojure
chetbox/correo,clojure
christianberg/speicherstadt-chunks-fs,clojure
cjohansen/datomic-rest,clojure
cmeter/clojure-phantomjs,clojure
coventry/anglican-docker,clojure
crossref/event-data-agents,clojure
crossref/event-data-docker-base-build,clojure
crossref/event-data-event-bus-build,clojure
crossref/event-data-evidence-log-snapshot,clojure
crossref/event-data-evidence-logger-build,clojure
crossref/event-data-investigator,clojure
crossref/event-data-live-demo-build,clojure
crossref/event-data-percolator-build,clojure
crossref/event-data-reports-build,clojure
crossref/event-data-twitter-compliance-logger-build,clojure
crossref/event-data-twitter-compliance-patcher-build,clojure
crossref/labs-3d-points,clojure
crossref/web-visitor,clojure
cumi/asciicast2gif,clojure
dcent/coracle,clojure
deepimpact/jessie-lein-awscli-docker,clojure
dmohs/clojurescript,clojure
egiraffe/docker-datomic-pro,clojure
emblica/dagger,clojure
emblica/halti-server,clojure
ericdallo/lein-sass,clojure
fierceventures/mcclane,clojure
finnyapp/finny-api,clojure
flowofcontrol/photon,clojure
frericksm/docker-datomic-peer-server,clojure
gardnervickers/dns-metrics,clojure
gardnervickers/lein-cache-resource,clojure
gavinkflam/tabula-api,clojure
gigabytedx/blacksales,clojure
gigabytedx/kaiden-player,clojure
gigabytedx/kaidens-caravans,clojure
heliosmaster/franz,clojure
hhucn/discuss,clojure
ignorabilis/sport-ui,clojure
ivanyaroslavov/nerd,clojure
jasl8r/gdesciencefair,clojure
jc2k/pithos,clojure
jgranstrom/duckling-rest,clojure
joeldart/location-service,clojure
jontem/lunch-parser,clojure
larslevie/markov-elear,clojure
librariesio/clojars-json,clojure
metosin/circle-lein,clojure
migrantnewsfilter/twitter,clojure
mrcnc/signal-nginx-config,clojure
mroerni/dbas-eauth,clojure
mroerni/dbas-fb-hook,clojure
mroerni/fake-sensors,clojure
neuralworks/desolate-hollows,clojure
nicl/clojure-ring,clojure
olessavluk/httpkit-ssl-issue,clojure
olivergeorge/lein-headless,clojure
optimeal/luminus,clojure
palfrey/herder,clojure
panenka76/cljs-lambda-build,clojure
phaetec/pogo-cruncher,clojure
pointslope/clojure,clojure
pointslope/datomic-console,clojure
pointslope/datomic-pro-starter,clojure
prepor/chronojob,clojure
profitware/tpg-web,clojure
pyrexia/pyrexia,clojure
qualified/clojure,clojure
rainist/kubeletter,clojure
renewdoit/clojurescript-build,clojure
reviewninja/slack-hooks,clojure
riemannio/riemann,clojure
salessystem/account-dashboard,clojure
santilh/clojure,clojure
schnipseljagd/promdash-annotation-server,clojure
shefmichelle/hack2015_clojureimage,clojure
siscia/ema,clojure
spiffytech/clojure-drip,clojure
theikkila/jokelan-chatlogin,clojure
thosmos/riverdb-graphql,clojure
tiagoloureiro/pithos,clojure
vneio/monitor,clojure
vneio/nerd,clojure
wilfred/solo-wiki,clojure
akiel/lens-sds-batch,akiel/lens-clojure
crossref/event-data-query-build,crossref/event-data-docker-base-build
ericdallo/gregflix,ericdallo/lein-sass
gbtmago/mmosg,pointslope/datomic-pro-starter
joshuanjordan/datomic-mait,pointslope/datomic-pro-starter
