source,target
apnarm/mksslcrt,crux
crux/base,crux
crux/dind,crux
prologic/mosquitto,crux
prologic/redis-cli,crux
romster/crux-base,crux
shinsterneck/docker-crux31,crux
crux/bitlbee,crux/base
crux/go,crux/base
crux/gtk,crux/base
crux/iso,crux/base
crux/python,crux/base
circuits/circuits,crux/python
crux/devpi,crux/python
crux/xchat,crux/gtk
prologic/autodock-autoscale,crux/python
prologic/charla,crux/python
prologic/circuits,crux/python
prologic/hipachectl,crux/python
prologic/ircnotifier,crux/python
prologic/kdb,crux/python
