source,target
abenevaut/ci,docker
aberrios85/drone-kitchen,docker
acejam/docker-ssh,docker
ackermann/docker-npm,docker
adarnimrod/docker-clean,docker
adilsoncarvalho/gcp-ci,docker
adzdavies/docker_and_awseb_and_awscli,docker
akinobuxtani/ci-build-with-fabric,docker
alexeiled/buildbox,docker
alexhayton/docker-with-npm,docker
amaysim/dind-utils,docker
andrewrjones/docker-git-curl,docker
anozaki/runway,docker
anthonyneto/chef-solo,docker
appcelerator/dind,docker
assaflavie/runlike,docker
avthart/consul-template,docker
azukiapp/docker-compose,docker
azukiapp/docker-kubernetes-ci,docker
balash/gcloud-kubectl-docker,docker
bardcreate/bard_deployer,docker
baseboxorg/docker-lite,docker
battlestarvariablica/proxy,docker
benkoller/dind-kubectl,docker
benkoller/dind-terraform,docker
bestmike007/weave-daemon,docker
bezrukovp/docker-rancher-compose,docker
bicollect/docker-gcloud,docker
bobjamin/hexagon-agent,docker
boomtownroi/docker-clean,docker
bootswithdefer/docker-compose,docker
boro/rancher-reset-host-ip,docker
brzhk/jenkins-dind-jnlp-slave,docker
bsauer/dind,docker
calico/dind,docker
calico/test,docker
callstats/docker-with-bash,docker
camper83/jenkins-slave-with-docker-compose,docker
campspot/campspot-docker-in-docker,docker
canopytax/dind,docker
cardinalblue/docker-compose-image,docker
cbrooks/docker-git,docker
cedricziel/docker-docker-extras,docker
centricmind/builderbase,docker
chookas/docker-with-aws-cli,docker
chrmarti/azure-cli-jumpbox,docker
clayferris/did-dcos-aws,docker
clutteredcode/dind-compose,docker
cnjamesqin/docker-gotty,docker
codexsystems/gitlab-builder,docker
concreteplatform/deploy,docker
containerize/docker-cli,docker
creased/docker-dind,docker
creased/gitlab-ci-base,docker
creatiweb/ci-toolbox,docker
creatubbles/docker-convox,docker
cuckoohello/docker,docker
cytechmobile/mvnawsdocker,docker
d0whc3r/docker,docker
danielguerra/docker-dind-sshd,docker
dannyben/docker-git-compose,docker
datacom/docker-ecr,docker
datagov/catalog-scheduler,docker
davedamoon/weave-ip-attacher-init-container,docker
davesilva/docker-experimental,docker
dduportal/docker-java-with-docker-client,docker
deanrather/docker-docker-node-git-bash,docker
deifwpt/docker,docker
delariva/rancher-cli,docker
derekamz/docker,docker
dermatthes/docker-build,docker
deweysasser/docker-login,docker
diadzine/docker-compose,docker
dialogexe/docker-builder,docker
diverse/docker-compose,docker
diverse/docker-compose-aws,docker
dividab/scheduled-docker-system-prune,docker
djbingham/docker-compose,docker
dnljst/rocketpanel-updater,docker
dockage/docker,docker
dosxvpn/strongswan-updater,docker
driebit/docker-and-compose,docker
driftrock/gke-deployer,docker
drkloc/dind-compose,docker
droptica/autokill,docker
drupalwxt/gitlab-ci,docker
dtslabs/kubernetes-tools,docker
eanekrasov/yii2-test-environment,docker
eeacms/rancher-clairscanner,docker
efrecon/machinery,docker
ekreative/docker-and-compose,docker
ekreative/kubectl,docker
electrotumbao/docker-curl,docker
ericsmalling/jenkins-executor,docker
ericsmalling/jenkins-with-docker,docker
erikns/dind-make,docker
euranova/dind-ruby-bash-git,docker
evilmind/alpine-maven-docker,docker
faithlife/cloud-sdk-docker,docker
faithlife/google-cloud-sdk,docker
fastbrainx/docker,docker
fermayo/inspect,docker
fethican/docker,docker
fgimenez/ocaml-travis-runner,docker
filo/docker2singularity,docker
fishead/docker-node,docker
flashstock/docker,docker
flaviostutz/docker-janitor,docker
flemay/musketeers,docker
fleshgrinder/docker-buildpack,docker
flusso/docker-jenkins-slave-dind,docker
flyinprogrammer/serverspec,docker
franela/dind,docker
frdlr/k8s-pricing,docker
frebib/builder,docker
frigg/frigg-test-dind,docker
full360/docker-ci,docker
gammacrux/hexagon-agent,docker
geourjoa/docker-myspectacle,docker
getapp/rancher-reset-host-ip,docker
gianarb/jenkins,docker
goodplay/goodplay,docker
google/cloud-sdk,docker
goshkob/docker-rancher-compose,docker
greensheep/dind-node,docker
gremlin961/notary_container,docker
gruen/observr,docker
guigo2k/bud-builder,docker
guss77/dind-awscli,docker
gutenye/docker,docker
gzm55/testing-ansible-role,docker
hagaico/base-kamino,docker
hairco/oldhairco-copydb-containerize,docker
hakandilek/docker-cloud-cli,docker
handsome0710/docker-awscli,docker
harehare1110/git-lfs-alpine,docker
hedventures/jenkins-swarm-agent,docker
helderfarias/docker,docker
hellomd/kube-ci,docker
henres/docker-compose-bash,docker
henridwyer/docker-compose,docker
hochzehn/alexa-domain-writer,docker
horgix/docker-make,docker
huanteng/gobuild,docker
huksley/docker-java-build,docker
hydria/indockeraws,docker
hypnoglow/ci-helm-kit,docker
iavael/dockerbomb,docker
ictu/bigboat-agent-compose,docker
ictu/dashboard-agent,docker
igloo/build-tools,docker
igloo/docker-bash,docker
igoro/build-in-docker,docker
igoro/dind,docker
illagrenan/awscli-docker,docker
imemento/docker-kops,docker
imriz/dind-git-java,docker
interlegis/rancher-reset-host-ip,docker
intimatemerger/ecs-cli,docker
irespaldiza/composeinsidealpine,docker
irespaldiza/walrus-alpine,docker
itsziget/docron,docker
iyehuda/containerize,docker
izonder/prune,docker
jaohaohsuan/bootkube-render,docker
jcaptain/docker,docker
jch254/dind-terraform-aws,docker
jerob/docker-dind,docker
jeroenknoops/docker-docker-dind-bash,docker
johnfonner/docker2singularity,docker
jonaskello/docker-and-compose,docker
jonathanmorley/runlike,docker
jonywtf/alpinedockerprove,docker
jpettit/circleci-image-statusy,docker
jturcino/abaco-d2s-agave,docker
jturcino/abaco-d2s-generic,docker
juhl/shepherd,docker
julusian/docker,docker
juniperps/docker-dind,docker
juranki/aws-docker,docker
kaktuss/letsencrypt-simp_le-auto,docker
kappabull/swarm-worker,docker
kappabull/vpn-swarm-worker,docker
karcaw/dind,docker
karser/docker-compose-ci,docker
kasbohm/docker2singularity-tsd,docker
kenney/compose-alpine,docker
kenney/vagrant-alpine,docker
keung/dnjs,docker
kinoulink/docker,docker
kiwicom/dgoss,docker
kiwicom/docker-cron,docker
kolaente/video-decode,docker
kremlinkev/docker-packer-docker,docker
kurochan/docker-git-awscli,docker
kurrestahlberg/docker-aws-docker,docker
kyero/umbrella,docker
kylegferg/gcloud,docker
kyletru/container-structure-test,docker
layeredinsight/dockerjob,docker
ledermann/shepherd,docker
leevh/docker-git,docker
leighton/ecs-deploy,docker
leprechaun/dind-build,docker
ligser/gocd-agent-docker-dind,docker
limaofeng/gradle-alpine,docker
limaofeng/kubernetes-deploy,docker
linioit/docker-and-compose,docker
linl33/db-bootstrap,docker
liske/docker-prune,docker
logankoester/docker-compose,docker
lordgaav/dind-options,docker
lpouzac/packer-gitlab,docker
lthub/kubernetes-deploy,docker
marcuswelz/gitlabci-docker-git-gcloud,docker
markcial/yacht,docker
masstroy/alpine-docker-java-maven,docker
mastermindg/dcos-jenkins-dind-agent,docker
mausch/docker-cleanup-images,docker
mazzolino/shepherd,docker
mbilenkofinsight/docker-dind-background,docker
mediafactory/live-proxy,docker
mediatemple/easy-docker-vpn,docker
melopt/docker-tiny-builder,docker
meteogroup/docker-dev,docker
meuhmeuhconcept/docker-git-php-npm,docker
michalpodeszwa/docker-compose,docker
micwy/docker-in-docker,docker
mihas/docker-in-docker-with-docker-compose,docker
milenkovicm/jenkins-dind,docker
minienv/minienv-provisioner,docker
minimum/cepave-dev,docker
misostc/docker-machine,docker
mitelone/packer-docker-client,docker
mlaccetti/docker-bash,docker
mminks/dind-aech,docker
mmucklo/docker-compose,docker
mofe/docker-without-entrypoint,docker
mortimmer/docker-compose-image,docker
mothershipone/docker-aws-cli,docker
mozgiii/docker-with-socat,docker
mupxq/dind,docker
mvisonneau/aws-toolkit,docker
neclimdul/dind,docker
neoskop/mysql-restore,docker
nerdwaller/buildr,docker
netresearch/dcind,docker
newbieguide/docker_ansible,docker
nhsdigital/docker-startup-cis,docker
nidsg/ci-image,docker
nileshmali/jenkins-swarm,docker
nishidayuya/vagrant-docker-provider,docker
nobotgames/puller,docker
noriaas/jenkins,docker
nukapi/dind_machine,docker
nusnewob/docker-bin,docker
nyoroon/docker-plus-compose,docker
odinushuaia/docker-dind,docker
oelite/buildbot-slave,docker
okamos/docker-ecs,docker
ollaapp/docker-sbt,docker
openneuro/bids-app-host,docker
openrov/resin-preload-image-script,docker
outrigger/gitlab-ci-workspace,docker
ovalmoney/ci-build,docker
overdrivr/gitlabci-docker-git-gcloud,docker
parafuzo/pfz-docker-gcloud,docker
parchment/docker-git-builder,docker
patwhite/gitlab-sbt,docker
pdbs/docker-service-exec,docker
personalife/alpine-docker-aws,docker
personalife/docker-testcafe-node,docker
pindar/gcloud-kubectl-docker,docker
pinked/docker-flow-lets-encrypt-godaddy,docker
pmkr/ned-build-image,docker
poldracklab/bids-app-host,docker
portable/circleci-symfony-docker-builder,docker
possibilities/image-builder,docker
projectwave/docker-compose,docker
prooph/ansible-aws-cli,docker
pyranja/docker-ci,docker
qualityhub/docker-compose-machine,docker
qualityhub/docker-java,docker
qvga/list-containers,docker
radioking/docker-awscli,docker
rainforestapp/docker-aws-cli,docker
ramiro/docker-compose,docker
ravaj/farmer-jenkins-slave,docker
rawkode/docker-dind-gcloud,docker
rcaught/docker-with-cloud-sdk,docker
rebasehelper/gitlab-ci,docker
rebelplutonium/middle,docker
rebelplutonium/outer,docker
renaultdigital/gitlab-runner-base,docker
renewdoit/docker-alpine-java,docker
repworth/bamboo_agent-dind,docker
rfhayashi/lein,docker
rhyswt/docker-compose,docker
riberaproject/userdata,docker
rickcrook/docker-git-mvn,docker
riyasdeen/docker-swarm-redeploy,docker
romcheck/docker-compose-golang,docker
rommelag/dind-docker-machine-compose,docker
rovecom/s2i,docker
rubyapps/molecule,docker
rvip/runner,docker
sasol/dind4j,docker
saulshanabrook/dind-isolated,docker
saulshanabrook/docker-compose,docker
schrodit/drone-docker-deploy,docker
scuttlebyte/docker-gitlab-ci,docker
semionpar/did-dc-java,docker
serverlesscloud/dind,docker
servivum/docker-system-prune,docker
shellicar/alpine-inside,docker
shipito/chef-kitchen,docker
shuliyey/docker-image-prune,docker
shuliyey/gitlab-ci-dapper,docker
shuliyey/gitlab-ci-docker,docker
shuliyey/gitlab-ci-rancher-cli,docker
siimeon/dockercomposegitlabci,docker
singularityware/docker2singularity,docker
skame/docker-compose,docker
skn0tt/dind-make,docker
skogie/dind-daemon,docker
skullydazed/docker-system-prune,docker
slashbunny/docker-ci,docker
slope/jenkins-slave,docker
smarterdm/dind-aws,docker
softonic/compose-project-is-up,docker
softonic/docker-system-prune,docker
softonic/jenkins-swarm-agent,docker
softonic/stack-is-up,docker
softwarecraftsmen/jenkins-swarm-agent,docker
solecon/pypeline-ci,docker
sonicsnes/jenkins-docker-slave,docker
sotic/dind,docker
soxhub/docker-ci,docker
soxueren/docker,docker
soyooz/gitlab-ci-base-runner,docker
sphd/docker-system-prune,docker
sproutling/jenkins-dind-agent,docker
sstine93/dind-options,docker
stakater/pipeline-tools,docker
stake/docker-awscli,docker
starofall/sbt-docker,docker
stefanotorresi/docker-compose,docker
stevencooney/docker-test,docker
steveshary/dind-java,docker
steveshary/dind-node,docker
subak/cron,docker
subfuzion/dind,docker
sudermanjr/clairctl,docker
sungardas/aws-cfn-bootstrap,docker
superfunnel/docker-in-docker,docker
sushifu/gitlab-dind-runner,docker
swingdevelopment/swg-tao-builder,docker
swoldanski/shepherd,docker
sylus/gitlab-ci,docker
sylvainleroy/byoskill-circleci,docker
syseleven/dind,docker
szczygielskid/docker-powerfull,docker
tadamo/dind-runner,docker
taetl/docker,docker
tagip/docker-elixir-build,docker
tagip/rancher-cli,docker
tagview/docker,docker
taig/deployment,docker
tailordev/docker,docker
takawang/dind,docker
targetprocess/docker-compose,docker
tdeconin/gitlab-runner-image,docker
teamkbx/docker-and-compose,docker
technologyadvice/node-build,docker
telor/gcloud-kubectl-docker,docker
tendadigital/tenda-gcloud,docker
thalia/docker-compose,docker
thedodd/docker,docker
therealbeefcake/cli-docker,docker
therightplace/docker-gc,docker
theyorkshiredev/docker-bootstrap,docker
