source,target
1pixel/httpd-fcgi,httpd
25thfloor/awstats-multisite-summary,httpd
5pecia1/ir,httpd
accso/docker-apache-markdown,httpd
adityai/dashboards,httpd
aintohvri/docker-httpd,httpd
aksw/dld-present-snorql,httpd
akulinsk/haproxy-lb-to-apache,httpd
alessandrovito/httpd-with-curl,httpd
alextu/wodocker,httpd
alunys/memento-front,httpd
alvistack/httpd,httpd
annpin/rails-tutor,httpd
appliedis/ogc-preview,httpd
artemas/pictopage,httpd
asealey/splunk-ta-akamaidocker,httpd
askomics/rdfsurveyor,httpd
beatboxjs/angular-beatbox,httpd
belcha/aliciapp,httpd
benfortuna/tzurl,httpd
bertvannuffelen/linkeddatacontentnegotation,httpd
bertvannuffelen/vodap-dcatap-validation,httpd
bestitdocker/dps-apache,httpd
bibbox/galaksio,httpd
bibbox/galaxy-galaksio,httpd
bibbox/irods-cloudbrowser,httpd
bintjes/httpd-php5-java8,httpd
boomworks/docker-aws-deploy-test,httpd
buzzardev/httpd,httpd
cassj/osticket-docker,httpd
catchdigital/apache,httpd
chaseconey/htaccess-tester,httpd
chewies/reminder,httpd
chrismillah/0001_besentient_2015,httpd
chrismillah/0001_besentient_2015-2,httpd
christianwoehrle/docker-http-withmodjk,httpd
chriswastaken/doopsplash,httpd
cobaugh/apache-cosign,httpd
codexgigassys/codex-frontend,httpd
coloradomesa/howtoalienvault,httpd
crbyers/softwareengineering,httpd
crinis/httpd-for-typo3,httpd
curio17/2017fall,httpd
dangmai/splitwizard,httpd
dangmai/website,httpd
dariko/httpd-rproxy-ldap,httpd
datalevel/apache2-alpine,httpd
davidrums/local-webmail-sink,httpd
dblackdblack/k8s-spinnaker-apache2,httpd
ddidier/pgadmin4,httpd
developherr/apache-ldap-file-proxy,httpd
diceone/logogen,httpd
dinesh01/docker-training,httpd
docknux/woodytoys-apache-proxy,httpd
docknux/woodytoys-intranet,httpd
docknux/woodytoys-www,httpd
docksal/web,httpd
eastviolence/beerbets-client,httpd
edirom/subversion-ldap-httpd,httpd
eeacms/apache,httpd
eeacms/glossary-apache,httpd
erkkam/tty-frontend,httpd
fabito/labelmeannotationtool,httpd
fenixsd/httpd,httpd
ffwagency/docksalio,httpd
fhardy/draw.io,httpd
fikipollo/galaksio,httpd
fikipollo/paintomics3,httpd
gauthiercart/apachegau,httpd
genadipost/dockerized-docs-chef,httpd
genadipost/dockerized-docs-gluster,httpd
genadipost/dockerized-docs-postgresql,httpd
genadipost/dockerized-docs-rundeck,httpd
genadipost/dockerized-docs-wiredtiger,httpd
genadipost/percona-server,httpd
genschsa/docker-geniva,httpd
gentryyao/102062615-lab3,httpd
genunix/posty-webui,httpd
gisjedi/ogc-preview,httpd
gordonburgett/blog,httpd
govbr/barra.govbr,httpd
govbr/w3c-validator,httpd
helpdeskservice/web,httpd
hemant1511/hello-world,httpd
hopstar/studiosquid.website,httpd
hrokana/expert_indic_webpage,httpd
hypoport/httpd-cgi,httpd
hypoport/httpd-mod_jk,httpd
iguanafixdev/docker-httpd-ifix,httpd
ikauzak/masuda-app-cara,httpd
ikauzak/masuda-app-coroa,httpd
ilkka/httpd,httpd
imaccloud/solidity-dash,httpd
immobilienscout24/httpd_with_imagemagick_incl_webp,httpd
improving/httpd-site-improving,httpd
improving/httpd-site-recrutamento,httpd
inistcnrs/ezmaster,httpd
inistcnrs/ezmaster-globs,httpd
instantlinux/davite,httpd
interlutions/httpd,httpd
isabella6151/amazon-ecs-bitbucket-pipelines-python,httpd
itsziget/httpd24,httpd
ivandelabeldad/httpd,httpd
john99jacobs/livingwater,httpd
johnnyhuy/apache,httpd
jonathancwi/renga,httpd
jonathanheilmann/httpd-alpine-rewrite,httpd
jonathanmorley/apache-php,httpd
jonazpiazu/potree,httpd
joshuabradley/2017-hdc-workshop,httpd
jtcressy/vvvvv,httpd
jtcressy/xkcd-new-tab,httpd
justbanks/react-demo,httpd
jwvolschenk/front-end,httpd
kairen/solidity,httpd
kamilbaran/nobleprog_training,httpd
kaziridwan/docker-test,httpd
kbai/ocr-gt-tools,httpd
kiview/jangouts,httpd
klassik/tty-training-front,httpd
klyyssi/tty-frontend,httpd
konradschieban/tetris,httpd
labynocle/docker_kopf,httpd
lancemind/apachedocker,httpd
landro/httpd-centos-alpine,httpd
lead4good/httpd-fpm,httpd
leejoneshane/draw.io,httpd
liampower/apache,httpd
matted/https-redirecter,httpd
micahcowan/snap,httpd
mildronize/docs-docker,httpd
mirrored1976/demo-ver1,httpd
mirrored1976/demo-ver2,httpd
mitrecnd/pydat,httpd
mk2r/appserviceperl-mojo,httpd
moander/mod_proxy,httpd
monsieurbiz/httpd,httpd
multani/apache-proxy-auth-ldap,httpd
musicconnectionmachine/widgets,httpd
ndslabs/httpd-ssi,httpd
nektria/mkdocs,httpd
nilbus/nilbus.com,httpd
nutsllc/toybox-apache2,httpd
nyanpass/apache2.2-php5.2.17,httpd
oberonamsterdam/apache24-fpm,httpd
ovidiub13/reviewboard,httpd
pabra/awstats,httpd
packants/landing_pages,httpd
pamtrak06/alpine-3.6-x3d-component-editor,httpd
particlekit/pxe-docker,httpd
pepkorsea/apache,httpd
pesusieni999/tty-frontend,httpd
pierrickpuimeanchieze/ourmemory,httpd
pinoniq/httpd,httpd
pmsipilot/calendar-board,httpd
pressbackstage/pbfront,httpd
privacypatterns/privacypatterns-web,httpd
privacypatterns/website,httpd
protomouse/webdav,httpd
pschmid/apache_module_compiler,httpd
qpeten/docker-fileserverwelcome,httpd
reap/proxy-for-docker-containers,httpd
reetika/linux,httpd
reetika/spinnaker,httpd
ribbybibby/www,httpd
rimelek/httpd24,httpd
ripleymj/uug-travis-demo,httpd
rmelick/hdp-yum-mirror-docker,httpd
robertdebock/mirror,httpd
robertdebock/rundeck-httpd,httpd
robertdebock/semaphore-httpd,httpd
rodimes/httpd,httpd
rooep/palpo-frontend,httpd
roopemerikukka/httpd-alpine-htpasswd,httpd
roselroa/proxy-apache,httpd
ryu310/http-header-docker-compose,httpd
sakesler/pipelinestest,httpd
sampoto/tty-frontend,httpd
satoshizzz/automated-build-test,httpd
sauloal/jbrowse_httpd,httpd
sblemstrom/tty-frontend,httpd
scambria/lodmilla-frontend,httpd
seramo/apache,httpd
shriniwm/kubernetes,httpd
signiant/aws-ip-list-service-cache-server,httpd
skilldlabs/skilld-docker-apache,httpd
slamidtfyn/multi-platform-todoapp,httpd
sloppycoder/atl-web,httpd
snappytux/httpd,httpd
socketsounds/client,httpd
solsson/httpd,httpd
solsson/httpd-letsencrypt,httpd
spacemesh/apache,httpd
stackhub/apache-backend-eg,httpd
starlight36/httpd-subversion,httpd
starlight36/httpd-webdav,httpd
szabogyula/shibboleth-sp,httpd
tahv0/tty-frontend,httpd
tatn/trac,httpd
tenforce/vodap-dcatap-validation,httpd
tetranoodle/docker-web,httpd
the405/tty-training-frontend,httpd
themerius/natrium-httpd,httpd
theswolf/base-balancer,httpd
tkalliom/tty-frontend,httpd
toozej/docker-intro,httpd
troystarksaxway/demo1,httpd
twabscs/apache2-test,httpd
twistedogic/serf-httpd,httpd
ubma/ocr-gt-tools,httpd
vaaralav/palpo-hello-frontend,httpd
venttola/frontend,httpd
verdant/front-p2,httpd
verdant/tty-frontend,httpd
villevaltonen/tty-frontend,httpd
vulhub/cve-2012-1823,httpd
waleedhelmy/test,httpd
wowgroup/saml2_proxy,httpd
xetusoss/apaxy,httpd
zdgn/frontpage,httpd
zeroboh/httpd,httpd
diglin/httpd,monsieurbiz/httpd
eeacms/apache-copernicus,eeacms/apache
eeacms/reportek-apache,eeacms/apache
hypoport/dynatrace-problems-grafana-source,hypoport/httpd-cgi
hypoport/grafana-example-simple-json-source,hypoport/httpd-cgi
hypoport/mod_jk_exporter,hypoport/httpd-cgi
ilkka/httpd-ssl,ilkka/httpd
immobilienscout24/mod_dims,immobilienscout24/httpd_with_imagemagick_incl_webp
inanimate/httpd-ssl,ilkka/httpd
prometheas/svn-host-testing-container,starlight36/httpd-subversion
sauloal/jbrowse_httpd_bionano,sauloal/jbrowse_httpd
