source,target
47167113/logstash-output-jdbc,logstash
accenture/adop-logstash,logstash
alukim/chillouthackathon-logstash,logstash
appliedis/dcos-logstash,logstash
aristanetworks/logstash,logstash
armand1m/logstash-sqlserver,logstash
arthurpham/logstash-scrapy-cluster-docker,logstash
asynchrony/docker-logstash,logstash
b2boost/dockstash,logstash
benjah1/logstash,logstash
botsunit/logstash,logstash
caladreas/drove-logstash,logstash
carpenike/logstash,logstash
chrootsu/logstash,logstash
clebeaupin/logstash-test,logstash
cloudontap/logstash,logstash
cloudunit/elk-logstash,logstash
codeontap/logstash,logstash
collinsongroup/logstash,logstash
coyoapp/coyo-logstash-elasticsearch,logstash
crewton/logstash-kinesis,logstash
cuongdd1/elasticsearch-logstash-dynamodb-streams,logstash
davidmarquis/docker-logstash-aws-elasticsearch,logstash
devopsifyinc/elastic_logstash,logstash
diceone/logstash,logstash
driveclutch/infra-logstash,logstash
dstritzke/docker-logstash-development,logstash
ecthelion77/logstash-filebeats,logstash
efctx/logstash-cloudwatchlogs,logstash
equiem/logstash-input-acquia,logstash
erkkam/tty-logstash,logstash
evilmarty/mylogstash,logstash
factual/front-logstash,logstash
fangcha/logstash,logstash
fernandobenayas/collector,logstash
ffray/logstash-kafka-plugin,logstash
fromq/logstash,logstash
gaieges/logstash,logstash
gatehub/logstash,logstash
geoint/logstash-elastic-ha,logstash
gici/logstash-rabbitmq-river,logstash
giorg/logstash,logstash
goby/logstash,logstash
helderfarias/logstash,logstash
herrad/neoscan-logstash,logstash
heschoon/dockstash,logstash
heschoon/easydockstash,logstash
hgerlach/docker-logstash,logstash
ifintech/logstash,logstash
intappx/giants-elk-logstash,logstash
jaehue/logstash-input-kafka,logstash
jferrogarcia/logstash-kinesis,logstash
johnchung/logstash-journald,logstash
kebbish/tty-logstash,logstash
khezen/logstash,logstash
klassik/tty-training-logstash,logstash
klyyssi/tty-logstash,logstash
lamsaworld/logstash,logstash
leprechaun/docker-logstash-input-kinesis-output-s3-archiver,logstash
leprechaun/docker-logstash-input-s3-frontend-output-kinesis,logstash
leprechaun/logstash-base,logstash
lomo/logstash-postgresql-output,logstash
ludekvesely/logstash-json,logstash
mantika/logstash-dynamodb-streams,logstash
marechal/logstash,logstash
merapar/logstash-docker,logstash
minkonet/logstash,logstash
mishraakshay91/docker-logstash,logstash
msh100/s3-access-logstash,logstash
mterron/logstash-autopilot,logstash
nakedsoftware/logstash,logstash
napalm255/docker-skytrack-logstash,logstash
neblish/cx-logstash,logstash
neowaylabs/logstash,logstash
neroinc/elkstack-logstash,logstash
nickelroll/docker-logstash,logstash
nolte/logstash,logstash
nybjorn/docker-logstash,logstash
ocadotechnology/logstash,logstash
opensciencegrid/gracc-stash-raw,logstash
opensciencegrid/gracc-stash-summary,logstash
orabig/logstash-fixed,logstash
panperla/logstash-btag,logstash
pedros007/docker-logging,logstash
peopleperhour/aws-elasticsearch-migrator,logstash
pesusieni999/tty-logstash,logstash
phase2/logstash,logstash
phirov/docker-logstash,logstash
popov1024/logstash,logstash
rahulsom/logstash,logstash
regius/logstash-zeromq,logstash
retzkek/gracc-stash-raw,logstash
retzkek/gracc-stash-raw-auto,logstash
retzkek/gracc-stash-summary,logstash
rocketgraph/logstash,logstash
rooep/palpo-logstash,logstash
sagacify/logstash-forwarder,logstash
salalemdockerhub/logstash,logstash
sampoto/tty-logstash,logstash
sardegnaturismo/logstash,logstash
sblemstrom/tty-logstash,logstash
scoop/logstash-aggregate,logstash
scottyc/logstash,logstash
softonic/elk-logstash,logstash
sohonet/logstash-tester,logstash
splashblot/docker-logstash,logstash
tahv0/tty-logstash,logstash
taylorludwig/rancher-logstash-logs,logstash
tbartelmess/docker-consul-logstash,logstash
tcaxias/logstash-kafka,logstash
technekes/logstash,logstash
techwong/logstash,logstash
tegud/tegud-logstash,logstash
thanksys/logstash,logstash
the405/tty-training-logstash,logstash
thingswise/logstash-journald,logstash
tishin/logstash-docker-dynamodb,logstash
tkalliom/tty-logstash,logstash
topochan/logstash-es-aws,logstash
trueaccord/ta-logstash,logstash
turmalinow/logstashremoteconfig,logstash
urbit/logstash,logstash
vaaralav/palpo-hello-logstash,logstash
venttola/logstash,logstash
verdant/logstash-h2r,logstash
verdant/logstash-r2m,logstash
verdant/tty-logstash,logstash
viaeuropa/logstash-beats,logstash
villevaltonen/tty-logstash,logstash
wattazoum/logstash,logstash
webplates/symfony-logstash,logstash
whiteplus/docker-logstash,logstash
winkey/logstash-loggly,logstash
yeasy/logstash,logstash
yellowblackandwhite/logstash,logstash
yieldr/logstash,logstash
yongjhih/logstash-node,logstash
leprechaun/logstash-input-flowlogs,leprechaun/logstash-base
