source,target
88250/solo,maven
aabeling/docker-maven-german,maven
abdulkh/spring-mvc-showcase,maven
activiti/activiti-cloud-apps,maven
activiti/activiti-cloud-audit,maven
activiti/activiti-cloud-audit-mongodb,maven
activiti/activiti-cloud-gateway,maven
activiti/activiti-cloud-modeling,maven
activiti/activiti-cloud-modeling-backend,maven
activiti/activiti-cloud-query,maven
activiti/activiti-cloud-registry,maven
activiti/example-runtime-bundle,maven
adityai/rest-assured-docker,maven
adityai/rest-assured-simpler,maven
adityai/subversion-plugin,maven
aggronerd/java-build-base,maven
aifagovit/database-uploader,maven
aitiogroup/maven-aws,maven
aiwin/maven3-base,maven
aksw/deer,maven
alagiz/posts-xml-analyzer,maven
alaien/live-client-springboot,maven
alaien/mokulive-server-callback,maven
alessandrob/maxwell,maven
alexisno/aws-api-import,maven
alexleonhardt/backend-demo,maven
alfresco/alfresco-api-gateway,maven
alphasensepub/as-build-tools,maven
alphasensepub/maven-3.5-jdk-8-awscli,maven
alphasensepub/maven-3.5-jdk-8-node-8.9-npm-5.5,maven
amauryleclerc/banana,maven
amineaffane/node-java,maven
andycjones/maven-docker,maven
ankurcha/stackdriver-zipkin,maven
anoop/docker-springframework,maven
anovmari/pdf-annotations-extractor,maven
anthonydahanne/spring-petclinic,maven
anuraag/carapp,maven
apnic/rdap-ingressd,maven
apnic/whowas-service,maven
archivesunleashed/docker-aut,maven
arguellj/chat,maven
arian/docker-symbaloo-test-base,maven
arindamb/glassfish-ci-images,maven
arschles/dockerswagger,maven
arthurhlt/db-dumper-service,maven
artifactsai/cas-overlay,maven
arwineap/maven-jdk8-phantomjs,maven
asemenkov/iot-esp8266-whizzer,maven
askomics/fedx4askomics,maven
asqatasun/asqa.mvn,maven
astromatch/maven-build-essential,maven
atlanmod/neoemf,maven
atlantbh/owl,maven
atlassian/maven,maven
awhiterga/rx-more-cowbell-api,maven
babanomania/primertech-base,maven
bailaohe/disconf,maven
bakito/crowd-trees,maven
balboah/ureplicator,maven
banzaicloud/jmx_exporter,maven
baowen/dropwizard-rest-stub,maven
basex/basexhttp,maven
bcelouest/mvn-conf,maven
bde2020/event-detection,maven
berndinox/iota-node,maven
bigtruedata/maven,maven
bjuvensjo/maven.repository,maven
bjuvensjo/rsimulator-proxy-recorder,maven
blackdoor/intertalk,maven
bluebiz/java-fullstack,maven
bluebu/maven,maven
bluedigits/iota-node,maven
bluejamesbond/maven-chrome-chromedriver-unstable2,maven
bptlab/argos-backend,maven
brianolsen87/findmyrun-backend,maven
brianolsen87/findmyrun-frontend,maven
brogers0101/temp,maven
brucehoff/synapseaclupdate,maven
brvith/brvith-orchestrator,maven
bstegmaier/brouter-app,maven
buremba/rakam,maven
bytecodetech/maven-npm,maven
byteflair/docker-maven-private,maven
canardmouton/socletech,maven
canopyiq/java-dind-builder,maven
carbonsphere/iotaledger-iri,maven
castorinop/bisq,maven
cexbbartolome/quartz-http,maven
chanezon/spring-doge-new,maven
cheddesi/onehippo-es-demo,maven
chen369/incubator-guacamole-client,maven
chenchuxin/apollo,maven
chenchuxin/dubbo-admin,maven
chenxhcloud/snow-leopard,maven
chromyd/dbmaven,maven
cianx/sawtooth-dev-java,maven
ciberado/pokemon,maven
citrusframework/todo-demo-app,maven
citrusframework/voting-demo-app,maven
ckulka/httpecho,maven
codecentric/aws-codepipelines-dashboard,maven
coduno/fingerprint-javaut,maven
committed/docker-mvn,maven
commonworkflowlanguage/cwlviewer,maven
conceptant/hapi-fhir,maven
consol/citrus,maven
consol/citrus-admin,maven
contentwisetv/maven-339-jdk8_7,maven
contentwisetv/maven-gosu,maven
contentwisetv/maven-node-docker,maven
contrast/maven-yarn,maven
coos88/todo-backend,maven
cosme/mvn-npm-tools,maven
cqframework/cql-translation-service,maven
ctcampbelldocker/veracode-ci-examples,maven
cubeengine/forge,maven
cybe/yadp-master,maven
dabsquared/maven-bundler,maven
daisyorg/pipeline-assembly,maven
danmikita/conference-web,maven
danshan/cherrynic,maven
danshan/spring-cloud-eureka,maven
danshan/webhook-slack,maven
dcruzarttech/shipwreck-demo,maven
ddblabs/beagen,maven
dddecaf/ice_iloop,maven
dduportal/blueocean-acceptance-test,maven
decent/spring-cloud-config-server,maven
decibel/clamav-rest,maven
decibel/mvn,maven
delfer/java-builder,maven
derekamz/plantuml-server,maven
dicegroup/autoindex,maven
dicegroup/fox,maven
dicegroup/limes,maven
dicegroup/sessa,maven
dictybase/onto-robot,maven
dictybase/owltools,maven
difi/data-skos,maven
difi/dc16-digitalcitizen,maven
difi/dc16-oidc-proxy,maven
difi/dc16-signing,maven
difi/oxalis,maven
difi/vefa-rulesupport,maven
difi/vefa-validator,maven
digitalmomentum/soskit,maven
dineshpillai/innovation-trade-injector,maven
diutsu/fenixedu,maven
dmarell/welcome-server,maven
dockersamples/movieplex7-tomee,maven
dockersamples/movieplex7-tomee2,maven
donkey1961/config-server,maven
doppelganger9/java-maven-git,maven
dotwebstack/dotwebstack-theatre,maven
dotwebstack/dotwebstack-theatre-legacy,maven
dougfish1/bad-java-app,maven
draffensperger/twitter-fetch,maven
dstritzke/money-tracker,maven
dylanturn/docker-scatter,maven
dylanturn/scatter-server,maven
earolau/springbootdemo,maven
electroid/dropbox,maven
elementalnet/s3s3mirror,maven
eprecise/build-env,maven
ernespn/spring-services,maven
esarbanis/maven-docker,maven
esnerd/keboola-adform-masterdata-extractor,maven
esnerd/keboola-ares-ex,maven
esnerd/keboola-bingads-ex,maven
esnerd/keboola-ex-appnexus,maven
esnerd/keboola-ex-leonardo,maven
esnerd/keboola-ex-twitterads,maven
esnerd/keboola-ftp-extractor,maven
esnerd/keboola-intercom-wr,maven
esnerd/keboola-mailkit-ex,maven
esnerd/keboola-mailkit-writer,maven
esnerd/keboola-silverpop-writer,maven
etops/swagger-codegen,maven
eucm/lostinspace,maven
eucm/openlrs,maven
eugeniojavier/vcheckercontainer,maven
evoila/concourse-mvn-resource,maven
experoinc/maven3-python3-awscli,maven
factsmission/psps,maven
fakapdevelopment/maven-resource,maven
