source,target
akit042/nextcloud-components,nextcloud
arnofear/nextcloud-apache,nextcloud
capidunord/nextcloud-smb,nextcloud
dheaps/nextcloud-cron,nextcloud
dklein/nextcloud,nextcloud
elcom/nextcloud,nextcloud
escoand/nextcloud,nextcloud
fischerman/nextcloud,nextcloud
freenas/nextcloud,nextcloud
gammafission/nextcloud-smb-cron,nextcloud
gnarea/nextcloud-12factor,nextcloud
grossmane/nextcloud-imap,nextcloud
hoffmannhosting/nc-hoffmann-hosting,nextcloud
indiehosters/nextcloud,nextcloud
jeboehm/nextcloud,nextcloud
lazyfrosch/nextcloud-cron,nextcloud
llamallama/nextcloud,nextcloud
macmacs/nextcloud,nextcloud
migoller/nextcloud,nextcloud
mkuron/nextcloud,nextcloud
neffets/nextcloud,nextcloud
nursecurtis/nextcloud-fpm-cron,nextcloud
pschmitt/nextcloud,nextcloud
puffinrocks/nextcloud,nextcloud
robobeerun/nextcloud,nextcloud
sami/freenas-nextcloud,nextcloud
sesceu/nextcloud,nextcloud
tobru/nextcloud-openshift,nextcloud
vistalba/nextcloud,nextcloud
yanniks/nextcloud,nextcloud
