source,target
afniclabs/zonemaster-gui,opensuse
antoinebaudrand/blinux,opensuse
blaineexe/ceph-docker,opensuse
boombatower/opensuse,opensuse
carolshang/opensuse42.1_ibm8_liberty16.0.0.3,opensuse
casimir/blinux,opensuse
clockwise/docker-php-opensuse,opensuse
coala/base,opensuse
codeflavor/nspawn-toolbox,opensuse
datenteiler/powersuse,opensuse
davidzeng/blinux,opensuse
deepdiver/docker-owncloud-client-win32,opensuse
dokken/opensuse-leap,opensuse
dolphinics/opensuse,opensuse
dragonchaser/sauerbraten,opensuse
dragonchaser/teeworlds,opensuse
drentech/java,opensuse
espressomd/espresso-opensuse,opensuse
fahadash/ashscan,opensuse
falsecam/docker-owncloud-client-win32,opensuse
falsecam/owncloud-client-win32,opensuse
fcuriel/caasp,opensuse
fcuriel/trial,opensuse
fispact/opensuse,opensuse
flanaras/docker-opensuse-java,opensuse
flavio/guestbook,opensuse
flightgear/terragear,opensuse
gundalow/ansible,opensuse
guruz/docker-owncloud-client-win32,opensuse
hachque/phabricator,opensuse
hurricane/teamviewer,opensuse
hurricane/znc,opensuse
hwoarang/docker-yast2-devel,opensuse
ianblenke/wsman,opensuse
ingomuellernet/hana-express,opensuse
instantlinux/mythsuse,opensuse
iris/playground,opensuse
jayvdb/docker-coala-base,opensuse
jbonhag/mono-hosting-wcf,opensuse
manorrock/ansible,opensuse
manorrock/bash,opensuse
manorrock/bind,opensuse
manorrock/curl,opensuse
manorrock/docker,opensuse
manorrock/git,opensuse
manorrock/go,opensuse
manorrock/mono,opensuse
manorrock/nginx,opensuse
manorrock/openjdk,opensuse
manorrock/python,opensuse
manorrock/ruby,opensuse
manorrock/wget,opensuse
manorrock/xmllint,opensuse
masayukig/openstack-health-subunit2sql,opensuse
matwey/opensuse-ci,opensuse
matwey/opensuse-go,opensuse
mauromorales/machinery,opensuse
mengzyou/shadowsocks-libev,opensuse
mmckeen/mariadb,opensuse
mmckeen/nginx,opensuse
moneymanagerex/mmex_build_env,opensuse
mtoma/zonemaster-gui,opensuse
mtoma/zonemaster-gui-main,opensuse
nguoianphu/docker-hana,opensuse
nimbostrati/updated_13_2,opensuse
openbuildservice/base,opensuse
opensuse/etcd,opensuse
opensuse/salt-api,opensuse
opensuse/salt-master,opensuse
opensuse/salt-minion,opensuse
pairinteraction/opensuse,opensuse
pantuza/vetulus,opensuse
particlekit/kitex,opensuse
particlekit/ldap-client,opensuse
particlekit/ldap-docker,opensuse
particlekit/munin-docker,opensuse
particlekit/opensuse-gfortran,opensuse
pontostroy/gearsongallium-docker,opensuse
quobyte/obsworker,opensuse
redpointgames/phabricator,opensuse
reszelaz/leap-systemd,opensuse
roopchansinghv/nih-fmrif-rtafni,opensuse
runapp/nginx-docker,opensuse
rustam9/coprhd-runtime,opensuse
seresearch/opendavinci-opensuse-13.2,opensuse
seresearch/opendavinci-opensuse-42.1,opensuse
termbox/opensuse,opensuse
thatch45/containers,opensuse
thedcg/pandoc-opensuse,opensuse
thilp/lilypond,opensuse
thumbsniper/agent,opensuse
thumbsniper/web,opensuse
tkelman/docker-gcc-bisect,opensuse
tomschr/docker-docbook,opensuse
tubecj/npm-angular,opensuse
tuberose001/phabricator,opensuse
vergissberlin/opensuse-development,opensuse
veritus4/dshell-docker,opensuse
victorock/coprhd-base,opensuse
vitzy/packpack,opensuse
wearemakery/couchbase-query-workbench,opensuse
wendyicy/opensuse42.1_ibm8_liberty16.0.0.3,opensuse
yehai/phabricator,opensuse
antoinebaudrand/blinux-jenkins-slave,antoinebaudrand/blinux
boombatower/docker-backup,boombatower/opensuse
boombatower/openvpn-route-self,boombatower/opensuse
boombatower/source-broadcast-proxy,boombatower/opensuse
boombatower/source-server-fake,boombatower/opensuse
casimir/blinux-bash,casimir/blinux
casimir/blinux-make,casimir/blinux
cguenther/docker-phabricator-sprint,redpointgames/phabricator
coala/socialx,coala/base
ctgensoft/leap-control,reszelaz/leap-systemd
drentech/youtrack,drentech/java
manorrock/gradle,manorrock/openjdk
manorrock/groovy,manorrock/openjdk
manorrock/issues-rest,manorrock/openjdk
manorrock/jenkins,manorrock/openjdk
manorrock/jetty,manorrock/openjdk
manorrock/kotlin,manorrock/openjdk
manorrock/maven,manorrock/openjdk
manorrock/payara,manorrock/openjdk
matwey/fetch-golang-sources,matwey/opensuse-go
nimbostrati/opensuse_go,nimbostrati/updated_13_2
nimbostrati/opensuse_hg,nimbostrati/updated_13_2
nimbostrati/opensuse_nodejs,nimbostrati/updated_13_2
openbuildservice/backend,openbuildservice/base
openbuildservice/frontend-base,openbuildservice/base
openbuildservice/memcached,openbuildservice/base
particlekit/cups,particlekit/ldap-client
paskaly/phabricatory,redpointgames/phabricator
reszelaz/leap-control,reszelaz/leap-systemd
sils1297/coala-incremental,coala/base
victorock/coprhd-controller,victorock/coprhd-base
boombatower/docker-backup-s3,boombatower/docker-backup
hanselke/docker-backup-s3,boombatower/docker-backup
