source,target
actualys/owncloud,owncloud
bsmithyman/owncloud-ldap,owncloud
dianplus/owncloud,owncloud
falsecam/owncloud,owncloud
holdel/tp-docker-owncloud,owncloud
improvjaa/owncloud,owncloud
isi006/owncloud,owncloud
iteratechh/owncloud_ldap,owncloud
jangmarker/owncloud,owncloud
jdavis92/owncloud,owncloud
kvaps/owncloud-ldap,owncloud
mrskensington/owncloud-ldap,owncloud
ndslabs/owncloud,owncloud
nutsllc/toybox-owncloud,owncloud
obarisk/dck-owncloud,owncloud
obedmr/owncloud,owncloud
puffinrocks/owncloud,owncloud
robobeerun/owncloud-docker,owncloud
safematix/owncloud,owncloud
sebcworks/owncloud,owncloud
sesceu/owncloud,owncloud
simonqbs/owncloud,owncloud
sugusza/owncloud-php,owncloud
theorician/owncloud,owncloud
